...1,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,prev_lean,prev2_lean,generic_ballot_avg,pres_approval_avg,incumbent_pres,ics,pres_approval_avg_x_incpres,ics_x_incpres,cvap_white_pct,cvap_asn_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,no_dem_cand_flag,no_rep_cand_flag,dem_inc_any,rep_inc_any,dem_inc_dummy,rep_inc_dummy,pvi,dem_funds_2p_pct_sqrd,y_pred,y_act,fund_chances,abs_err,err,district_id
38,2018,California,CA,FALSE,CA-18,225142,77096,302238,Anna G Eshoo,Christine Russell,True,False,876222.38,0,302238,74.49162580482931,25.50837419517069,876222.38,0,876222.38,100,0,27.27962682116,18.2630657666932,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,63.7,19.5,11.7,2.1,0.2,FALSE,FALSE,TRUE,FALSE,1,0,25.0254865575433,10000,76.31071156410822,74.49162580482931,100,1.8190857592789058,1.8190857592789058,CA18
39,2018,California,CA,FALSE,CA-19,162496,57823,220319,Zoe Lofgren,Justin James Aguilera,True,False,981418.48,23993.62,220319,73.75487361507632,26.24512638492368,981418.48,23993.62,1005412.1,97.61355368609549,2.3864463139045173,26.11893653074049,20.90131098600709,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,33.3,29.6,31,3.3,0.2,FALSE,FALSE,TRUE,FALSE,1,0,24.814530144557143,9528.405863228245,74.61365360533732,73.75487361507632,100,0.8587799902609987,0.8587799902609987,CA19
41,2018,California,CA,FALSE,CA-21,57239,56377,113616,Tj Cox,David G Valadao,False,True,2025096.86,1287443.99,113616,50.37934797915786,49.62065202084214,2025096.86,1287443.99,3312540.85,61.13424563503873,38.86575436496126,7.092557453759881,3.686514041097368,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,27.5,3.8,60.7,5.7,0.6,FALSE,FALSE,FALSE,TRUE,0,1,6.241046600594252,3737.3959893652523,50.71333542666324,50.37934797915786,60.14000000000001,0.333987447505379,0.333987447505379,CA21
42,2018,California,CA,FALSE,CA-22,105136,117243,222379,Andrew Janz,Devin G Nunes,False,True,8957855.58,11141077.79,222379,47.27784548001385,52.72215451998616,8957855.58,11141077.79,20098933.37,44.568810767693,55.43118923230701,-6.126240760461187,-9.607795995990465,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,49.3,7.7,37.6,3.1,0.5,FALSE,FALSE,FALSE,TRUE,0,1,-6.996629569343506,1986.3788932464277,41.40266862671627,47.27784548001385,0.9299999999999999,5.875176853297582,-5.875176853297582,CA22
43,2018,California,CA,FALSE,CA-23,74661,131113,205774,Tatiana Matta,Kevin Mccarthy,False,True,94708.04,609124.4,205774,36.28300951529348,63.71699048470653,94708.04,609124.4,703832.4400000001,13.456049283548223,86.54395071645176,-12.826596107787855,-14.962487975757703,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,55.1,4.7,30.5,6.8,0.7,FALSE,FALSE,FALSE,TRUE,0,1,-13.360569074780315,181.06526232127865,35.705179835120106,36.28300951529348,0.08499999999999999,0.5778296801733731,-0.5778296801733731,CA23
44,2018,California,CA,FALSE,CA-24,166550,117881,284431,Salud Carbajal,Justin Fareed,True,False,1969094.13,1270095.92,284431,58.55550203740098,41.444497962599016,1969094.13,1270095.92,3239190.05,60.78970667374086,39.21029332625914,9.732255065491564,3.6789265208288384,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,66.9,4.6,23.6,2.1,0.5,FALSE,FALSE,TRUE,FALSE,1,0,8.218922929325883,3695.388437479454,58.77833911816725,58.55550203740098,99.13,0.22283708076627562,0.22283708076627562,CA24
45,2018,California,CA,FALSE,CA-25,133209,111813,245022,Katie Hill,Steve Knight,False,True,6991652.12,985484.88,245022,54.366138550824,45.633861449176,6991652.12,985484.88,7977137,87.64613319289866,12.353866807101346,2.439332398258067,-2.8902361598561868,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,49.5,8.3,31.3,8.2,0.4,FALSE,FALSE,FALSE,TRUE,0,1,1.1069402587295034,7681.8446636673325,50.880926842314445,54.366138550824,61.46,3.485211708509553,-3.485211708509553,CA25
46,2018,California,CA,FALSE,CA-26,158216,97210,255426,Julia Brownley,Antonio Sabato Jr,True,False,1596390.12,301677.44,255426,61.94201060189644,38.05798939810356,1596390.12,301677.44,1898067.56,84.10607470684552,15.893925293154476,10.51890737900274,3.2853618440153696,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,55.3,6.8,33.4,2.1,0.3,FALSE,FALSE,TRUE,FALSE,1,0,8.710520995255898,7073.83180259348,59.24746843671372,61.94201060189644,99.345,2.6945421651827246,-2.6945421651827246,CA26
48,2018,California,CA,FALSE,CA-28,196662,54272,250934,Adam B Schiff,Johnny J Nalbandian,True,False,4951478.96,24370.0,250934,78.37200219978162,21.627997800218385,4951478.96,24370,4975848.96,99.51023432994236,0.4897656700576377,25.24296829704759,20.631975051145176,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,61.6,12.2,20.3,3.3,0.3,FALSE,FALSE,TRUE,FALSE,1,0,24.090219985571988,9902.28673640004,75.75112350295194,78.37200219978162,100,2.620878696829678,-2.620878696829678,CA28
49,2018,California,CA,FALSE,CA-29,124697,29995,154692,Tony Cardenas,Benito Benny Bernal,True,False,613147.67,3750.0,154692,80.60985700618002,19.39014299381998,613147.67,3750,616897.67,99.39211960388828,0.6078803961117246,31.11498365932379,26.99899578055891,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,27.9,9.2,56.4,5.1,0.2,FALSE,FALSE,TRUE,FALSE,1,0,30.08598668963257,9878.793439353632,80.68710495303759,80.60985700618002,100,0.0772479468575682,0.0772479468575682,CA29
