,,,,2020,,,,,,2016,,,,,,2012,,,,,,2008,,,,
District,Incumbent,Party,,Biden,Trump,Total,Biden%,Trump%,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
TX-16,"Escobar, Veronica",(D),,"160,809","77,473","242,067",66.4%,32.0%,,"130,784","52,334","192,692",67.9%,27.2%,,"100,993","54,315","157,414",64.2%,34.5%,,"109,387","58,764","169,232",64.6%,34.7%
TX-17,"Flores, Bill",(R),,"137,632","172,342","315,612",43.6%,54.6%,,"96,156","139,415","247,625",38.8%,56.3%,,"84,531","135,309","224,079",37.7%,60.4%,,"95,884","135,738","233,690",41.0%,58.1%
TX-18,"Jackson Lee, Sheila",(D),,"189,823","57,669","250,836",75.7%,23.0%,,"157,117","41,011","205,514",76.5%,20.0%,,"150,129","44,991","197,206",76.1%,22.8%,,"150,733","45,069","196,624",76.7%,22.9%
TX-19,"Arrington, Jodey",(R),,"71,237","195,515","270,656",26.3%,72.2%,,"53,519","165,384","228,008",23.5%,72.5%,,"54,461","160,141","217,619",25.0%,73.6%,,"66,122","168,553","236,363",28.0%,71.3%
TX-20,"Castro, Joaquin",(D),,"177,058","96,537","277,918",63.7%,34.7%,,"132,363","74,386","216,952",61.0%,34.3%,,"110,663","74,540","187,835",58.9%,39.7%,,"115,579","80,667","197,670",58.5%,40.8%
TX-21,"Roy, Chip",(R),,"220,567","232,945","460,677",47.9%,50.6%,,"152,528","188,335","358,985",42.5%,52.5%,,"119,220","188,241","314,591",37.9%,59.8%,,"133,581","178,531","314,971",42.4%,56.7%
TX-22,"Olson, Pete",(R),,"206,114","210,011","421,488",48.9%,49.8%,,"135,525","159,717","306,777",44.2%,52.1%,,"93,582","158,452","255,043",36.7%,62.1%,,"91,137","142,073","234,671",38.8%,60.5%
TX-23,"Hurd, Will",(R),,"146,559","151,964","302,412",48.5%,50.3%,,"115,154","107,276","231,365",49.8%,46.4%,,"94,420","99,666","196,410",48.1%,50.7%,,"96,871","95,679","193,782",50.0%,49.4%
TX-24,"Marchant, Kenny",(R),,"180,609","161,671","347,697",51.9%,46.5%,,"122,872","140,128","276,137",44.5%,50.7%,,"94,634","150,547","249,080",38.0%,60.4%,,"105,822","152,453","260,216",40.7%,58.6%
TX-25,"Williams, Roger",(R),,"177,852","216,265","400,230",44.4%,54.0%,,"125,949","172,476","313,111",40.2%,55.1%,,"102,433","162,279","270,807",37.8%,59.9%,,"117,402","153,998","274,061",42.8%,56.2%
TX-26,"Burgess, Michael",(R),,"185,956","248,196","441,183",42.1%,56.3%,,"109,536","194,033","318,854",34.4%,60.9%,,"80,828","177,941","263,196",30.7%,67.6%,,"90,791","166,877","259,505",35.0%,64.3%
TX-27,"Cloud, Michael",(R),,"104,511","170,800","278,915",37.5%,61.2%,,"85,589","140,787","234,367",36.5%,60.1%,,"83,158","131,821","217,772",38.2%,60.5%,,"91,083","133,839","226,488",40.2%,59.1%
TX-28,"Cuellar, Henry",(D),,"125,755","115,160","243,744",51.6%,47.2%,,"110,023","72,518","188,600",58.3%,38.5%,,"101,843","65,372","168,874",60.3%,38.7%,,"92,557","65,066","158,418",58.4%,41.1%
TX-29,"Garcia, Sylvia",(D),,"106,229","52,937","161,080",65.9%,32.9%,,"95,027","34,011","133,642",71.1%,25.4%,,"75,720","37,909","114,901",65.9%,33.0%,,"70,286","41,843","112,823",62.3%,37.1%
TX-30,"Johnson, E.B.",(D),,"212,373","50,270","266,014",79.8%,18.9%,,"174,528","40,333","220,711",79.1%,18.3%,,"175,637","43,333","220,565",79.6%,19.6%,,"175,237","47,144","223,182",78.5%,21.1%
TX-31,"Carter, John",(R),,"192,599","204,096","404,642",47.6%,50.4%,,"117,181","153,823","287,510",40.8%,53.5%,,"92,842","144,634","242,714",38.3%,59.6%,,"103,359","135,601","241,425",42.8%,56.2%
TX-32,"Allred, Collin",(D),,"187,919","151,944","345,210",54.4%,44.0%,,"134,895","129,701","278,080",48.5%,46.6%,,"106,563","146,420","256,873",41.5%,57.0%,,"117,231","147,226","266,302",44.0%,55.3%
TX-33,"Veasey, Marc",(D),,"117,340","41,209","160,757",73.0%,25.6%,,"94,513","30,787","129,653",72.9%,23.7%,,"86,686","32,641","120,480",72.0%,27.1%,,"90,180","40,290","131,182",68.7%,30.7%
TX-34,"Vela, Filemon",(D),,"106,771","98,462","207,201",51.5%,47.5%,,"101,796","64,767","171,969",59.2%,37.7%,,"90,885","57,303","149,511",60.8%,38.3%,,"90,178","58,707","149,742",60.2%,39.2%
TX-35,"Doggett, Lloyd",(D),,"188,169","84,811","277,929",67.7%,30.5%,,"128,535","61,136","200,576",64.1%,30.5%,,"105,545","57,989","167,467",63.0%,34.6%,,"111,790","62,764","176,150",63.5%,35.6%
TX-36,"Babin, Brian",(R),,"82,881","221,600","308,153",26.9%,71.9%,,"64,225","183,176","254,447",25.2%,72.0%,,"61,786","175,883","240,433",25.7%,73.2%,,"70,543","165,899","238,206",29.6%,69.6%
UT-01,"Bishop, Rob",(R),,"113,343","230,314","358,818",31.6%,64.2%,,"62,733","139,503","280,442",22.4%,49.7%,,"51,098","193,672","250,278",20.4%,77.4%,,"69,594","160,433","237,027",29.4%,67.7%
UT-02,"Stewart, Chris",(R),,"148,890","207,667","370,162",40.2%,56.1%,,"90,686","130,525","283,699",32.0%,46.0%,,"74,556","173,513","255,201",29.2%,68.0%,,"94,123","143,331","244,925",38.4%,58.5%
UT-03,"Curtis, John",(R),,"131,845","225,830","374,671",35.2%,60.3%,,"67,461","136,782","289,923",23.3%,47.2%,,"51,791","208,121","265,856",19.5%,78.3%,,"73,625","168,358","249,389",29.5%,67.5%
UT-04,"McAdams, Ben",(D),,"166,204","201,329","384,026",43.3%,52.4%,,"89,796","108,421","277,311",32.4%,39.1%,,"74,368","165,294","246,066",30.2%,67.2%,,"90,328","123,909","220,996",40.9%,56.1%
VA-01,"Wittman, Rob",(R),,"213,535","233,398","453,853",47.0%,51.4%,,"162,931","211,991","395,289",41.2%,53.6%,,"162,611","207,062","374,545",43.4%,55.3%,,,,,,
VA-02,"Luria, Elaine",(D),,"186,427","169,365","362,346",51.4%,46.7%,,"145,762","156,694","321,068",45.4%,48.8%,,"154,698","161,995","320,975",48.2%,50.5%,,,,,,
VA-03,"Scott, Bobby",(D),,"233,646","108,728","347,932",67.2%,31.2%,,"205,746","103,064","323,422",63.6%,31.9%,,"227,734","105,561","336,890",67.6%,31.3%,,,,,,
VA-04,"McEachin, Donald",(D),,"246,583","146,900","398,796",61.8%,36.8%,,"212,677","134,676","362,532",58.7%,37.1%,,"216,598","138,322","358,936",60.3%,38.5%,,,,,,
VA-05,"Riggleman, Denver ",(R),,"183,175","217,535","405,973",45.1%,53.6%,,"154,665","195,190","365,403",42.3%,53.4%,,"164,555","188,485","358,689",45.9%,52.5%,,,,,,
VA-06,"Cline, Ben ",(R),,"149,254","231,248","386,961",38.6%,59.8%,,"120,596","206,303","345,500",34.9%,59.7%,,"132,153","197,045","334,864",39.5%,58.8%,,,,,,
VA-07,"Spanberger, Abigail",(D),,"228,335","223,268","458,367",49.8%,48.7%,,"172,544","198,032","392,168",44.0%,50.5%,,"166,472","206,213","377,687",44.1%,54.6%,,,,,,
VA-08,"Beyer, Don",(D),,"311,470","84,711","401,441",77.6%,21.1%,,"270,415","76,854","367,885",73.5%,20.9%,,"243,746","111,518","359,743",67.8%,31.0%,,,,,,
VA-09,"Griffith, Morgan",(R),,"98,653","244,996","347,822",28.4%,70.4%,,"86,463","217,837","316,740",27.3%,68.8%,,"108,641","196,354","311,291",34.9%,63.1%,,,,,,
VA-10,"Wexton, Jennifer",(D),,"281,817","189,376","478,159",58.9%,39.6%,,"210,692","170,580","403,821",52.2%,42.2%,,"182,432","186,650","373,913",48.8%,49.9%,,,,,,
VA-11,"Connolly, Gerry",(D),,"280,673","112,905","399,109",70.3%,28.3%,,"238,982","98,222","357,054",66.9%,27.5%,,"212,181","123,317","339,710",62.5%,36.3%,,,,,,
VT-AL,"Welch, Peter",(D),,"242,820","112,704","365,486",66.4%,30.8%,,"178,573","95,362","315,067",56.7%,30.3%,,"199,239","92,698","297,247",67.0%,31.2%,,"219,262","98,974","323,582",67.8%,30.6%
WA-01,"DelBene, Suzan",(D),,"257,631","166,460","435,779",59.1%,38.2%,,"188,952","132,109","349,064",54.1%,37.8%,,"183,802","147,074","339,489",54.1%,43.3%,,"185,907","138,307","330,145",56.3%,41.9%
WA-02,"Larsen, Rick",(D),,"257,291","145,138","414,020",62.1%,35.1%,,"185,821","113,670","326,462",56.9%,34.8%,,"185,771","119,266","313,668",59.2%,38.0%,,"185,116","115,000","306,003",60.5%,37.6%
WA-03,"Herrera Beutler, Jaime",(R),,"198,429","214,391","423,462",46.9%,50.6%,,"134,009","157,359","315,150",42.5%,49.9%,,"145,442","150,409","303,483",47.9%,49.6%,,"151,296","139,890","297,159",50.9%,47.1%
WA-04,"Newhouse, Dan",(R),,"122,691","179,022","309,502",39.6%,57.8%,,"85,083","140,560","242,668",35.1%,57.9%,,"90,612","142,741","238,940",37.9%,59.7%,,"89,933","135,281","229,537",39.2%,58.9%
WA-05,"McMorris Rodgers, Cathy",(R),,"178,895","215,706","406,614",44.0%,53.0%,,"125,112","166,765","319,635",39.1%,52.2%,,"137,771","168,671","315,425",43.7%,53.5%,,"144,112","159,511","311,361",46.3%,51.2%
WA-06,"Kilmer, Derek",(D),,"244,141","168,250","425,315",57.4%,39.6%,,"172,596","131,449","332,992",51.8%,39.5%,,"184,820","135,573","329,190",56.1%,41.2%,,"186,336","133,689","326,650",57.0%,40.9%
WA-07,"Jayapal, Pramila",(D),,"410,067","58,832","478,306",85.7%,12.3%,,"341,412","50,615","415,693",82.1%,12.2%,,"310,828","70,973","392,419",79.2%,18.1%,,"302,597","67,921","376,324",80.4%,18.0%
WA-08,"Schrier, Kim",(D),,"218,274","190,801","419,669",52.0%,45.5%,,"153,167","143,403","321,002",47.7%,44.7%,,"155,982","151,069","313,967",49.7%,48.1%,,"154,691","140,555","300,545",51.5%,46.8%
WA-09,"Smith, Adam",(D),,"265,393","88,993","361,921",73.3%,24.6%,,"205,193","67,956","291,192",70.5%,23.3%,,"195,863","84,828","286,875",68.3%,29.6%,,"187,240","81,733","272,928",68.6%,29.9%
WA-10,"Heck, Denny",(D),,"216,800","157,058","385,791",56.2%,40.7%,,"151,373","117,861","295,356",51.3%,39.9%,,"164,505","120,066","292,060",56.3%,41.1%,,"163,623","117,330","286,226",57.2%,41.0%
WI-01,"Steil, Bryan",(R),,"182,942","220,668","409,363",44.7%,53.9%,,"150,436","187,372","355,961",42.3%,52.6%,,"179,872","195,835","379,184",47.4%,51.6%,,"185,716","175,988","365,858",50.8%,48.1%
WI-02,"Pocan, Mark",(D),,"323,807","136,439","466,777",69.4%,29.2%,,"271,507","119,608","412,803",65.8%,29.0%,,"284,084","126,688","415,942",68.3%,30.5%,,"274,466","112,024","391,306",70.1%,28.6%
WI-03,"Kind, Ron",(D),,"184,306","202,659","393,809",46.8%,51.5%,,"160,999","177,172","359,555",44.8%,49.3%,,"199,188","159,205","363,335",54.8%,43.8%,,"216,047","142,458","363,906",59.4%,39.1%
WI-04,"Moore, Gwen",(D),,"242,263","71,833","317,863",76.2%,22.6%,,"228,226","67,287","308,575",74.0%,21.8%,,"268,440","84,751","356,355",75.3%,23.8%,,"254,531","84,194","342,054",74.4%,24.6%
WI-05,"Sensenbrenner, Jim",(R),,"187,851","255,803","450,097",41.7%,56.8%,,"148,900","229,325","399,261",37.3%,57.4%,,"158,226","257,017","419,191",37.7%,61.3%,,"168,644","230,861","403,822",41.8%,57.2%
WI-06,"Grothman, Glenn",(R),,"170,457","232,820","409,886",41.6%,56.8%,,"141,917","203,433","365,442",38.8%,55.7%,,"174,988","202,979","382,295",45.8%,53.1%,,"185,438","184,985","375,245",49.4%,49.3%
WI-07,VACANT ,(R),,"165,104","248,822","420,340",39.3%,59.2%,,"137,874","213,467","369,841",37.3%,57.7%,,"178,841","190,364","373,876",47.8%,50.9%,,"197,706","168,540","371,936",53.2%,45.3%
WI-08,"Gallagher, Mike",(R),,"174,136","241,140","421,811",41.3%,57.2%,,"142,677","207,620","369,562",38.6%,56.2%,,"177,346","191,127","372,886",47.6%,51.3%,,"194,663","163,343","362,769",53.7%,45.0%
WV-01,"McKinley, David",(R),,"81,849","183,904","270,510",30.3%,68.0%,,"64,384","165,934","243,894",26.4%,68.0%,,"81,017","141,736","227,948",35.5%,62.2%,,"102,826","140,421","247,507",41.5%,56.7%
WV-02,"Mooney, Alex",(R),,"92,623","184,784","282,556",32.8%,65.4%,,"73,487","164,674","250,267",29.4%,65.8%,,"89,079","140,783","234,596",38.0%,60.0%,,"109,369","136,259","249,130",43.9%,54.7%
WV-03,"Miller, Carol ",(R),,"61,512","176,694","241,586",25.5%,73.1%,,"50,923","158,763","218,890",23.3%,72.5%,,"68,173","135,136","207,894",32.8%,65.0%,,"91,662","120,786","216,725",42.3%,55.7%
WY-AL,"Cheney, Liz",(R),,"73,491","193,559","275,026",26.7%,70.4%,,"55,973","174,419","248,945",22.5%,70.1%,,"69,286","170,962","247,026",28.0%,69.2%,,"82,868","164,958","253,137",32.7%,65.2%
