,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
IL-17,"Bustos, Cheri",(D),,"169,702","119,753","294,701",57.6%,40.6%,,"185,705","119,094","309,647",60.0%,38.5%
IL-18,"LaHood, Darin",(R),,"125,036","202,785","334,302",37.4%,60.7%,,"152,164","187,626","345,204",44.1%,54.4%
IN-01,"Visclosky, Pete",(D),,"182,021","111,217","297,470",61.2%,37.4%,,"194,518","109,940","307,118",63.3%,35.8%
IN-02,"Walorski, Jackie",(R),,"116,324","154,841","276,012",42.1%,56.1%,,"145,652","144,955","293,830",49.6%,49.3%
IN-03,"Stutzman, Marlin",(R),,"102,534","179,628","287,231",35.7%,62.5%,,"126,595","164,895","294,424",43.0%,56.0%
IN-04,"Rokita, Todd",(R),,"103,103","170,245","279,662",36.9%,60.9%,,"134,036","162,956","300,714",44.6%,54.2%
IN-05,"Brooks, Susan",(R),,"139,300","196,744","342,165",40.7%,57.5%,,"159,614","180,400","342,865",46.6%,52.6%
IN-06,"Messer, Luke",(R),,"106,371","172,456","285,361",37.3%,60.4%,,"133,163","167,842","305,271",43.6%,55.0%
IN-07,"Carson, Andre",(D),,"164,902","92,674","262,188",62.9%,35.3%,,"185,588","91,870","279,737",66.3%,32.8%
IN-08,"Bucshon, Larry",(R),,"116,465","171,648","294,054",39.6%,58.4%,,"149,097","156,720","309,712",48.1%,50.6%
IN-09,"Young, Todd",(R),,"123,436","173,433","303,390",40.7%,57.2%,,"145,776","166,069","315,274",46.2%,52.7%
KS-01,"Huelskamp, Tim",(R),,"72,699","184,288","263,027",27.6%,70.1%,,"87,634","189,890","282,699",31.0%,67.2%
KS-02,"Jenkins, Lynn",(R),,"124,370","163,082","294,487",42.2%,55.4%,,"145,750","170,059","322,079",45.3%,52.8%
KS-03,"Yoder, Kevin",(R),,"146,406","177,886","330,486",44.3%,53.8%,,"168,907","172,831","346,297",48.8%,49.9%
KS-04,"Pompeo, Mike",(R),,"96,433","164,553","267,116",36.1%,61.6%,,"112,474","166,876","284,727",39.5%,58.6%
KY-01,"Whitfield, Ed",(R),,"95,273","197,074","296,791",32.1%,66.4%,,"111,030","185,529","301,253",36.9%,61.6%
KY-02,"Guthrie, Brett",(R),,"103,432","186,207","294,280",35.1%,63.3%,,"111,139","183,813","299,109",37.2%,61.5%
KY-03,"Yarmuth, John",(D),,"183,015","140,539","328,389",55.7%,42.8%,,"193,236","147,121","343,778",56.2%,42.8%
KY-04,"Massie, Thomas",(R),,"108,328","197,131","311,035",34.8%,63.4%,,"115,487","191,855","312,017",37.0%,61.5%
KY-05,"Rogers, Hal",(R),,"60,785","196,167","261,483",23.2%,75.0%,,"82,637","174,307","261,555",31.6%,66.6%
KY-06,"Barr, Andy",(R),,"128,537","170,076","304,861",42.2%,55.8%,,"138,456","165,837","308,776",44.8%,53.7%
LA-01,"Scalise, Steve",(R),,"89,418","235,877","332,923",26.9%,70.9%,,"81,515","233,789","321,682",25.3%,72.7%
LA-02,"Richmond, Cedric",(D),,"248,982","74,893","328,306",75.8%,22.8%,,"235,554","81,703","321,114",73.4%,25.4%
LA-03,"Boustany, Charles",(R),,"107,611","220,490","333,573",32.3%,66.1%,,"111,831","210,951","328,353",34.1%,64.2%
LA-04,"Fleming, John",(R),,"128,612","191,416","324,250",39.7%,59.0%,,"126,899","187,020","317,749",39.9%,58.9%
LA-05,"Abraham, Ralph",(R),,"124,102","201,058","329,531",37.7%,61.0%,,"124,119","209,705","338,332",36.7%,62.0%
LA-06,"Graves, Garret",(R),,"110,416","228,528","345,482",32.0%,66.1%,,"103,071","225,094","333,531",30.9%,67.5%
MA-01,"Neal, Richard",(D),,"213,423","114,339","333,678",64.0%,34.3%,,"213,130","112,067","332,362",64.1%,33.7%
MA-02,"McGovern, Jim",(D),,"199,549","133,195","339,921",58.7%,39.2%,,"200,553","124,192","333,290",60.2%,37.3%
MA-03,"Tsongas, Niki",(D),,"189,461","137,869","332,925",56.9%,41.4%,,"188,491","126,175","320,411",58.8%,39.4%
MA-04,"Kennedy, Joe",(D),,"211,895","152,845","370,160",57.2%,41.3%,,"219,573","137,933","362,027",60.7%,38.1%
MA-05,"Clark, Katherine",(D),,"235,984","119,934","362,013",65.2%,33.1%,,"230,731","111,908","348,496",66.2%,32.1%
MA-06,"Moulton, Seth",(D),,"212,003","169,966","387,259",54.7%,43.9%,,"212,823","154,833","373,809",56.9%,41.4%
MA-07,"Capuano, Mike",(D),,"233,382","44,275","283,031",82.5%,15.6%,,"214,011","43,558","261,402",81.9%,16.7%
MA-08,"Lynch, Stephen",(D),,"213,364","150,825","369,239",57.8%,40.8%,,"205,644","144,128","355,472",57.9%,40.5%
