,,,,2016,,,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
PA-04,"Perry, Scott",(R),,"125,762","198,571","338,687",37.1%,58.6%,,"129,239","177,711","311,373",41.5%,57.1%,,"144,854","172,940","321,232",45.1%,53.8%
PA-05,"Thompson, Glenn",(R),,"105,138","195,736","314,143",33.5%,62.3%,,"119,958","165,210","290,085",41.4%,57.0%,,"146,536","160,134","311,074",47.1%,51.5%
PA-06,"Costello, Ryan",(R),,"177,639","175,340","368,554",48.2%,47.6%,,"165,916","174,379","344,797",48.1%,50.6%,,"186,460","161,570","351,615",53.0%,46.0%
PA-07,"Meehan, Pat",(R),,"190,599","181,455","386,339",49.3%,47.0%,,"177,252","183,955","365,247",48.5%,50.4%,,"192,275","179,384","375,376",51.2%,47.8%
PA-08,"Fitzpatrick, Brian",(R),,"185,685","186,607","387,025",48.0%,48.2%,,"177,940","178,195","360,589",49.3%,49.4%,,"198,505","170,472","373,060",53.2%,45.7%
PA-09,"Schuster, Bill",(R),,"83,263","213,381","305,937",27.2%,69.7%,,"100,907","176,724","281,321",35.9%,62.8%,,"120,433","170,305","294,304",40.9%,57.9%
PA-10,"Marino, Tom",(R),,"93,240","204,114","308,952",30.2%,66.1%,,"108,944","170,277","283,294",38.5%,60.1%,,"126,925","169,324","299,936",42.3%,56.5%
PA-11,"Barletta, Lou",(R),,"115,482","191,470","319,032",36.2%,60.0%,,"130,502","157,841","292,821",44.6%,53.9%,,"145,211","159,469","308,440",47.1%,51.7%
PA-12,"Rothfus, Keith",(R),,"137,482","213,005","363,139",37.9%,58.7%,,"141,918","200,396","346,617",40.9%,57.8%,,"161,241","195,077","360,576",44.7%,54.1%
PA-13,"Boyle, Brendan",(D),,"217,268","105,558","332,645",65.3%,31.7%,,"210,561","104,711","318,212",66.2%,32.9%,,"217,661","112,243","332,609",65.4%,33.7%
PA-14,"Doyle, Michael",(D),,"231,552","107,100","350,774",66.0%,30.5%,,"230,750","103,977","339,399",68.0%,30.6%,,"245,432","116,994","366,056",67.0%,32.0%
PA-15,"Dent, Charlie",(R),,"148,080","173,597","334,869",44.2%,51.8%,,"147,234","156,165","307,543",47.9%,50.8%,,"165,836","148,385","318,325",52.1%,46.6%
PA-16,"Smucker, Lloyd",(R),,"140,186","161,763","317,019",44.2%,51.0%,,"135,331","153,189","292,597",46.3%,52.4%,,"152,095","148,489","303,292",50.1%,49.0%
PA-17,"Cartwright, Matt",(D),,"132,700","163,734","306,644",43.3%,53.4%,,"156,019","121,870","281,710",55.4%,43.3%,,"174,446","128,440","306,601",56.9%,41.9%
PA-18,,(R),,"142,705","215,102","370,497",38.5%,58.1%,,"142,178","200,985","346,855",41.0%,57.9%,,"155,226","195,970","354,760",43.8%,55.2%
RI-01,"Cicilline, David",(D),,"130,682","75,510","216,116",60.5%,34.9%,,"141,332","68,685","213,460",66.2%,32.2%,,"150,363","71,764","225,615",66.6%,31.8%
RI-02,"Langevin, Jim",(D),,"121,843","105,033","238,589",51.1%,44.0%,,"138,345","88,519","231,208",59.8%,38.3%,,"146,208","93,627","244,152",59.9%,38.3%
SC-01,"Sanford, Mark",(R),,"134,685","178,052","333,021",40.4%,53.5%,,"119,756","173,550","297,933",40.2%,58.3%,,"118,886","156,066","278,253",42.7%,56.1%
SC-02,"Wilson, Joe",(R),,"120,591","175,985","312,625",38.6%,56.3%,,"113,338","170,005","287,443",39.4%,59.1%,,"112,547","169,885","285,473",39.4%,59.5%
SC-03,"Duncan, Jeff",(R),,"82,527","190,540","284,348",29.0%,67.0%,,"89,494","170,173","263,638",33.9%,64.5%,,"93,525","169,190","266,523",35.1%,63.5%
SC-04,"Gowdy, Trey",(R),,"103,975","181,634","301,747",34.5%,60.2%,,"99,387","170,679","274,554",36.2%,62.2%,,"102,178","164,088","270,855",37.7%,60.6%
SC-05,"Norman, Ralph",(R),,"118,791","175,391","306,200",38.8%,57.3%,,"124,832","157,710","286,200",43.6%,55.1%,,"120,264","150,734","274,280",43.8%,55.0%
SC-06,"Clyburn, Jim",(D),,"178,159","80,741","266,848",66.8%,30.3%,,"195,131","77,299","275,266",70.9%,28.1%,,"191,945","79,266","273,907",70.1%,28.9%
SC-07,"Rice, Tom",(R),,"116,645","173,046","298,237",39.1%,58.0%,,"124,002","152,230","279,085",44.4%,54.5%,,"123,103","145,666","271,678",45.3%,53.6%
SD-AL,"Noem, Kristi",(R),,"117,466","227,731","370,111",31.7%,61.5%,,"145,039","210,610","363,809",39.9%,57.9%,,"170,924","203,054","381,975",44.7%,53.2%
TN-01,"Roe, Phil",(R),,"52,240","203,668","265,493",19.7%,76.7%,,"65,767","186,310","256,324",25.7%,72.7%,,"77,079","188,237","269,243",28.6%,69.9%
TN-02,"Duncan, John",(R),,"86,214","188,956","290,193",29.7%,65.1%,,"85,525","186,368","276,952",30.9%,67.3%,,"101,603","188,283","294,421",34.5%,64.0%
TN-03,"Fleischmann, Chuck",(R),,"83,524","180,932","276,457",30.2%,65.4%,,"95,226","171,838","271,565",35.1%,63.3%,,"106,560","175,163","285,533",37.3%,61.3%
TN-04,"DesJarlais, Scott",(R),,"75,831","189,613","276,582",27.4%,68.6%,,"86,133","169,977","260,182",33.1%,65.3%,,"97,643","170,600","272,380",35.8%,62.6%
TN-05,"Cooper, Jim",(D),,"156,608","105,776","276,959",56.5%,38.2%,,"152,939","116,229","273,794",55.9%,42.5%,,"170,190","122,232","296,073",57.5%,41.3%
TN-06,"Black, Diane",(R),,"70,549","216,461","297,967",23.7%,72.6%,,"82,297","192,662","278,928",29.5%,69.1%,,"97,072","188,258","289,881",33.5%,64.9%
TN-07,"Blackburn, Marsha",(R),,"82,313","196,848","291,561",28.2%,67.5%,,"92,042","183,757","279,796",32.9%,65.7%,,"103,884","178,286","285,870",36.3%,62.4%
TN-08,"Kustoff, David",(R),,"91,025","196,702","296,672",30.7%,66.3%,,"100,213","201,645","305,053",32.9%,66.1%,,"110,590","203,070","316,873",34.9%,64.1%
TN-09,"Cohen, Steve",(D),,"172,391","43,970","222,353",77.5%,19.8%,,"200,568","53,544","255,982",78.4%,20.9%,,"222,816","65,047","289,475",77.0%,22.5%
TX-01,"Gohmert, Louie",(R),,"66,389","189,604","262,492",25.3%,72.2%,,"69,858","181,835","254,055",27.5%,71.6%,,"78,918","178,520","258,800",30.5%,69.0%
TX-02,"Poe, Ted",(R),,"119,659","145,530","277,873",43.1%,52.4%,,"88,751","157,094","249,569",35.6%,62.9%,,"91,087","150,665","243,439",37.4%,61.9%
TX-03,"Johnson, Sam",(R),,"129,384","174,561","318,536",40.6%,54.8%,,"93,290","175,383","272,664",34.2%,64.3%,,"100,440","165,158","267,545",37.5%,61.7%
TX-04,"Ratcliffe, John",(R),,"60,841","210,587","279,188",21.8%,75.4%,,"63,559","189,554","256,123",24.8%,74.0%,,"75,910","180,772","258,577",29.4%,69.9%
TX-05,"Hensarling, Jeb",(R),,"79,759","145,841","232,735",34.3%,62.7%,,"73,085","137,239","212,669",34.4%,64.5%,,"83,216","137,698","222,316",37.4%,61.9%
TX-06,"Barton, Joe",(R),,"115,272","148,945","274,848",41.9%,54.2%,,"103,444","146,985","253,795",40.8%,57.9%,,"109,854","148,503","259,993",42.3%,57.1%
TX-07,"Culberson, John",(R),,"124,722","121,204","257,308",48.5%,47.1%,,"92,499","143,631","239,767",38.6%,59.9%,,"96,866","140,692","239,081",40.5%,58.8%
TX-08,"Brady, Kevin",(R),,"70,532","214,605","295,099",23.9%,72.7%,,"55,273","195,742","254,167",21.7%,77.0%,,"61,357","171,408","234,270",26.2%,73.2%
TX-09,"Green, Al",(D),,"151,559","34,447","191,042",79.3%,18.0%,,"145,332","39,392","186,267",78.0%,21.1%,,"144,707","44,520","189,937",76.2%,23.4%
TX-10,"McCaul, Michael",(R),,"135,984","164,912","315,133",43.2%,52.3%,,"104,839","159,714","270,136",38.8%,59.1%,,"112,866","148,867","264,035",42.7%,56.4%
TX-11,"Conaway, Michael",(R),,"47,468","193,620","248,860",19.1%,77.8%,,"45,070","182,355","230,331",19.6%,79.2%,,"56,145","184,238","242,210",23.2%,76.1%
TX-12,"Granger, Kay",(R),,"92,549","177,939","282,691",32.7%,62.9%,,"79,147","166,992","249,826",31.7%,66.8%,,"89,718","161,030","252,637",35.5%,63.7%
TX-13,"Thornberry, Mac",(R),,"40,253","190,838","238,846",16.9%,79.9%,,"42,521","184,104","229,545",18.5%,80.2%,,"54,855","189,600","246,252",22.3%,77.0%
TX-14,"Weber, Randy",(R),,"101,228","153,191","263,381",38.4%,58.2%,,"97,958","147,213","248,073",39.5%,59.3%,,"102,902","139,304","243,755",42.2%,57.1%
TX-15,"Gonzalez, Vicente",(D),,"104,454","73,689","184,358",56.7%,40.0%,,"86,941","62,885","151,351",57.4%,41.5%,,"83,924","61,282","146,097",57.4%,41.9%
TX-16,"O'Rourke, Beto",(D),,"130,784","52,334","192,692",67.9%,27.2%,,"100,993","54,315","157,414",64.2%,34.5%,,"109,387","58,764","169,232",64.6%,34.7%
TX-17,"Flores, Bill",(R),,"96,156","139,415","247,625",38.8%,56.3%,,"84,531","135,309","224,079",37.7%,60.4%,,"95,884","135,738","233,690",41.0%,58.1%
TX-18,"Jackson-Lee, Sheila",(D),,"157,117","41,011","205,514",76.5%,20.0%,,"150,129","44,991","197,206",76.1%,22.8%,,"150,733","45,069","196,624",76.7%,22.9%
TX-19,"Arrington, Jodey",(R),,"53,519","165,384","228,008",23.5%,72.5%,,"54,461","160,141","217,619",25.0%,73.6%,,"66,122","168,553","236,363",28.0%,71.3%
TX-20,"Castro, Joaquin",(D),,"132,363","74,386","216,952",61.0%,34.3%,,"110,663","74,540","187,835",58.9%,39.7%,,"115,579","80,667","197,670",58.5%,40.8%
TX-21,"Smith, Lamar",(R),,"152,528","188,335","358,985",42.5%,52.5%,,"119,220","188,241","314,591",37.9%,59.8%,,"133,581","178,531","314,971",42.4%,56.7%
TX-22,"Olson, Pete",(R),,"135,525","159,717","306,777",44.2%,52.1%,,"93,582","158,452","255,043",36.7%,62.1%,,"91,137","142,073","234,671",38.8%,60.5%
TX-23,"Hurd, Will",(R),,"115,154","107,276","231,365",49.8%,46.4%,,"94,420","99,666","196,410",48.1%,50.7%,,"96,871","95,679","193,782",50.0%,49.4%
TX-24,"Marchant, Kenny",(R),,"122,872","140,128","276,137",44.5%,50.7%,,"94,634","150,547","249,080",38.0%,60.4%,,"105,822","152,453","260,216",40.7%,58.6%
TX-25,"Williams, Roger",(R),,"125,949","172,476","313,111",40.2%,55.1%,,"102,433","162,279","270,807",37.8%,59.9%,,"117,402","153,998","274,061",42.8%,56.2%
TX-26,"Burgess, Michael",(R),,"109,536","194,033","318,854",34.4%,60.9%,,"80,828","177,941","263,196",30.7%,67.6%,,"90,791","166,877","259,505",35.0%,64.3%
TX-27,,(R),,"85,589","140,787","234,367",36.5%,60.1%,,"83,158","131,821","217,772",38.2%,60.5%,,"91,083","133,839","226,488",40.2%,59.1%
TX-28,"Cuellar, Henry",(D),,"110,023","72,518","188,600",58.3%,38.5%,,"101,843","65,372","168,874",60.3%,38.7%,,"92,557","65,066","158,418",58.4%,41.1%
TX-29,"Green, Gene",(D),,"95,027","34,011","133,642",71.1%,25.4%,,"75,720","37,909","114,901",65.9%,33.0%,,"70,286","41,843","112,823",62.3%,37.1%
TX-30,"Johnson, E.B.",(D),,"174,528","40,333","220,711",79.1%,18.3%,,"175,637","43,333","220,565",79.6%,19.6%,,"175,237","47,144","223,182",78.5%,21.1%
TX-31,"Carter, John",(R),,"117,181","153,823","287,510",40.8%,53.5%,,"92,842","144,634","242,714",38.3%,59.6%,,"103,359","135,601","241,425",42.8%,56.2%
TX-32,"Sessions, Pete",(R),,"134,895","129,701","278,080",48.5%,46.6%,,"106,563","146,420","256,873",41.5%,57.0%,,"117,231","147,226","266,302",44.0%,55.3%
TX-33,"Veasey, Marc",(D),,"94,513","30,787","129,653",72.9%,23.7%,,"86,686","32,641","120,480",72.0%,27.1%,,"90,180","40,290","131,182",68.7%,30.7%
TX-34,"Vela, Filemon",(D),,"101,796","64,767","171,969",59.2%,37.7%,,"90,885","57,303","149,511",60.8%,38.3%,,"90,178","58,707","149,742",60.2%,39.2%
TX-35,"Doggett, Lloyd",(D),,"128,535","61,136","200,576",64.1%,30.5%,,"105,545","57,989","167,467",63.0%,34.6%,,"111,790","62,764","176,150",63.5%,35.6%
TX-36,"Babin, Brian",(R),,"64,225","183,176","254,447",25.2%,72.0%,,"61,786","175,883","240,433",25.7%,73.2%,,"70,543","165,899","238,206",29.6%,69.6%
UT-01,"Bishop, Rob",(R),,"62,733","139,503","280,442",22.4%,49.7%,,"51,098","193,672","250,278",20.4%,77.4%,,"69,594","160,433","237,027",29.4%,67.7%
UT-02,"Stewart, Chris",(R),,"90,686","130,525","283,699",32.0%,46.0%,,"74,556","173,513","255,201",29.2%,68.0%,,"94,123","143,331","244,925",38.4%,58.5%
UT-03,"Curtis, John",(R),,"67,461","136,782","289,923",23.3%,47.2%,,"51,791","208,121","265,856",19.5%,78.3%,,"73,625","168,358","249,389",29.5%,67.5%
UT-04,"Love, Mia",(R),,"89,796","108,421","277,311",32.4%,39.1%,,"74,368","165,294","246,066",30.2%,67.2%,,"90,328","123,909","220,996",40.9%,56.1%
VA-01,"Wittman, Rob",(R),,"162,931","211,991","395,289",41.2%,53.6%,,"162,611","207,062","374,545",43.4%,55.3%,,,,,,
VA-02,"Taylor, Scott",(R),,"145,762","156,694","321,068",45.4%,48.8%,,"154,698","161,995","320,975",48.2%,50.5%,,,,,,
VA-03,"Scott, Bobby",(D),,"205,746","103,064","323,422",63.6%,31.9%,,"227,734","105,561","336,890",67.6%,31.3%,,,,,,
VA-04,"McEachin, Donald",(D),,"212,677","134,676","362,532",58.7%,37.1%,,"216,598","138,322","358,936",60.3%,38.5%,,,,,,
VA-05,"Garrett, Tom",(R),,"154,665","195,190","365,403",42.3%,53.4%,,"164,555","188,485","358,689",45.9%,52.5%,,,,,,
VA-06,"Goodlatte, Bob",(R),,"120,596","206,303","345,500",34.9%,59.7%,,"132,153","197,045","334,864",39.5%,58.8%,,,,,,
VA-07,"Brat, Dave",(R),,"172,544","198,032","392,168",44.0%,50.5%,,"166,472","206,213","377,687",44.1%,54.6%,,,,,,
VA-08,"Beyer, Don",(D),,"270,415","76,854","367,885",73.5%,20.9%,,"243,746","111,518","359,743",67.8%,31.0%,,,,,,
VA-09,"Griffith, Morgan",(R),,"86,463","217,837","316,740",27.3%,68.8%,,"108,641","196,354","311,291",34.9%,63.1%,,,,,,
VA-10,"Comstock, Barbara",(R),,"210,692","170,580","403,821",52.2%,42.2%,,"182,432","186,650","373,913",48.8%,49.9%,,,,,,
VA-11,"Connolly, Gerry",(D),,"238,982","98,222","357,054",66.9%,27.5%,,"212,181","123,317","339,710",62.5%,36.3%,,,,,,
VT-AL,"Welch, Peter",(D),,"178,573","95,362","315,067",56.7%,30.3%,,"199,239","92,698","297,247",67.0%,31.2%,,"219,262","98,974","323,582",67.8%,30.6%
WA-01,"DelBene, Suzan",(D),,"188,952","132,109","349,064",54.1%,37.8%,,"183,802","147,074","339,489",54.1%,43.3%,,"185,907","138,307","330,145",56.3%,41.9%
WA-02,"Larsen, Rick",(D),,"185,821","113,670","326,462",56.9%,34.8%,,"185,771","119,266","313,668",59.2%,38.0%,,"185,116","115,000","306,003",60.5%,37.6%
WA-03,"Herrera Beutler, Jaime",(R),,"134,009","157,359","315,150",42.5%,49.9%,,"145,442","150,409","303,483",47.9%,49.6%,,"151,296","139,890","297,159",50.9%,47.1%
WA-04,"Newhouse, Dan",(R),,"85,083","140,560","242,668",35.1%,57.9%,,"90,612","142,741","238,940",37.9%,59.7%,,"89,933","135,281","229,537",39.2%,58.9%
WA-05,"McMorris Rodgers, Cathy",(R),,"125,112","166,765","319,635",39.1%,52.2%,,"137,771","168,671","315,425",43.7%,53.5%,,"144,112","159,511","311,361",46.3%,51.2%
WA-06,"Kilmer, Derek",(D),,"172,596","131,449","332,992",51.8%,39.5%,,"184,820","135,573","329,190",56.1%,41.2%,,"186,336","133,689","326,650",57.0%,40.9%
WA-07,"Jayapal, Pramila",(D),,"341,412","50,615","415,693",82.1%,12.2%,,"310,828","70,973","392,419",79.2%,18.1%,,"302,597","67,921","376,324",80.4%,18.0%
WA-08,"Reichert, David",(R),,"153,167","143,403","321,002",47.7%,44.7%,,"155,982","151,069","313,967",49.7%,48.1%,,"154,691","140,555","300,545",51.5%,46.8%
WA-09,"Smith, Adam",(D),,"205,193","67,956","291,192",70.5%,23.3%,,"195,863","84,828","286,875",68.3%,29.6%,,"187,240","81,733","272,928",68.6%,29.9%
WA-10,"Heck, Denny",(D),,"151,373","117,861","295,356",51.3%,39.9%,,"164,505","120,066","292,060",56.3%,41.1%,,"163,623","117,330","286,226",57.2%,41.0%
WI-01,"Ryan, Paul",(R),,"150,436","187,372","355,961",42.3%,52.6%,,"179,872","195,835","379,184",47.4%,51.6%,,"185,716","175,988","365,858",50.8%,48.1%
WI-02,"Pocan, Mark",(D),,"271,507","119,608","412,803",65.8%,29.0%,,"284,084","126,688","415,942",68.3%,30.5%,,"274,466","112,024","391,306",70.1%,28.6%
WI-03,"Kind, Ron",(D),,"160,999","177,172","359,555",44.8%,49.3%,,"199,188","159,205","363,335",54.8%,43.8%,,"216,047","142,458","363,906",59.4%,39.1%
WI-04,"Moore, Gwen",(D),,"228,226","67,287","308,575",74.0%,21.8%,,"268,440","84,751","356,355",75.3%,23.8%,,"254,531","84,194","342,054",74.4%,24.6%
WI-05,"Sensenbrenner, Jim",(R),,"148,900","229,325","399,261",37.3%,57.4%,,"158,226","257,017","419,191",37.7%,61.3%,,"168,644","230,861","403,822",41.8%,57.2%
WI-06,"Grothman, Glenn",(R),,"141,917","203,433","365,442",38.8%,55.7%,,"174,988","202,979","382,295",45.8%,53.1%,,"185,438","184,985","375,245",49.4%,49.3%
WI-07,"Duffy, Sean",(R),,"137,874","213,467","369,841",37.3%,57.7%,,"178,841","190,364","373,876",47.8%,50.9%,,"197,706","168,540","371,936",53.2%,45.3%
WI-08,"Gallagher, Mike",(R),,"142,677","207,620","369,562",38.6%,56.2%,,"177,346","191,127","372,886",47.6%,51.3%,,"194,663","163,343","362,769",53.7%,45.0%
WV-01,"McKinley, David",(R),,"64,384","165,934","243,894",26.4%,68.0%,,"81,017","141,736","227,948",35.5%,62.2%,,"102,826","140,421","247,507",41.5%,56.7%
WV-02,"Mooney, Alex",(R),,"73,487","164,674","250,267",29.4%,65.8%,,"89,079","140,783","234,596",38.0%,60.0%,,"109,369","136,259","249,130",43.9%,54.7%
WV-03,"Jenkins, Evan",(R),,"50,923","158,763","218,890",23.3%,72.5%,,"68,173","135,136","207,894",32.8%,65.0%,,"91,662","120,786","216,725",42.3%,55.7%
WY-AL,"Cheney, Liz",(R),,"55,973","174,419","248,945",22.5%,70.1%,,"69,286","170,962","247,026",28.0%,69.2%,,"82,868","164,958","253,137",32.7%,65.2%
