,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,lean_12
18,AZ-06,"Schweikert, David",(R),143571,177332,338331,42.4,52.4,121661,186537,313417,38.8,59.5,308198,39.47494792308841,60.5250520769116,320903,44.73968769378909,55.26031230621091,-6.37360123692379,-12.488914328921354
19,AZ-07,"Gallego, Ruben",(D),117958,37232,164399,71.8,22.6,101028,37353,140907,71.7,26.5,138381,73.0071324820604,26.9928675179396,155190,76.0087634512533,23.9912365487467,24.895474520540425,21.043270230050638
20,AZ-08,"Lesko, Debbie",(R),120992,190163,327325,37.0,58.1,107335,179555,291126,36.9,61.7,286890,37.41329429398027,62.58670570601973,311155,38.88480017997461,61.11519982002539,-12.228488750738265,-14.55056795802949
21,AZ-09,"Stanton, Greg",(D),155158,109123,283863,54.7,38.4,135244,123263,264563,51.1,46.6,258507,52.317345371692056,47.68265462830794,264281,58.70947968261056,41.29052031738944,7.59619075189768,0.35348311968229496
22,CA-01,"LaMalfa, Doug",(R),114727,176358,313968,36.5,56.2,122379,171902,303928,40.3,56.6,294281,41.58576326708146,58.41423673291853,291085,39.41357335486198,60.58642664513801,-11.699715575850895,-10.3780989849283
23,CA-02,"Huffman, Jared",(D),238157,80545,344971,69.0,23.3,230212,89908,333442,69.0,27.0,320120,71.91428214419592,28.08571785580407,318702,74.72717460197927,25.27282539802072,23.613885671266395,19.95041989218616
24,CA-03,"Garamendi, John",(D),138882,105860,262086,53.0,40.4,131237,104145,241687,54.3,43.1,235382,55.75490054464658,44.245099455353426,244742,56.746287927695285,43.253712072304715,5.632998996982408,3.79103829263682
25,CA-04,"McClintock, Tom",(R),138790,190924,353388,39.3,54.0,133473,195386,337634,39.5,57.9,328859,40.586695209801164,59.413304790198836,329714,42.094057273879784,57.905942726120216,-9.019231656833092,-11.377167042208598
26,CA-05,"Thompson, Mike",(D),210950,74088,305052,69.2,24.3,199924,78703,286658,69.7,27.5,278627,71.75327588496448,28.246724115035516,285038,74.00767616949318,25.99232383050681,22.894387238780304,19.78941363295472
27,CA-06,"Matsui, Doris",(D),168687,59549,243910,69.2,24.4,156141,63862,225831,69.1,28.3,220003,70.97221401526342,29.02778598473657,228236,73.9090239927093,26.0909760072907,22.795735061996417,19.008351763253657
28,CA-07,"Bera, Ami",(D),159066,124249,304118,52.3,40.9,145147,133888,285997,50.8,46.8,279035,52.01748884548534,47.98251115451467,283315,56.144574060674515,43.855425939325485,5.031285129961638,0.05362659347557752
29,CA-08,"Cook, Paul",(R),92234,127464,232835,39.6,54.7,88579,118278,212633,41.7,55.6,206857,42.821369351774415,57.17863064822558,219698,41.982175531866474,58.017824468133526,-9.131113398846402,-9.142492900235347
30,CA-09,"McNerney, Jerry",(D),134719,90484,238191,56.6,38.0,127418,88403,220312,57.8,40.1,215821,59.03874043767752,40.96125956232248,225203,59.82113915001133,40.17886084998868,8.70785021929845,7.074878185667757
31,CA-10,"Harder, Josh",(D),116335,109145,239680,48.5,45.5,108923,101160,215113,50.6,47.0,210083,51.84760309020721,48.15239690979279,225480,51.594376441369526,48.40562355863048,0.4810875106566499,-0.11625916180255302
32,CA-11,"DeSaulnier, Mark",(D),223559,70869,312568,71.5,22.7,203699,90226,301134,67.6,30.0,293925,69.30305350004254,30.696946499957473,294428,75.92993872865353,24.070061271346475,24.81664979794065,17.339191248032776
33,CA-12,"Pelosi, Nancy",(D),309221,31158,358774,86.2,8.7,269461,40003,320387,84.1,12.5,309464,87.07345604012097,12.926543959879016,340379,90.84608627441764,9.153913725582367,39.73279734370477,35.10959378811121
34,CA-13,"Lee, Barbara",(D),291926,22743,334194,87.4,6.8,268093,27474,306314,87.5,9.0,295567,90.70464564717983,9.295354352820173,314669,92.77240528936755,7.2275947106324425,41.65911635865468,38.74078339517007
35,CA-14,"Speier, Jackie",(D),229008,54229,297743,76.9,18.2,200343,63589,269882,74.2,23.6,263932,75.90705181637695,24.092948183623054,283237,80.85384324788075,19.14615675211925,29.74055431716787,23.943189564367188
36,CA-15,"Swalwell, Eric",(D),198964,68808,284536,69.9,24.2,177243,77748,260611,68.0,29.8,254991,69.50951210042707,30.490487899572926,267772,74.30351194299628,25.69648805700372,23.190223012283404,17.545649848417312
37,CA-16,"Costa, Jim",(D),98504,61813,169964,58.0,36.4,88973,59808,151953,58.6,39.4,148781,59.80131871677163,40.198681283228375,160317,61.443265530168354,38.556734469831646,10.329976599455478,7.837456464761871
38,CA-17,"Khanna, Ro",(D),183801,50926,248695,73.9,20.5,163862,58193,227806,71.9,25.5,222055,73.7934295557407,26.206570444259302,234727,78.3041575958454,21.695842404154615,27.19086866513252,21.82956730373094
39,CA-18,"Eshoo, Anna",(D),246015,67808,335138,73.4,20.2,218082,92457,319615,68.2,28.9,310539,70.22692801870296,29.773071981297033,313823,78.39291575187288,21.60708424812713,27.27962682116,18.263065766693202
40,CA-19,"Lofgren, Zoe",(D),187828,55371,257624,72.9,21.5,165530,61643,232442,71.2,26.5,227173,72.86517323801685,27.13482676198316,243199,77.23222546145337,22.76777453854662,26.11893653074049,20.90131098600709
41,CA-20,"Panetta, Jimmy",(D),180486,59573,256538,70.4,23.2,168956,62427,238341,70.9,26.2,231383,73.02005765332802,26.97994234667197,240059,75.18401726242298,24.815982737577013,24.070728331710107,21.056195401318263
42,CA-21,"Cox, TJ",(D),73773,52972,133544,55.2,39.7,65146,51917,119232,54.6,43.5,117063,55.65037629310713,44.34962370689287,126745,58.20584638447276,41.79415361552724,7.092557453759881,3.686514041097368
43,CA-22,"Nunes, Devin",(R),102292,125089,240137,42.6,52.1,92005,125213,221278,41.6,56.6,217218,42.3560662560193,57.6439337439807,227381,44.98704817025169,55.01295182974831,-6.126240760461187,-9.607795995990465
44,CA-23,"McCarthy, Kevin",(R),88314,142351,244864,36.1,58.1,82119,139816,227297,36.1,61.5,221935,37.00137427625206,62.99862572374795,230665,38.28669282292502,61.71330717707498,-12.826596107787857,-14.962487975757703
45,CA-24,"Carbajal, Salud",(D),176979,113887,312160,56.7,36.5,158119,126049,292406,54.1,43.1,284168,55.6427887728386,44.3572112271614,290866,60.84554399620444,39.15445600379556,9.732255065491564,3.6789265208288384
