,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,dem_08,rep_08,tot_08,dem_pct_08,rep_pct_08,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_08,dem_2p_08,rep_2p_08,lean_08,lean_12
21,AZ-09,"Sinema, Kyrsten",(D),155158,109123,"283,863",54.7%,38.4%,135244,123263,264563,51.1,46.6,140546,129894,274042,51.3,47.4,264281,58.70947968261056,41.29052031738944,258507,52.317345371692056,47.68265462830794,270440,51.96938322733323,48.03061677266677,-1.7194642848103499,0.35348311968229496
22,CA-01,"LaMalfa, Doug",(R),114727,176358,"313,968",36.5%,56.2%,122379,171902,303928,40.3,56.6,139534,177208,316755,,,291085,39.41357335486198,60.58642664513801,294281,41.58576326708146,58.41423673291853,316742,44.05288847074275,55.947111529257256,-9.635959041400831,-10.3780989849283
23,CA-02,"Huffman, Jared",(D),238157,80545,"344,971",69.0%,23.3%,230212,89908,333442,69.0,27.0,255491,91129,346621,,,318702,74.72717460197927,25.27282539802072,320120,71.91428214419592,28.08571785580407,346620,73.70924932202412,26.290750677975883,20.02040180988054,19.95041989218616
24,CA-03,"Garamendi, John",(D),138882,105860,"262,086",53.0%,40.4%,131237,104145,241687,54.3,43.1,139674,109154,248827,,,244742,56.746287927695285,43.253712072304715,235382,55.75490054464658,44.245099455353426,248828,56.13275033356375,43.86724966643625,2.443902821420167,3.79103829263682
25,CA-04,"McClintock, Tom",(R),138790,190924,"353,388",39.3%,54.0%,133473,195386,337634,39.5,57.9,149990,187497,337472,,,329714,42.094057273879784,57.905942726120216,328859,40.586695209801164,59.413304790198836,337487,44.443193367448224,55.55680663255177,-9.245654144695358,-11.377167042208598
26,CA-05,"Thompson, Mike",(D),210950,74088,"305,052",69.2%,24.3%,199924,78703,286658,69.7,27.5,215830,81919,297741,,,285038,74.00767616949318,25.99232383050681,278627,71.75327588496448,28.246724115035516,297749,72.48722917625247,27.512770823747516,18.798381664108888,19.78941363295472
27,CA-06,"Matsui, Doris",(D),168687,59549,"243,910",69.2%,24.4%,156141,63862,225831,69.1,28.3,162932,70736,233674,,,228236,73.9090239927093,26.0909760072907,220003,70.97221401526342,29.02778598473657,233668,69.72799013985654,30.272009860143452,16.039142627712963,19.008351763253657
28,CA-07,"Bera, Ami",(D),159066,124249,"304,118",52.3%,40.9%,145147,133888,285997,50.8,46.8,152694,136709,289398,,,283315,56.144574060674515,43.855425939325485,279035,52.01748884548534,47.98251115451467,289403,52.76171981631151,47.23828018368849,-0.9271276958320698,0.05362659347557752
29,CA-08,"Cook, Paul",(R),92234,127464,"232,835",39.6%,54.7%,88579,118278,212633,41.7,55.6,93613,121523,215140,,,219698,41.982175531866474,58.017824468133526,206857,42.821369351774415,57.17863064822558,215136,43.51340547374684,56.486594526253164,-10.175442038396739,-9.142492900235347
30,CA-09,"McNerney, Jerry",(D),134719,90484,"238,191",56.6%,38.0%,127418,88403,220312,57.8,40.1,125120,90654,215779,,,225203,59.82113915001133,40.17886084998868,215821,59.03874043767752,40.96125956232248,215774,57.9865970876936,42.0134029123064,4.2977495755500215,7.074878185667757
