,district,incumbent,party,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_20,dem_2p_20,rep_2p_20,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,lean_16,lean_20,lean_12
54,CA-33,Ted Lieu,(D),285906,120287,414262,69.0,29.0,239982,93706,353897,67.8,26.5,210010,127421,346504,60.6,36.8,406193,70.38673733914666,29.61326266085334,333688,71.91807916376975,28.08192083623025,337431,62.23790937999176,37.76209062000824,20.80479023305687,18.116902414940192,10.274047127982001
55,CA-34,Jimmy Gomez,(D),193874,40552,239944,80.8,16.9,154259,19784,184601,83.6,10.7,127510,21739,153699,83.0,14.1,234426,82.70157747007585,17.298422529924153,174043,88.63269421924467,11.36730578075533,149249,85.43440827074218,14.565591729257818,37.51940528853179,30.431742545869376,33.47054601873242
56,CA-35,Norma Torres,(D),166339,83352,255345,65.1,32.6,127757,50822,188611,67.7,26.9,108983,49433,161732,67.4,30.6,249691,66.61793977356012,33.38206022643988,178579,71.54088666640534,28.459113333594654,158416,68.79544995455005,31.204550045449952,20.427597735692466,14.348104849353653,16.83158770254029
57,CA-36,Raul Ruiz,(D),173573,131304,310310,55.9,42.3,123795,103051,237370,52.2,43.4,107914,101156,212939,50.7,47.5,304877,56.93213984656107,43.06786015343893,226846,54.57226488454723,45.42773511545277,209070,51.61620509877075,48.38379490122925,3.4589759538343543,4.6623049223546005,-0.3476571532390125
58,CA-37,Karen Bass,(D),275573,45202,326798,84.3,13.8,236621,26608,276134,85.7,9.6,222329,33307,261858,84.9,12.7,320775,85.90850284467307,14.091497155326943,263229,89.89169126502019,10.108308734979808,255636,86.97092741241453,13.029072587585471,38.77840233430731,33.638667920466595,35.007065160404764
59,CA-38,Linda Sánchez,(D),207000,101867,315673,65.6,32.3,166224,68033,248224,67.0,27.4,149141,75780,229875,64.9,33.0,308867,67.01913768709508,32.980862312904904,234257,70.95796497009694,29.042035029903058,224921,66.30817042428231,33.6918295757177,19.844676039384062,14.749302762888611,14.344308172272548
60,CA-39,Young Kim,(R),190090,154439,351332,54.1,44.0,140230,116782,272471,51.5,42.9,124108,133742,263530,47.1,50.8,344529,55.17387505841308,44.82612494158692,257012,54.561654708729556,45.43834529127045,257850,48.1318596082994,51.8681403917006,3.4483657780166794,2.9040401342066104,-3.8320026437103607
61,CA-40,Lucille Roybal-Allard,(D),156662,41875,203218,77.1,20.6,135472,21077,164714,82.2,12.8,115637,23446,141918,81.5,16.5,198537,78.90821358235492,21.09178641764507,156549,86.53648378462974,13.463516215370266,139083,83.14244012568035,16.857559874319648,35.42319485391686,26.638378658148447,31.17857787367059
62,CA-41,Mark Takano,(D),164574,96428,266807,61.7,36.1,126197,68526,206961,61.0,33.1,114040,67314,185429,61.5,36.3,261002,63.05468923609781,36.94531076390219,194723,64.8084715210838,35.191528478916204,181354,62.882539122379434,37.117460877620566,13.695182590370926,10.784854311891337,10.918676870369673
63,CA-42,Ken Calvert,(R),170481,198259,375949,45.3,52.7,111103,143175,268305,41.4,53.4,96212,131438,232520,41.4,56.5,368740,46.23338938005098,53.76661061994902,254278,43.69351654488395,56.30648345511605,227650,42.263123215462336,57.73687678453767,-7.419772385828928,-6.036445544155491,-9.700739036547425
