ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
20,20,760065,358483,288988,34994,59802,35798,3908,756775,359800,292096,36872,61821,22054,4804,561841,288435,190350,23306,42887,25129,2673,521528,279224,175316,20419,36405,8315,832,17045,32094,2601,832,259539,87187,168038,330665,118319,204971,267191,87128,178745,63169,116904,128260,51302,80564,32007,8645,4111
21,21,760067,144585,482325,48172,84378,35041,3190,762005,153023,482061,46244,82664,23154,3657,537056,121795,320267,30925,58264,23342,2141,453593,123458,251412,26856,44912,5670,662,23740,42815,1959,662,179323,105267,71096,230879,137371,88586,167952,91386,75604,119910,116188,105931,39299,52111,17820,4656,2237
22,22,760066,107893,563305,44414,45237,34844,2540,777777,116319,574846,47928,40783,19924,3204,539701,91856,376753,33102,32908,21762,1828,411093,90982,265028,27886,20664,4598,800,25935,19444,2212,800,142333,82240,57476,189956,108930,76598,138034,71927,65227,156389,129121,87626,28934,34477,9952,2558,1205
23,23,760066,299755,324842,80938,42800,34692,6021,771629,297699,346511,81552,43765,26076,6833,575877,250726,223022,56034,32807,25439,4191,520138,235887,199554,49787,23344,8677,1806,44208,19514,2654,1806,232785,94992,133712,301409,128992,165463,225685,89949,134411,84395,145492,130381,43736,56246,25261,5359,3696
24,24,760065,378230,294734,19323,56034,30452,4067,761217,386811,293025,20897,54324,20836,3874,611943,330713,208050,15747,45092,23321,2917,536030,326365,154290,13120,33478,5875,806,10186,25899,1273,806,320590,195655,117989,378599,239698,129955,308429,187976,118245,68249,85289,108291,45438,113416,47072,14615,11528
25,25,760066,217879,464876,38178,35419,33630,3625,758788,221762,463800,42159,32578,20922,4064,579383,192870,325436,27286,26302,22373,2269,499427,184613,263237,24314,17649,6729,1210,20945,15312,3036,1210,214272,121310,89810,283332,162219,115733,221774,120176,100440,107657,138061,114298,39223,69540,28347,7777,3855
26,26,760067,325269,317496,27666,83629,26469,4375,753246,324015,321289,29289,75979,20753,5306,586171,273185,222823,19092,63090,19768,2980,503456,261655,172319,16312,45410,4133,712,13890,38276,1053,712,307045,178798,122414,377422,227110,142642,297718,168945,126639,74050,95773,100246,47104,118382,49042,15518,9940
27,27,760067,236158,346015,91928,84756,27070,3850,751436,233105,349139,87783,80551,17411,4451,573673,197152,243035,64943,64206,19575,2739,490019,178163,197854,55567,51672,4162,928,51848,47363,998,928,257974,149226,103511,329919,193710,128922,243446,133935,107415,81434,117614,107989,43962,92138,33856,6970,5066
28,28,760065,200882,210705,39703,309055,18006,3074,750224,198438,211283,41456,301603,13085,3623,617402,173734,158745,30785,252396,14332,2296,517836,163583,134109,28381,185098,3283,934,25531,179326,1229,934,289825,186892,97684,368031,240596,120216,277899,174329,101362,69449,99668,88843,43429,149137,65199,21731,14235
29,29,760066,173399,477560,41594,71093,29034,3035,743010,164100,474101,39075,67645,16165,2779,594802,149431,354370,31306,57598,21631,1923,449147,131111,240895,28401,43410,2720,726,25674,40654,955,726,212819,163487,45166,278708,205835,66753,192704,136297,54580,138286,117362,93627,35031,93628,24116,6379,2490
30,30,760066,421462,178511,37865,115816,16574,2955,745754,406310,180523,40387,114641,13609,3105,649328,370538,142712,31706,97701,13788,2280,547431,325901,109972,30808,73382,4001,606,25232,64586,1078,606,309244,230255,73616,382071,273452,101697,292136,211065,78549,58992,93612,98296,43808,190321,64738,22240,10397
