"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N",
"Geography","Geographic Area Name","!!Total:","!!Total:!!Urban","!!Total:!!Rural","!!Total:!!Not defined for this file",
"5001900US3408","Congressional District 8 (119th Congress), New Jersey","772366","772366","0","0",
"5001900US3409","Congressional District 9 (119th Congress), New Jersey","772060","771990","70","0",
"5001900US3410","Congressional District 10 (119th Congress), New Jersey","773536","773536","0","0",
"5001900US3411","Congressional District 11 (119th Congress), New Jersey","773263","755267","17996","0",
"5001900US3412","Congressional District 12 (119th Congress), New Jersey","774696","741980","32716","0",
"5001900US3501","Congressional District 1 (119th Congress), New Mexico","705832","621207","84625","0",
"5001900US3502","Congressional District 2 (119th Congress), New Mexico","705846","517664","188182","0",
"5001900US3503","Congressional District 3 (119th Congress), New Mexico","705844","439681","266163","0",
"5001900US3601","Congressional District 1 (119th Congress), New York","776971","749764","27207","0",
"5001900US3602","Congressional District 2 (119th Congress), New York","776971","775918","1053","0",
"5001900US3603","Congressional District 3 (119th Congress), New York","776971","769598","7373","0",
"5001900US3604","Congressional District 4 (119th Congress), New York","776971","776643","328","0",
"5001900US3605","Congressional District 5 (119th Congress), New York","776971","776897","74","0",
"5001900US3606","Congressional District 6 (119th Congress), New York","776972","776972","0","0",
"5001900US3607","Congressional District 7 (119th Congress), New York","776972","776972","0","0",
"5001900US3608","Congressional District 8 (119th Congress), New York","776971","776971","0","0",
"5001900US3609","Congressional District 9 (119th Congress), New York","776971","776971","0","0",
"5001900US3610","Congressional District 10 (119th Congress), New York","776972","776972","0","0",
"5001900US3611","Congressional District 11 (119th Congress), New York","776971","776971","0","0",
"5001900US3612","Congressional District 12 (119th Congress), New York","776971","776971","0","0",
"5001900US3613","Congressional District 13 (119th Congress), New York","776971","776971","0","0",
"5001900US3614","Congressional District 14 (119th Congress), New York","776970","776969","1","0",
"5001900US3615","Congressional District 15 (119th Congress), New York","776971","776971","0","0",
"5001900US3616","Congressional District 16 (119th Congress), New York","776972","776955","17","0",
"5001900US3617","Congressional District 17 (119th Congress), New York","776971","677569","99402","0",
"5001900US3618","Congressional District 18 (119th Congress), New York","776971","538901","238070","0",
"5001900US3619","Congressional District 19 (119th Congress), New York","776971","318286","458685","0",
"5001900US3620","Congressional District 20 (119th Congress), New York","776971","675138","101833","0",
"5001900US3621","Congressional District 21 (119th Congress), New York","776971","294274","482697","0",
"5001900US3622","Congressional District 22 (119th Congress), New York","776971","598122","178849","0",
"5001900US3623","Congressional District 23 (119th Congress), New York","776971","421796","355175","0",
"5001900US3624","Congressional District 24 (119th Congress), New York","776971","266427","510544","0",
"5001900US3625","Congressional District 25 (119th Congress), New York","776971","709149","67822","0",
"5001900US3626","Congressional District 26 (119th Congress), New York","776971","770018","6953","0",
"5001900US3701","Congressional District 1 (119th Congress), North Carolina","745670","289957","455713","0",
"5001900US3702","Congressional District 2 (119th Congress), North Carolina","745670","727951","17719","0",
"5001900US3703","Congressional District 3 (119th Congress), North Carolina","745671","421566","324105","0",
"5001900US3704","Congressional District 4 (119th Congress), North Carolina","745671","653327","92344","0",
"5001900US3705","Congressional District 5 (119th Congress), North Carolina","745671","396478","349193","0",
"5001900US3706","Congressional District 6 (119th Congress), North Carolina","745671","552444","193227","0",
"5001900US3707","Congressional District 7 (119th Congress), North Carolina","745671","485903","259768","0",
"5001900US3708","Congressional District 8 (119th Congress), North Carolina","745671","466745","278926","0",
"5001900US3709","Congressional District 9 (119th Congress), North Carolina","745671","470253","275418","0",
"5001900US3710","Congressional District 10 (119th Congress), North Carolina","745670","510700","234970","0",
"5001900US3711","Congressional District 11 (119th Congress), North Carolina","745670","367573","378097","0",
"5001900US3712","Congressional District 12 (119th Congress), North Carolina","745670","745069","601","0",
"5001900US3713","Congressional District 13 (119th Congress), North Carolina","745670","337881","407789","0",
"5001900US3714","Congressional District 14 (119th Congress), North Carolina","745671","538880","206791","0",
"5001900US3800","Congressional District (at Large) (119th Congress), North Dakota","779094","474989","304105","0",
"5001900US3901","Congressional District 1 (119th Congress), Ohio","786630","739989","46641","0",
"5001900US3902","Congressional District 2 (119th Congress), Ohio","786629","333381","453248","0",
"5001900US3903","Congressional District 3 (119th Congress), Ohio","786630","784379","2251","0",
"5001900US3904","Congressional District 4 (119th Congress), Ohio","786630","462366","324264","0",
"5001900US3905","Congressional District 5 (119th Congress), Ohio","786630","486903","299727","0",
"5001900US3906","Congressional District 6 (119th Congress), Ohio","786630","459529","327101","0",
"5001900US3907","Congressional District 7 (119th Congress), Ohio","786630","645960","140670","0",
"5001900US3908","Congressional District 8 (119th Congress), Ohio","786629","655960","130669","0",
"5001900US3909","Congressional District 9 (119th Congress), Ohio","786630","605743","180887","0",
"5001900US3910","Congressional District 10 (119th Congress), Ohio","786630","709716","76914","0",
"5001900US3911","Congressional District 11 (119th Congress), Ohio","786630","783646","2984","0",
"5001900US3912","Congressional District 12 (119th Congress), Ohio","786630","383177","403453","0",
"5001900US3913","Congressional District 13 (119th Congress), Ohio","786630","754106","32524","0",
"5001900US3914","Congressional District 14 (119th Congress), Ohio","786630","527205","259425","0",
"5001900US3915","Congressional District 15 (119th Congress), Ohio","786630","669039","117591","0",
"5001900US4001","Congressional District 1 (119th Congress), Oklahoma","791871","721020","70851","0",
"5001900US4002","Congressional District 2 (119th Congress), Oklahoma","791871","255274","536597","0",
"5001900US4003","Congressional District 3 (119th Congress), Oklahoma","791871","470609","321262","0",
"5001900US4004","Congressional District 4 (119th Congress), Oklahoma","791870","507890","283980","0",
"5001900US4005","Congressional District 5 (119th Congress), Oklahoma","791870","603818","188052","0",
"5001900US4101","Congressional District 1 (119th Congress), Oregon","706209","616930","89279","0",
"5001900US4102","Congressional District 2 (119th Congress), Oregon","706209","415100","291109","0",
"5001900US4103","Congressional District 3 (119th Congress), Oregon","706209","659299","46910","0",
"5001900US4104","Congressional District 4 (119th Congress), Oregon","706208","530978","175230","0",
"5001900US4105","Congressional District 5 (119th Congress), Oregon","706209","561027","145182","0",
"5001900US4106","Congressional District 6 (119th Congress), Oregon","706212","627650","78562","0",
"5001900US4201","Congressional District 1 (119th Congress), Pennsylvania","764866","690108","74758","0",
"5001900US4202","Congressional District 2 (119th Congress), Pennsylvania","764865","764865","0","0",
"5001900US4203","Congressional District 3 (119th Congress), Pennsylvania","764864","764864","0","0",
"5001900US4204","Congressional District 4 (119th Congress), Pennsylvania","764865","687400","77465","0",
"5001900US4205","Congressional District 5 (119th Congress), Pennsylvania","764866","760333","4533","0",
"5001900US4206","Congressional District 6 (119th Congress), Pennsylvania","764864","637320","127544","0",
"5001900US4207","Congressional District 7 (119th Congress), Pennsylvania","764865","624389","140476","0",
"5001900US4208","Congressional District 8 (119th Congress), Pennsylvania","764866","509205","255661","0",
"5001900US4209","Congressional District 9 (119th Congress), Pennsylvania","764864","388024","376840","0",
"5001900US4210","Congressional District 10 (119th Congress), Pennsylvania","764864","640500","124364","0",
"5001900US4211","Congressional District 11 (119th Congress), Pennsylvania","764864","522117","242747","0",
"5001900US4212","Congressional District 12 (119th Congress), Pennsylvania","764864","741651","23213","0",
"5001900US4213","Congressional District 13 (119th Congress), Pennsylvania","764864","339886","424978","0",
"5001900US4214","Congressional District 14 (119th Congress), Pennsylvania","764866","423811","341055","0",
"5001900US4215","Congressional District 15 (119th Congress), Pennsylvania","764864","293385","471479","0",
