"GEO_ID","NAME","P002001","P002002","P002003","P002004","P002005","P002006",
"Geography","Label for GEO_ID","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"5001600US2202","Congressional District 2 (116th Congress), Louisiana","755538","714568","682097","32471","40970","0",
"5001600US2203","Congressional District 3 (116th Congress), Louisiana","755596","554589","395741","158848","201007","0",
"5001600US2204","Congressional District 4 (116th Congress), Louisiana","755605","443164","298736","144428","312441","0",
"5001600US2205","Congressional District 5 (116th Congress), Louisiana","755581","365312","206973","158339","390269","0",
"5001600US2206","Congressional District 6 (116th Congress), Louisiana","755607","590303","574884","15419","165304","0",
"5001600US2301","Congressional District 1 (116th Congress), Maine","664180","328292","227612","100680","335888","0",
"5001600US2302","Congressional District 2 (116th Congress), Maine","664181","185250","120525","64725","478931","0",
"5001600US2401","Congressional District 1 (116th Congress), Maryland","722650","429300","315733","113567","293350","0",
"5001600US2402","Congressional District 2 (116th Congress), Maryland","723447","719969","719969","0","3478","0",
"5001600US2403","Congressional District 3 (116th Congress), Maryland","720094","709540","709540","0","10554","0",
"5001600US2404","Congressional District 4 (116th Congress), Maryland","720065","709748","709748","0","10317","0",
"5001600US2405","Congressional District 5 (116th Congress), Maryland","720472","555761","496157","59604","164711","0",
"5001600US2406","Congressional District 6 (116th Congress), Maryland","728448","615500","591762","23738","112948","0",
"5001600US2407","Congressional District 7 (116th Congress), Maryland","716862","659035","655314","3721","57827","0",
"5001600US2408","Congressional District 8 (116th Congress), Maryland","721514","635478","624646","10832","86036","0",
"5001600US2501","Congressional District 1 (116th Congress), Massachusetts","727515","587868","552662","35206","139647","0",
"5001600US2502","Congressional District 2 (116th Congress), Massachusetts","727514","591294","538695","52599","136220","0",
"5001600US2503","Congressional District 3 (116th Congress), Massachusetts","727514","658319","658319","0","69195","0",
"5001600US2504","Congressional District 4 (116th Congress), Massachusetts","727514","678157","678157","0","49357","0",
