"GEO_ID","NAME","B05003I_001E","B05003I_001M","B05003I_002E","B05003I_002M","B05003I_003E","B05003I_003M","B05003I_004E","B05003I_004M","B05003I_005E","B05003I_005M","B05003I_006E","B05003I_006M","B05003I_007E","B05003I_007M","B05003I_008E","B05003I_008M","B05003I_009E","B05003I_009M","B05003I_010E","B05003I_010M","B05003I_011E","B05003I_011M","B05003I_012E","B05003I_012M","B05003I_013E","B05003I_013M","B05003I_014E","B05003I_014M","B05003I_015E","B05003I_015M","B05003I_016E","B05003I_016M","B05003I_017E","B05003I_017M","B05003I_018E","B05003I_018M","B05003I_019E","B05003I_019M","B05003I_020E","B05003I_020M","B05003I_021E","B05003I_021M","B05003I_022E","B05003I_022M","B05003I_023E","B05003I_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US39","Ohio","379542","85","195213","507","72363","472","68096","686","4267","570","1132","208","3135","520","122850","343","78990","1443","43860","1467","9870","628","33990","1431","184329","498","70324","430","66148","615","4176","462","1112","225","3064","453","114005","314","82204","1114","31801","1129","10894","587","20907","1108",
"0400000US40","Oklahoma","357916","*****","188966","411","73412","311","67283","621","6129","531","554","141","5575","526","115554","236","51997","1269","63557","1295","12335","762","51222","1308","168950","409","69659","321","64284","489","5375","404","394","156","4981","386","99291","225","51296","913","47995","871","10609","545","37386","833",
"0400000US41","Oregon","473729","*****","246334","271","93591","222","86179","807","7412","774","530","176","6882","775","152743","137","63918","1880","88825","1905","18814","1178","70011","2036","227395","270","90119","223","83543","876","6576","838","489","171","6087","811","137276","131","66868","1487","70408","1474","15070","819","55338","1594",
"0400000US42","Pennsylvania","784562","39","401170","349","143033","252","134462","809","8571","752","2442","442","6129","673","258137","220","171975","2107","86162","2117","25898","1312","60264","1993","383392","348","135152","257","127610","720","7542","680","1911","278","5631","666","248240","217","175057","1753","73183","1713","29617","1149","43566","1568",
"0400000US44","Rhode Island","139832","*****","69477","168","24438","154","22471","419","1967","377","493","160","1474","321","45039","66","18521","963","26518","972","9581","647","16937","1044","70355","168","23225","154","21199","330","2026","358","486","169","1540","332","47130","65","21189","754","25941","743","11670","585","14271","678",
"0400000US45","South Carolina","248459","164","135081","572","44069","433","39533","617","4536","549","566","160","3970","535","91012","402","30717","1289","60295","1272","9883","896","50412","1490","113378","576","43634","440","39284","725","4350","548","285","144","4065","516","69744","318","29393","1077","40351","1125","9120","578","31231","1204",
"0400000US46","South Dakota","26459","224","14499","280","5454","190","5292","198","162","71","47","51","115","58","9045","276","5250","357","3795","385","1082","245","2713","355","11960","309","5037","200","4950","206","87","43","25","30","62","31","6923","188","4464","333","2459","299","590","146","1869","274",
"0400000US47","Tennessee","309828","238","166526","720","61235","612","53695","841","7540","714","787","236","6753","694","105291","496","33207","1598","72084","1529","10564","778","61520","1540","143302","715","57711","577","51750","883","5961","765","644","203","5317","739","85591","447","34535","1158","51056","1135","11175","917","39881","1385",
"0400000US48","Texas","9962643","*****","5013535","857","1736955","701","1626499","3325","110456","3329","8895","768","101561","3274","3276580","416","1849642","8931","1426938","8940","355865","4677","1071073","9435","4949108","860","1673102","712","1573541","2708","99561","2636","8576","797","90985","2478","3276006","410","1921995","6853","1354011","6767","394788","4412","959223","7620",
"0400000US49","Utah","379454","*****","195665","309","76856","253","71126","679","5730","608","540","175","5190","601","118809","156","52776","1307","66033","1308","16466","884","49567","1433","183789","309","72672","248","67131","648","5541","597","831","196","4710","580","111117","152","50260","1345","60857","1301","16520","795","44337","1494",
"0400000US50","Vermont","10226","*****","5248","146","1540","114","1408","117","132","63","81","55","51","39","3708","94","2588","215","1120","191","435","139","685","174","4978","147","1446","112","1300","122","146","72","97","58","49","40","3532","92","2664","167","868","170","469","108","399","137",
"0400000US51","Virginia","687265","341","356253","834","113138","713","101170","1115","11968","1110","1874","341","10094","997","243115","614","86334","2299","156781","2346","41266","1749","115515","2579","331012","883","108387","700","97802","1099","10585","860","1683","312","8902","800","222625","509","83966","1940","138659","1819","44618","1383","94041","2275",
"0400000US53","Washington","809998","*****","421494","246","161421","201","149189","970","12232","985","1277","307","10955","966","260073","129","121000","2207","139073","2228","30429","1245","108644","2338","388504","248","154441","209","143831","850","10610","796","1007","271","9603","794","234063","128","120715","1966","113348","1952","28867","1106","84481","2017",
"0400000US54","West Virginia","24061","299","12287","314","3586","201","3133","257","453","200","88","52","365","191","8701","296","5459","335","3242","314","1118","261","2124","313","11774","325","4202","266","3933","268","269","87","35","27","234","83","7572","223","5488","347","2084","271","963","177","1121","229",
"0400000US55","Wisconsin","355292","*****","185336","335","73001","304","67764","580","5237","590","703","135","4534","615","112335","128","56924","1369","55411","1368","12769","1032","42642","1289","169956","337","69175","318","64755","569","4420","517","930","190","3490","436","100781","130","58235","1109","42546","1103","10737","532","31809","1188",
"0400000US56","Wyoming","54181","*****","28153","308","9672","273","9250","319","422","155","70","60","352","152","18481","172","13340","607","5141","575","1326","301","3815","578","26028","309","9362","301","8979","315","383","165","66","50","317","141","16666","165","12750","432","3916","418","1037","198","2879","415",
"0400000US72","Puerto Rico","3601918","1752","1723759","1279","426177","514","424024","621","2153","346","288","99","1865","348","1297582","988","1256304","1744","41278","1441","16682","792","24596","1176","1878159","1000","403418","510","401668","542","1750","260","222","78","1528","242","1474741","827","1426148","1881","48593","1670","20882","996","27711","1087",
