State,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
North Carolina,64.1,21.3,8.9,2.6,1.1,2.0,67.3,20.8,7.0,2.6,1.1,1.3,66.9,22.1,6.0,1.8,1.1,2.1,70.7,21.7,3.5,1.6,1.1,1.3,"9,940,825","6,376,490","2,112,715","884,755","261,020","108,750","197,085","7,653,000","5,149,480","1,590,080","538,020","196,545","81,940","96,935","9,445,115","6,316,690","2,084,180","571,215","170,025","108,590","194,385","7,203,795","5,094,240","1,565,565","249,970","117,755","81,800",94470
North Dakota,86.4,2.0,3.1,1.3,5.1,2.1,88.7,1.8,2.5,1.3,4.2,1.5,87.6,1.6,2.9,0.6,5.2,2.1,90.1,1.4,2.2,0.6,4.3,1.4,"736,160","636,175","14,540","22,995","9,545","37,375","15,530","568,445","504,305","10,395","14,230","7,605","23,675","8,245","721,470","632,250","11,440","21,100","4,235","37,345","15,100","555,690","500,695","7,975","12,415","3,070","23,645",7900
Ohio,80.1,12.1,3.5,2.0,0.1,2.2,82.2,11.5,2.8,2.0,0.2,1.4,81.2,12.1,3.0,1.2,0.2,2.2,83.6,11.5,2.3,1.1,0.2,1.4,"11,586,935","9,278,795","1,406,785","400,935","229,055","17,245","254,145","8,947,080","7,352,445","1,028,425","251,735","178,290","14,405","121,780","11,348,025","9,219,015","1,377,310","343,125","141,210","17,075","250,265","8,734,130","7,298,810","1,003,180","199,170","100,140","14,250",118555
Oklahoma,67.0,7.2,9.8,2.1,7.1,6.8,71.1,7.0,7.8,2.2,6.6,5.4,69.3,7.3,7.5,1.5,7.4,7.0,74.1,7.2,4.9,1.4,6.9,5.6,"3,875,580","2,597,135","277,365","381,465","82,160","274,660","262,810","2,923,265","2,077,960","204,455","228,860","63,175","192,075","156,765","3,725,970","2,583,075","272,055","280,130","54,765","274,440","261,495","2,787,655","2,064,935","199,580","136,805","38,935","191,865",155555
Oregon,77.2,1.8,12.4,4.4,0.9,3.4,80.5,1.7,9.9,4.4,0.9,2.6,80.8,1.7,9.7,3.3,0.9,3.6,85.1,1.7,6.4,3.3,0.9,2.7,"3,982,265","3,072,405","70,655","494,805","173,465","35,195","135,740","3,120,870","2,513,750","52,705","308,230","138,845","27,185","80,170","3,753,590","3,032,485","64,950","362,470","124,940","35,085","133,670","2,911,335","2,476,825","48,565","185,575","94,870","27,085",78420
Pennsylvania,77.8,10.6,6.6,3.2,0.1,1.6,80.3,10.0,5.4,3.1,0.1,1.0,79.6,10.6,5.9,2.2,0.1,1.6,82.4,10.0,4.5,2.0,0.1,1.0,"12,783,980","9,950,335","1,359,195","843,170","406,989","14,605","209,700","10,079,705","8,091,935","1,010,460","547,420","315,874","11,665","102,350","12,390,675","9,862,540","1,311,645","724,915","273,169","14,310","204,070","9,725,845","8,011,645","968,735","440,770","195,689","11,380",97650
Rhode Island,74.5,5.7,14.1,3.4,0.4,1.9,77.9,5.3,11.8,3.3,0.4,1.4,78.3,5.3,11.7,2.4,0.4,2.0,82.5,4.8,8.8,2.2,0.4,1.4,"1,054,495","786,075","60,205","148,375","35,415","4,195","20,230","842,085","656,310","44,460","99,005","27,790","3,080","11,435","986,560","772,575","51,895","115,110","23,440","4,165","19,370","780,250","643,465","37,245","68,590","17,005","3,050",10895
South Carolina,64.0,27.2,5.3,1.5,0.3,1.7,66.5,26.2,4.4,1.5,0.3,1.1,65.3,27.9,3.7,1.1,0.3,1.8,68.2,27.0,2.4,1.0,0.3,1.1,"4,834,600","3,092,200","1,313,830","258,365","71,450","14,285","84,480","3,748,820","2,493,390","982,925","165,850","55,735","10,860","40,055","4,694,715","3,065,185","1,308,100","173,095","50,775","14,230","83,320","3,620,830","2,468,240","977,730","87,660","37,260","10,805",39130
South Dakota,83.0,1.6,3.4,1.4,8.4,2.2,86.2,1.4,2.7,1.3,6.9,1.5,84.4,1.2,2.9,0.7,8.5,2.3,87.8,1.0,2.0,0.6,7.0,1.5,"851,060","706,160","13,720","29,185","11,680","71,210","19,110","641,445","553,030","9,095","17,380","8,205","44,200","9,535","833,720","703,510","9,925","24,135","5,960","71,160","19,035","627,070","550,800","6,375","12,635","3,640","44,160",9455
Tennessee,74.6,16.7,5.0,1.7,0.2,1.8,77.1,15.9,3.9,1.6,0.2,1.2,76.4,17.0,3.4,1.1,0.2,1.8,79.2,16.2,2.1,1.0,0.2,1.2,"6,548,005","4,886,595","1,094,910","327,340","109,115","15,190","114,855","5,053,080","3,895,270","804,230","198,715","83,165","12,355","59,385","6,349,395","4,851,635","1,080,850","217,225","71,960","14,875","112,830","4,876,610","3,864,140","792,145","100,275","50,235","12,065",57765
Texas,43.5,11.7,38.6,4.4,0.2,1.5,47.5,11.7,34.9,4.6,0.3,1.1,48.0,12.6,34.0,3.4,0.3,1.6,53.8,13.0,28.3,3.4,0.3,1.2,"26,956,435","11,735,535","3,146,455","10,413,140","1,194,900","63,845","402,555","19,823,970","9,407,230","2,317,965","6,911,955","915,370","50,680","220,764","24,051,900","11,551,885","3,039,415","8,180,240","827,520","63,405","389,455","17,177,630","9,245,000","2,227,620","4,853,900","591,205","50,280",209614
Utah,79.5,1.0,13.5,3.1,0.9,1.9,81.5,1.0,11.9,3.4,0.9,1.3,83.2,0.9,10.6,2.3,1.0,2.0,86.6,0.9,7.8,2.4,1.0,1.3,"2,948,425","2,343,405","30,635","397,915","91,750","27,540","57,180","2,043,230","1,665,475","19,865","243,185","68,695","19,350","26,660","2,794,015","2,323,370","26,310","295,835","65,195","27,335","55,970","1,903,500","1,647,495","16,670","149,415","45,110","19,140",25670
Vermont,93.5,1.1,1.7,1.5,0.3,1.8,94.4,1.0,1.6,1.5,0.3,1.3,94.5,1.0,1.6,0.9,0.3,1.8,95.4,0.8,1.4,0.9,0.3,1.3,"626,250","585,730","7,115","10,900","9,605","1,815","11,085","504,560","476,230","4,845","7,865","7,655","1,515","6,440","613,910","580,025","5,840","9,695","5,685","1,815","10,850","493,535","470,765","3,930","6,720","4,330","1,515",6270
Virginia,63.3,18.9,8.7,6.1,0.2,2.7,65.6,18.6,7.6,6.2,0.2,1.8,66.3,19.6,6.4,4.7,0.2,2.8,69.3,19.4,4.8,4.5,0.2,1.8,"8,310,300","5,259,610","1,574,330","725,090","509,610","17,395","224,225","6,444,740","4,227,675","1,200,360","490,805","396,845","14,160","114,910","7,816,285","5,182,615","1,530,525","502,600","367,660","17,215","215,645","5,998,900","4,159,235","1,162,085","285,845","269,695","14,010",108015
Washington,70.5,3.5,12.1,8.4,1.1,4.4,74.1,3.4,9.6,8.7,1.1,3.1,74.4,3.4,9.7,6.6,1.2,4.6,79.1,3.4,6.6,6.5,1.2,3.3,"7,073,140","4,987,470","248,130","854,270","594,335","81,010","307,955","5,468,545","4,051,850","186,515","525,530","475,135","59,780","169,730","6,564,110","4,885,660","225,765","639,235","430,645","80,535","302,250","5,008,035","3,960,205","168,435","328,205","326,705","59,400",165095
West Virginia,92.5,3.4,1.4,0.8,0.2,1.7,93.3,3.4,1.2,0.8,0.2,1.1,93.0,3.4,1.2,0.5,0.2,1.7,93.8,3.3,1.0,0.5,0.2,1.1,"1,846,090","1,708,175","62,830","26,250","14,345","3,160","31,335","1,466,240","1,367,720","49,550","17,730","11,870","2,725","16,650","1,831,855","1,703,980","61,575","22,645","9,810","3,045","30,810","1,453,210","1,363,760","48,425","14,610","7,600","2,605",16215
Wisconsin,82.2,6.2,6.5,2.6,0.8,1.7,85.3,5.5,5.0,2.4,0.8,1.0,84.1,6.3,5.2,1.9,0.8,1.7,87.5,5.6,3.5,1.6,0.8,1.0,"5,754,790","4,731,340","356,205","371,215","149,950","47,200","98,910","4,453,300","3,796,535","245,150","224,695","106,415","34,210","46,295","5,599,335","4,706,385","350,370","289,645","108,150","47,035","97,775","4,313,300","3,773,695","240,460","150,320","69,525","34,060",45245
Wyoming,84.4,1.1,9.7,1.0,2.0,1.9,86.5,1.0,8.3,1.0,1.7,1.4,85.8,1.0,8.6,0.7,2.0,2.0,88.4,0.9,6.9,0.6,1.8,1.5,"583,030","492,130","6,235","56,385","5,540","11,515","11,225","444,185","384,305","4,515","36,915","4,405","7,615","6,425","570,345","489,600","5,545","48,795","3,745","11,515","11,145","432,375","382,010","3,955","29,665","2,765","7,615",6365
