District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
California's 37th,CA-37,25.4,22.4,38.7,10.7,0.1,2.6,27.2,23.4,35.1,11.9,0.2,2.2,28.6,26.4,32.7,9.1,0.2,3.1,31.6,28.6,26.8,10.1,0.2,2.7,"724,000","183,675","162,315","280,260","77,665","1,065","19,020","586,465","159,430","137,030","206,040","69,970",960,"13,030","595,485","170,320","157,505","194,565","53,915",995,"18,185","463,815","146,680","132,615","124,290","47,010",890,"12,325"
California's 38th,CA-38,16.7,3.6,62.1,16.0,0.3,1.3,19.0,3.6,58.8,17.3,0.3,1.0,18.6,4.1,60.7,14.9,0.3,1.4,21.8,4.1,56.2,16.3,0.4,1.2,"716,870","119,670","25,870","445,105","114,765","2,170","9,295","552,170","104,855","19,715","324,510","95,550","1,760","5,780","628,625","117,080","25,510","381,390","93,395","2,165","9,080","468,910","102,380","19,415","263,340","76,410","1,755","5,615"
California's 39th,CA-39,29.9,2.3,34.1,31.3,0.2,2.3,32.4,2.5,30.9,32.4,0.2,1.7,33.3,2.5,33.0,28.3,0.2,2.5,37.1,2.7,28.8,29.3,0.2,1.9,"727,835","217,425","16,670","248,255","227,520","1,495","16,470","568,505","183,965","13,960","175,600","184,265","1,200","9,515","636,515","212,190","15,965","210,295","180,400","1,495","16,175","483,900","179,290","13,280","139,205","141,685","1,200","9,240"
California's 40th,CA-40,4.7,4.6,87.7,2.5,0.1,0.4,5.5,5.0,86.0,3.0,0.2,0.4,6.0,6.1,84.4,2.7,0.2,0.5,8.1,7.6,79.9,3.6,0.2,0.6,"711,795","33,115","32,710","624,415","17,800",860,"2,895","507,175","27,920","25,235","436,315","14,970",810,"1,930","523,145","31,430","32,135","441,645","14,340",840,"2,755","327,105","26,635","24,700","261,465","11,715",790,"1,800"
California's 41st,CA-41,22.6,9.0,60.2,6.0,0.3,1.9,26.0,9.4,55.9,6.9,0.3,1.6,25.5,10.3,56.4,5.3,0.3,2.1,30.6,11.1,49.7,6.3,0.4,1.9,"754,150","170,355","68,220","454,300","44,940","2,045","14,295","550,865","142,985","51,585","307,805","37,835","1,805","8,850","653,470","166,855","67,205","368,715","34,805","2,015","13,870","456,205","139,695","50,785","226,820","28,615","1,775","8,510"
California's 42nd,CA-42,42.6,5.4,39.1,9.3,0.3,3.3,46.2,5.8,35.2,10.1,0.3,2.3,45.6,5.8,36.4,8.4,0.3,3.5,50.6,6.3,31.2,9.1,0.4,2.5,"795,400","338,490","43,200","310,910","74,360","2,570","25,870","579,080","267,470","33,590","204,095","58,440","1,975","13,515","729,515","332,350","41,970","265,715","61,640","2,535","25,305","517,570","261,955","32,505","161,300","46,880","1,940","13,000"
California's 43rd,CA-43,14.7,22.3,47.1,13.3,0.2,2.4,16.6,22.8,43.4,14.8,0.2,2.1,16.7,26.0,41.7,12.5,0.2,2.9,19.9,27.8,35.2,14.2,0.3,2.6,"727,620","106,715","162,330","342,430","97,080","1,325","17,735","553,385","91,960","126,265","240,345","81,965","1,130","11,715","605,000","101,325","157,165","252,250","75,610","1,325","17,320","437,170","87,185","121,555","154,070","61,900","1,125","11,330"
California's 44th,CA-44,6.5,15.2,70.7,6.2,0.2,1.2,8.0,16.3,67.3,7.0,0.2,1.1,7.9,18.7,65.3,6.4,0.3,1.4,10.5,21.8,58.4,7.6,0.3,1.5,"723,070","47,075","109,775","511,235","44,955","1,600","8,435","522,455","41,730","85,375","351,695","36,750","1,130","5,775","581,400","45,870","108,845","379,655","37,130","1,600","8,300","388,040","40,560","84,575","226,665","29,455","1,130","5,655"
California's 45th,CA-45,51.0,1.7,18.8,24.6,0.2,3.6,53.6,1.7,17.2,24.9,0.2,2.5,55.6,1.8,17.6,20.9,0.2,3.8,59.5,1.8,15.2,20.8,0.2,2.6,"772,340","394,180","13,260","145,550","190,080","1,180","28,085","603,675","323,585","10,125","103,660","150,425",930,"14,940","676,430","376,165","12,245","119,330","141,505","1,180","26,005","517,975","308,035","9,215","78,670","107,555",930,"13,570"
California's 46th,CA-46,17.6,1.7,66.1,13.3,0.2,1.1,21.1,1.8,60.9,14.9,0.2,1.0,22.3,2.0,59.8,14.2,0.2,1.4,29.3,2.4,49.6,17.2,0.2,1.4,"728,905","128,485","12,065","482,100","96,610","1,280","8,370","543,230","114,875","9,935","330,825","81,135",925,"5,525","554,910","123,990","11,035","331,635","78,980","1,270","8,000","378,525","110,720","9,005","187,675","64,920",915,"5,290"
California's 47th,CA-47,31.8,7.1,34.9,23.2,0.3,2.7,35.4,7.1,31.0,24.1,0.3,2.1,35.4,8.0,31.2,22.1,0.3,2.9,40.5,8.2,25.7,23.0,0.3,2.3,"714,810","227,620","50,895","249,505","165,555","2,125","19,115","558,360","197,930","39,670","173,280","134,400","1,615","11,465","626,850","222,045","49,960","195,800","138,515","2,090","18,440","475,460","192,465","38,760","122,350","109,405","1,580","10,900"
California's 48th,CA-48,55.3,1.2,21.6,18.7,0.3,3.0,58.1,1.3,18.9,19.4,0.3,2.1,58.7,1.3,18.8,17.8,0.3,3.2,62.5,1.4,15.2,18.4,0.3,2.2,"726,515","401,405","8,590","156,770","136,190","1,820","21,735","583,925","339,230","7,300","110,545","113,055","1,505","12,295","663,340","389,115","8,370","124,585","118,290","1,755","21,220","525,035","328,110","7,110","80,015","96,555","1,440","11,810"
California's 49th,CA-49,60.7,2.4,26.2,7.4,0.3,3.0,64.0,2.5,23.4,7.6,0.2,2.2,64.2,2.5,23.3,6.5,0.3,3.2,68.7,2.6,19.5,6.5,0.3,2.4,"737,615","447,930","17,965","193,360","54,335","1,905","22,120","567,510","363,130","14,365","133,005","42,900","1,395","12,710","681,260","437,295","17,145","159,050","44,050","1,905","21,825","514,955","353,520","13,565","100,330","33,700","1,395","12,435"
California's 50th,CA-50,55.1,2.5,32.3,5.8,0.9,3.4,59.2,2.6,28.4,6.3,0.9,2.6,59.0,2.7,28.2,5.5,1.0,3.6,64.9,2.9,22.6,5.9,1.0,2.8,"747,795","411,895","18,730","241,790","43,425","6,485","25,465","567,440","336,095","14,875","161,405","35,475","4,865","14,730","675,650","398,475","18,255","190,865","37,105","6,485","24,465","500,270","324,590","14,550","112,830","29,430","4,865","14,005"
California's 51st,CA-51,13.0,6.4,70.6,8.3,0.3,1.5,15.4,6.8,66.7,9.5,0.4,1.2,15.4,7.4,66.9,8.1,0.4,1.7,19.5,8.5,60.5,9.5,0.5,1.5,"729,655","94,605","46,395","514,805","60,755","2,465","10,625","541,515","83,360","36,905","361,280","51,245","2,020","6,705","597,025","92,240","44,040","399,605","48,335","2,465","10,335","417,975","81,310","35,460","252,935","39,785","2,020","6,455"
California's 52nd,CA-52,58.1,2.9,14.6,20.1,0.2,4.1,60.5,3.0,13.1,20.4,0.3,2.9,61.6,3.1,14.0,16.5,0.3,4.5,64.9,3.2,12.3,16.2,0.3,3.1,"765,160","444,385","22,220","111,435","153,685","1,765","31,665","616,195","372,510","18,205","80,730","125,580","1,580","17,590","689,915","425,095","21,595","96,905","113,765","1,755","30,805","547,075","355,070","17,575","67,315","88,635","1,565","16,920"
California's 53rd,CA-53,40.2,7.8,33.8,13.9,0.2,4.0,44.4,7.6,30.1,14.6,0.2,2.9,42.6,8.4,31.8,12.6,0.2,4.3,48.0,8.3,27.2,13.1,0.2,3.2,"769,135","309,490","60,335","259,770","107,045","1,590","30,910","610,615","271,350","46,675","183,905","89,390","1,350","17,935","695,265","296,290","58,680","221,395","87,425","1,590","29,895","541,635","259,770","45,085","147,170","71,160","1,350","17,105"
Colorado's 1st,CO-01,58.1,8.0,27.6,3.6,0.4,2.3,62.8,7.6,23.7,3.7,0.5,1.8,62.5,8.1,23.7,2.7,0.5,2.4,68.6,7.9,18.5,2.7,0.5,1.9,"818,720","475,495","65,130","225,845","29,700","3,675","18,875","652,560","409,485","49,920","154,415","23,860","2,960","11,925","746,355","466,735","60,315","177,075","20,390","3,675","18,165","585,845","401,640","46,060","108,265","15,620","2,960","11,305"
Colorado's 2nd,CO-02,82.6,0.9,10.7,3.3,0.4,2.1,84.9,0.9,9.0,3.3,0.4,1.5,84.9,0.8,9.4,2.4,0.4,2.1,87.5,0.9,7.5,2.2,0.4,1.5,"796,440","658,090","7,200","84,840","26,390","3,125","16,795","641,205","544,255","6,090","57,390","21,465","2,350","9,650","762,725","647,505","6,430","71,545","17,925","3,095","16,225","610,705","534,585","5,340","45,645","13,665","2,320","9,155"
Colorado's 3rd,CO-03,70.8,0.8,24.6,0.8,1.4,1.5,74.1,0.8,21.6,0.9,1.4,1.2,73.1,0.8,22.4,0.7,1.5,1.5,77.0,0.8,18.8,0.7,1.4,1.2,"739,105","523,590","6,090","182,005","6,120","10,530","10,770","577,915","428,395","4,850","125,110","4,945","7,860","6,750","711,245","519,830","5,780","159,315","5,085","10,500","10,735","551,795","424,870","4,570","103,805","3,995","7,830","6,715"
Colorado's 4th,CO-04,72.2,1.3,22.0,2.2,0.4,1.9,75.2,1.3,19.4,2.2,0.5,1.4,75.4,1.2,19.6,1.5,0.4,2.0,79.4,1.2,16.1,1.4,0.5,1.4,"799,390","577,205","10,495","175,835","17,505","3,025","15,320","594,720","447,280","8,015","115,405","13,225","2,685","8,120","759,465","572,280","8,905","148,695","11,480","3,020","15,080","558,105","442,900","6,825","89,720","8,045","2,675","7,940"
Colorado's 5th,CO-05,71.5,5.6,16.0,2.8,0.4,3.7,74.5,5.6,13.8,3.0,0.4,2.7,73.1,5.6,14.9,2.3,0.4,3.8,76.6,5.6,12.4,2.3,0.4,2.8,"786,910","562,650","43,890","125,730","22,320","2,990","29,330","601,455","448,365","33,640","83,090","17,760","2,410","16,190","762,665","557,335","42,565","113,260","17,385","2,980","29,135","578,995","443,245","32,500","71,620","13,230","2,400","15,985"
Colorado's 6th,CO-06,61.1,9.1,20.1,6.4,0.4,2.9,64.7,8.9,17.4,6.5,0.4,2.1,65.7,9.0,17.0,4.8,0.4,3.1,70.8,8.7,13.1,4.7,0.4,2.2,"805,845","492,110","73,590","162,145","51,330","3,010","23,660","599,810","388,370","53,640","104,215","38,835","2,325","12,425","737,295","484,390","66,100","125,575","35,225","3,010","23,000","538,735","381,485","47,040","70,720","25,260","2,325","11,895"
Colorado's 7th,CO-07,63.5,1.7,29.1,3.3,0.5,1.9,67.9,1.6,25.2,3.4,0.6,1.4,67.3,1.6,25.8,2.7,0.5,2.0,72.8,1.6,20.8,2.7,0.6,1.5,"784,730","498,625","12,970","228,400","25,810","3,920","15,005","603,655","409,710","9,665","151,965","20,610","3,355","8,340","732,450","492,935","11,800","189,065","20,070","3,920","14,660","555,150","404,295","8,775","115,440","15,200","3,355","8,085"
Connecticut's 1st,CT-01,61.5,14.4,16.7,5.3,0.1,1.9,65.0,13.8,14.6,5.2,0.1,1.4,64.4,13.8,16.2,3.4,0.1,2.0,68.5,13.1,13.8,3.1,0.1,1.4,"713,075","438,880","102,685","119,265","37,680",920,"13,650","563,065","365,735","77,625","82,310","29,180",575,"7,640","664,500","428,155","91,905","107,650","22,810",865,"13,115","519,205","355,550","67,920","71,800","16,265",525,"7,150"
Connecticut's 2nd,CT-02,81.7,3.7,8.4,3.3,0.3,2.6,83.8,3.8,7.1,3.4,0.3,1.7,83.6,3.5,7.7,2.3,0.3,2.6,85.9,3.6,6.3,2.2,0.3,1.7,"705,025","576,355","26,345","58,935","23,560","1,840","17,980","568,755","476,645","21,625","40,360","19,130","1,460","9,540","683,160","570,860","24,120","52,690","16,010","1,830","17,645","549,035","471,585","19,790","34,760","12,175","1,450","9,285"
Connecticut's 3rd,CT-03,64.8,13.2,15.5,4.4,0.1,2.0,68.5,12.4,13.1,4.6,0.1,1.4,67.2,13.3,14.3,3.1,0.1,2.0,71.6,12.4,11.4,3.0,0.1,1.4,"715,730","463,455","94,725","111,070","31,840",615,"14,025","573,940","393,020","70,980","75,225","26,240",595,"7,885","671,120","451,015","89,290","96,000","20,680",590,"13,545","532,825","381,745","66,175","60,975","15,875",575,"7,480"
Connecticut's 4th,CT-04,61.6,11.5,19.5,5.5,0.1,1.7,63.8,11.5,18.0,5.6,0.2,0.9,66.6,11.4,15.9,4.1,0.1,1.8,70.3,11.4,13.3,3.9,0.2,0.9,"735,915","453,660","84,875","143,355","40,690",965,"12,360","562,895","359,290","64,730","101,365","31,615",850,"5,035","649,330","432,745","74,005","103,415","26,520",910,"11,740","484,035","340,205","55,135","64,440","18,885",795,"4,575"
Connecticut's 5th,CT-05,69.6,6.7,18.1,3.8,0.1,1.6,73.1,6.6,15.4,3.7,0.1,1.1,72.4,6.5,16.5,2.7,0.2,1.7,76.6,6.4,13.4,2.5,0.1,1.1,"711,760","495,155","47,430","129,165","27,365","1,055","11,590","560,230","409,540","36,710","86,530","20,865",635,"5,945","662,575","479,885","43,065","109,605","17,895","1,010","11,115","515,880","395,145","32,990","68,920","12,645",595,"5,595"
Delaware's At-Large,DE-AL,62.9,21.6,9.1,3.9,0.3,2.2,66.4,20.6,7.4,3.9,0.3,1.3,65.5,22.0,7.4,2.5,0.3,2.3,69.7,21.0,5.3,2.3,0.4,1.4,"949,495","596,865","205,330","86,315","37,125","2,850","21,005","746,070","495,290","154,035","55,035","29,115","2,555","10,045","903,590","592,180","198,595","66,955","22,455","2,820","20,580","704,110","490,825","148,020","37,160","15,865","2,555","9,685"
Florida's 1st,FL-01,73.4,13.2,6.4,2.7,0.5,3.8,75.7,12.7,5.7,2.9,0.5,2.6,74.4,13.4,5.7,2.1,0.5,3.9,77.0,12.9,4.8,2.3,0.5,2.6,"759,700","557,745","100,290","48,855","20,350","3,515","28,945","596,390","451,555","75,500","34,010","17,280","2,820","15,215","741,825","552,255","99,250","42,280","15,910","3,515","28,620","579,890","446,550","74,550","27,925","13,130","2,820","14,905"
Florida's 2nd,FL-02,76.5,12.7,6.5,1.8,0.4,2.1,78.0,12.7,5.7,1.8,0.4,1.4,77.7,12.7,5.6,1.3,0.4,2.2,79.5,12.7,4.7,1.2,0.4,1.4,"719,215","549,995","91,345","46,600","13,060","2,790","15,410","575,745","449,135","73,035","33,040","10,115","2,310","8,100","701,555","545,435","89,125","39,605","9,380","2,765","15,245","559,345","444,790","71,145","26,240","6,895","2,285","7,990"
Florida's 3rd,FL-03,68.2,15.8,9.6,3.5,0.2,2.6,70.6,15.1,8.8,3.7,0.2,1.6,69.8,16.0,8.8,2.5,0.2,2.7,72.5,15.3,7.9,2.4,0.3,1.6,"728,980","497,505","115,215","69,800","25,780","1,560","19,120","578,210","408,200","87,140","51,000","21,130","1,405","9,345","704,750","491,880","112,860","62,095","17,460","1,560","18,895","555,840","403,050","84,910","43,785","13,570","1,405","9,115"
Florida's 4th,FL-04,75.4,9.1,8.2,4.6,0.2,2.5,77.2,8.8,7.6,4.6,0.2,1.6,77.2,9.3,7.2,3.5,0.2,2.6,79.4,8.9,6.4,3.4,0.2,1.7,"780,575","588,310","71,355","63,865","35,770","1,530","19,745","616,205","475,655","54,105","46,720","28,335","1,370","10,010","747,840","577,590","69,560","53,540","26,190","1,530","19,430","587,140","466,395","52,380","37,480","19,755","1,370","9,760"
Florida's 5th,FL-05,39.8,46.8,8.1,2.8,0.3,2.2,43.3,44.5,7.4,3.0,0.3,1.6,40.7,48.0,6.8,2.0,0.3,2.3,44.6,45.8,5.7,2.0,0.3,1.6,"729,040","289,895","341,500","59,355","20,335","1,855","16,095","561,610","243,140","249,900","41,425","16,800","1,635","8,705","701,070","285,230","336,505","47,670","13,940","1,825","15,895","536,290","238,975","245,510","30,725","10,955","1,600","8,520"
Florida's 6th,FL-06,73.7,10.3,12.4,1.8,0.3,1.6,76.6,9.5,10.8,1.9,0.3,0.9,74.9,10.3,11.6,1.4,0.3,1.6,78.0,9.5,9.9,1.4,0.3,0.9,"753,500","555,340","77,275","93,105","13,645","2,230","11,905","618,195","473,250","58,745","67,040","11,595","1,940","5,625","730,235","546,910","74,980","84,500","9,945","2,195","11,710","596,695","465,410","56,625","59,125","8,180","1,905","5,455"
Florida's 7th,FL-07,58.1,10.0,25.0,4.7,0.1,2.1,60.7,9.5,23.5,4.7,0.1,1.5,60.3,10.1,23.6,3.7,0.1,2.2,63.4,9.6,21.8,3.5,0.1,1.5,"757,810","440,515","75,720","189,105","35,665","1,055","15,755","607,875","369,055","57,695","142,560","28,775",890,"8,905","713,475","430,365","72,095","168,605","26,075",950,"15,390","567,730","359,690","54,490","124,035","20,150",795,"8,570"
Florida's 8th,FL-08,75.1,9.6,10.6,2.2,0.3,2.2,78.0,8.7,9.3,2.2,0.2,1.5,76.8,9.3,9.7,1.7,0.3,2.3,80.0,8.4,8.2,1.7,0.3,1.4,"742,230","557,330","70,975","78,825","16,570","1,900","16,625","607,135","473,595","53,005","56,705","13,550","1,475","8,810","716,055","549,975","66,450","69,165","12,375","1,895","16,200","582,790","466,515","48,995","47,605","9,805","1,465","8,410"
Florida's 9th,FL-09,42.4,12.1,40.7,2.9,0.2,1.7,45.7,11.5,38.2,3.1,0.2,1.2,44.7,12.0,38.9,2.5,0.2,1.8,49.0,11.3,35.7,2.6,0.2,1.2,"837,025","354,580","101,040","340,940","24,660","1,550","14,250","638,245","291,945","73,205","243,860","20,070","1,370","7,795","766,945","342,845","91,980","298,115","18,970","1,510","13,520","575,460","281,735","65,095","205,255","14,910","1,330","7,125"
Florida's 10th,FL-10,37.2,27.6,27.6,5.4,0.1,2.0,40.0,26.3,26.3,5.8,0.1,1.5,39.8,27.7,25.6,4.6,0.1,2.1,43.6,26.3,23.6,4.9,0.1,1.6,"808,970","301,315","223,130","223,640","43,885","1,025","15,975","614,465","245,500","161,510","161,515","35,880",795,"9,260","711,475","283,335","197,425","181,960","32,750",965,"15,040","527,540","229,895","138,535","124,315","25,605",735,"8,460"
Florida's 11th,FL-11,79.3,6.9,10.4,1.3,0.3,1.7,82.1,6.2,9.0,1.3,0.3,1.0,80.3,6.9,9.7,1.0,0.3,1.7,83.3,6.2,8.1,1.0,0.3,1.0,"754,650","598,485","52,425","78,835","9,905","2,520","12,485","636,005","522,260","39,510","57,485","8,160","2,060","6,535","737,110","592,250","51,155","71,275","7,710","2,515","12,215","619,225","516,115","38,530","50,195","6,070","2,055","6,265"
Florida's 12th,FL-12,78.1,4.6,12.6,2.7,0.3,1.8,80.6,4.3,11.1,2.6,0.3,1.0,79.6,4.5,11.7,2.2,0.3,1.8,82.5,4.2,10.0,2.0,0.3,1.1,"757,720","591,585","34,690","95,600","20,315","2,040","13,495","611,825","493,255","26,375","68,130","16,010","1,660","6,395","727,265","578,565","32,870","84,920","15,690","2,040","13,185","583,295","480,975","24,680","58,085","11,760","1,660","6,140"
Florida's 13th,FL-13,71.7,12.3,9.9,3.7,0.2,2.3,75.3,11.0,8.5,3.6,0.2,1.3,73.3,12.5,8.7,3.0,0.2,2.4,77.3,11.2,7.1,2.8,0.3,1.3,"723,660","518,550","88,855","71,520","26,475","1,650","16,600","602,240","453,745","66,405","51,300","21,690","1,460","7,635","686,660","503,190","85,695","59,535","20,295","1,640","16,305","567,935","439,170","63,775","40,105","16,080","1,455","7,350"
Florida's 14th,FL-14,45.8,17.1,30.1,4.6,0.2,2.1,48.5,16.1,28.8,4.7,0.2,1.7,49.5,18.2,26.4,3.5,0.2,2.2,53.3,17.2,24.3,3.4,0.2,1.7,"763,830","349,795","130,595","230,115","35,485","1,485","16,350","599,440","290,860","96,300","172,820","28,300","1,105","10,055","685,920","339,755","124,645","181,120","23,750","1,450","15,190","529,480","282,005","90,955","128,495","17,765","1,085","9,165"
Florida's 15th,FL-15,58.0,14.2,22.4,3.1,0.2,2.0,62.0,13.2,20.0,3.2,0.3,1.4,60.8,14.5,20.1,2.3,0.3,2.1,65.5,13.5,17.0,2.4,0.3,1.4,"777,640","451,270","110,770","174,055","24,235","1,910","15,390","598,755","371,240","79,250","119,680","18,910","1,565","8,115","730,925","444,135","105,795","146,985","17,140","1,850","15,010","556,295","364,440","74,915","94,535","13,130","1,505","7,765"
Florida's 16th,FL-16,70.6,8.1,17.5,2.2,0.2,1.5,75.3,7.2,14.2,2.1,0.2,0.9,73.6,8.4,14.4,1.8,0.2,1.5,79.3,7.4,10.4,1.7,0.2,1.0,"804,660","567,960","64,860","140,720","17,525","1,725","11,870","648,045","488,285","46,355","92,020","13,885","1,465","6,035","750,440","552,635","62,680","108,435","13,385","1,715","11,590","597,650","473,650","44,280","62,160","10,345","1,455","5,760"
Florida's 17th,FL-17,74.4,7.2,15.2,1.4,0.3,1.5,77.9,6.6,12.8,1.4,0.3,0.9,77.3,7.2,12.7,1.1,0.3,1.6,81.4,6.5,9.8,1.0,0.3,1.0,"756,550","563,220","54,545","114,655","10,665","2,035","11,425","627,690","489,275","41,635","80,610","8,775","1,620","5,775","714,755","552,245","51,110","90,655","7,525","1,940","11,275","587,955","478,520","38,485","57,705","6,095","1,525","5,630"
Florida's 18th,FL-18,67.3,12.6,16.1,2.3,0.2,1.4,71.3,11.4,13.9,2.3,0.2,0.9,70.6,12.2,13.8,1.8,0.2,1.5,75.3,10.9,11.0,1.7,0.2,0.9,"757,230","509,930","95,535","121,870","17,630","1,370","10,890","616,835","439,565","70,425","85,970","14,270",990,"5,605","707,985","499,925","86,195","97,485","12,770","1,325","10,290","570,700","429,870","62,255","62,760","9,770",945,"5,095"
Florida's 19th,FL-19,69.3,7.7,20.3,1.6,0.2,1.0,74.2,6.4,16.9,1.7,0.1,0.7,74.2,7.2,15.9,1.4,0.2,1.1,80.1,5.8,11.9,1.4,0.2,0.7,"797,065","552,300","61,145","161,500","12,990","1,215","7,915","661,540","490,540","42,605","112,115","10,920",935,"4,420","721,070","535,375","51,875","114,770","10,160","1,205","7,670","592,475","474,655","34,070","70,230","8,305",925,"4,285"
Florida's 20th,FL-20,18.1,52.6,24.6,3.0,0.1,1.6,20.8,50.5,24.1,3.1,0.1,1.3,20.2,53.7,21.6,2.6,0.1,1.8,23.9,51.6,20.3,2.6,0.1,1.4,"778,060","140,860","409,590","191,020","23,110",845,"12,630","589,830","122,690","298,020","142,210","18,510",615,"7,785","659,255","133,090","354,335","142,280","17,025",815,"11,705","482,355","115,275","248,830","98,035","12,685",585,"6,960"
Florida's 21st,FL-21,56.5,15.5,23.8,2.7,0.1,1.4,60.9,13.8,21.6,2.7,0.1,0.9,62.2,14.3,19.5,2.4,0.1,1.5,68.1,12.3,16.2,2.3,0.1,1.0,"762,765","431,300","118,340","181,285","20,645",785,"10,420","618,830","376,935","85,695","133,425","16,460",650,"5,660","665,365","414,045","95,010","129,555","16,025",775,"9,960","530,095","360,855","65,000","86,100","12,220",640,"5,280"
Florida's 22nd,FL-22,58.5,14.7,21.6,3.3,0.1,1.7,62.3,13.4,19.8,3.2,0.1,1.2,62.4,14.0,18.9,2.8,0.1,1.8,67.2,12.3,16.5,2.6,0.2,1.2,"750,150","439,160","110,545","162,060","24,440","1,000","12,935","610,330","380,085","81,640","121,145","19,385",815,"7,265","657,900","410,670","92,110","124,030","18,200",985,"11,905","526,185","353,840","64,960","86,660","13,545",800,"6,380"
Florida's 23rd,FL-23,42.1,13.7,38.0,4.2,0.2,1.7,43.8,12.9,37.5,4.4,0.2,1.2,45.3,14.2,34.7,3.7,0.3,1.9,47.7,13.3,33.8,3.7,0.3,1.3,"756,125","318,190","103,415","287,340","32,105","1,855","13,225","597,545","261,795","77,075","223,945","26,050","1,435","7,245","652,635","295,620","92,460","226,380","23,945","1,770","12,460","505,920","241,425","67,045","170,925","18,655","1,350","6,510"
Florida's 24th,FL-24,11.7,47.1,39.1,1.3,0.1,0.7,12.2,45.6,40.0,1.4,0.1,0.6,13.1,50.7,34.1,1.2,0.1,0.7,14.1,49.8,34.1,1.3,0.1,0.6,"750,905","87,560","353,805","293,725","9,920",860,"5,040","583,780","71,455","266,185","233,800","8,460",625,"3,255","608,620","79,905","308,535","207,685","7,105",840,"4,555","454,085","64,160","226,065","154,630","5,815",605,"2,810"
Florida's 25th,FL-25,19.1,3.7,75.6,1.1,0.2,0.4,19.5,3.5,75.4,1.1,0.2,0.3,24.7,4.1,69.5,0.9,0.2,0.5,26.3,3.9,68.3,1.0,0.2,0.3,"763,720","145,640","28,225","577,300","8,320","1,315","2,920","612,240","119,580","21,450","461,770","6,890",945,"1,600","566,120","139,655","23,470","393,690","5,205","1,315","2,785","434,835","114,190","17,100","296,925","4,170",945,"1,505"
Florida's 26th,FL-26,16.5,10.5,70.5,1.8,0.1,0.6,16.7,9.5,71.3,1.9,0.1,0.5,19.5,12.0,66.0,1.6,0.1,0.8,20.5,11.1,66.0,1.7,0.1,0.6,"774,375","127,855","81,065","545,805","13,915",780,"4,955","603,375","100,995","57,175","430,035","11,500",545,"3,115","624,815","122,040","74,975","412,205","10,060",780,"4,760","467,185","95,865","51,660","308,285","7,915",545,"2,920"
Florida's 27th,FL-27,21.2,3.9,72.2,2.0,0.1,0.6,21.0,3.9,72.4,2.1,0.1,0.5,25.1,4.8,67.7,1.7,0.1,0.7,25.4,4.9,67.2,1.8,0.1,0.6,"751,995","159,765","29,160","543,225","14,930",430,"4,490","617,210","129,320","24,170","447,140","13,035",405,"3,140","568,135","142,590","27,090","384,660","9,550",430,"3,825","449,720","114,105","22,250","302,370","8,040",405,"2,555"
Georgia's 1st,GA-01,59.2,29.4,6.8,2.0,0.3,2.3,61.7,28.5,5.9,2.1,0.3,1.4,60.5,30.1,5.4,1.3,0.3,2.4,63.4,29.3,4.1,1.4,0.3,1.4,"731,700","433,360","214,975","49,460","14,535","2,275","17,095","557,985","344,340","158,890","33,170","11,915","1,750","7,920","709,275","429,330","213,590","37,960","9,305","2,170","16,915","537,000","340,490","157,560","22,095","7,410","1,685","7,755"
Georgia's 2nd,GA-02,40.1,51.6,5.1,1.3,0.2,1.7,42.8,50.2,4.4,1.3,0.2,1.1,40.8,52.5,3.8,1.0,0.2,1.7,43.8,51.3,2.7,1.0,0.2,1.1,"675,245","270,840","348,640","34,325","8,835","1,340","11,270","514,170","219,840","258,265","22,555","6,880","1,145","5,480","660,875","269,910","346,965","24,985","6,725","1,225","11,065","500,425","218,955","256,650","13,640","4,865","1,030","5,290"
Georgia's 3rd,GA-03,65.7,24.2,5.7,2.1,0.2,2.2,68.0,23.5,4.8,2.1,0.2,1.3,67.0,24.6,4.5,1.4,0.2,2.2,69.7,24.0,3.4,1.3,0.2,1.3,"728,045","478,020","176,190","41,280","15,360","1,535","15,660","551,200","374,785","129,785","26,580","11,760","1,265","7,025","707,840","474,590","173,880","32,105","10,200","1,535","15,530","532,685","371,510","127,800","18,020","7,180","1,265","6,910"
