District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
California's 21st,CA-21,17.5,3.9,73.8,3.1,0.4,1.2,20.9,4.4,69.4,3.7,0.5,1.1,22.0,4.9,68.0,3.0,0.6,1.5,29.1,6.3,58.7,3.8,0.7,1.5,"711,465","124,850","27,800","524,975","22,405","3,145","8,290","485,890","101,410","21,615","337,200","17,900","2,445","5,320","557,185","122,685","27,555","378,855","16,835","3,115","8,145","342,085","99,580","21,390","200,670","12,835","2,410","5,200"
California's 22nd,CA-22,40.5,2.8,46.7,7.5,0.4,2.1,45.6,2.8,41.6,7.9,0.5,1.7,44.5,3.1,42.9,6.9,0.5,2.2,51.7,3.2,35.6,7.1,0.5,1.8,"739,450","299,510","20,925","345,110","55,665","3,025","15,220","530,150","241,705","14,880","220,295","42,015","2,435","8,820","662,435","294,495","20,700","284,265","45,590","3,015","14,380","458,360","237,150","14,680","163,325","32,680","2,425","8,100"
California's 23rd,CA-23,47.5,6.1,38.2,5.2,0.6,2.3,52.1,6.1,33.7,5.5,0.7,1.9,50.9,6.5,35.1,4.3,0.7,2.5,57.1,6.6,29.1,4.4,0.7,2.1,"730,050","346,945","44,855","278,570","38,220","4,560","16,900","530,015","276,360","32,285","178,860","28,920","3,555","10,040","674,330","343,480","43,915","236,810","28,960","4,550","16,615","478,295","273,285","31,440","139,195","21,010","3,550","9,815"
California's 24th,CA-24,55.4,1.8,35.6,4.6,0.3,2.3,60.2,1.9,30.4,5.0,0.4,2.0,61.3,1.9,29.8,4.1,0.4,2.6,68.0,2.2,22.7,4.5,0.4,2.2,"727,935","402,980","12,980","258,970","33,605","2,535","16,855","576,390","347,155","11,185","175,355","29,035","2,215","11,445","644,190","394,720","12,510","191,775","26,100","2,535","16,545","498,910","339,235","10,755","113,290","22,270","2,215","11,140"
California's 25th,CA-25,43.2,7.5,37.8,8.2,0.2,3.0,47.7,7.4,33.7,8.8,0.3,2.2,46.4,8.2,34.7,7.3,0.3,3.2,52.4,8.1,29.0,7.7,0.3,2.5,"719,970","311,280","54,325","271,980","59,235","1,655","21,500","525,620","250,655","38,760","176,965","46,255","1,355","11,625","656,050","304,335","53,485","227,485","47,790","1,655","21,295","466,130","244,305","37,985","135,170","35,875","1,355","11,440"
California's 26th,CA-26,44.3,1.7,44.7,6.8,0.3,2.2,48.7,1.8,40.1,7.4,0.3,1.7,50.0,1.9,39.1,6.1,0.3,2.5,57.0,2.1,32.0,6.6,0.3,2.0,"720,335","318,870","12,240","321,960","49,220","1,910","16,135","543,645","264,920","9,880","217,880","40,320","1,505","9,140","625,225","312,855","11,890","244,590","38,145","1,890","15,860","455,215","259,605","9,535","145,465","30,250","1,490","8,880"
California's 27th,CA-27,27.4,4.4,27.7,38.0,0.2,2.2,29.1,4.6,25.4,39.1,0.2,1.5,30.8,5.1,27.5,33.9,0.2,2.5,33.5,5.4,24.5,34.7,0.2,1.7,"717,210","196,730","31,885","198,780","272,850","1,305","15,660","576,240","167,920","26,635","146,540","225,320","1,170","8,645","614,295","189,385","31,240","168,855","208,315","1,280","15,225","481,155","161,170","26,030","117,745","166,825","1,145","8,240"
California's 28th,CA-28,55.1,2.6,25.9,13.5,0.2,2.7,57.4,2.8,23.8,13.6,0.2,2.2,58.6,3.0,23.1,12.1,0.2,3.0,62.1,3.3,19.9,12.1,0.2,2.5,"716,990","394,950","19,000","185,805","96,625","1,415","19,200","601,855","345,565","16,865","143,365","81,580","1,270","13,220","600,475","352,030","18,165","138,495","72,545","1,335","17,905","493,205","306,155","16,045","98,260","59,460","1,190","12,095"
California's 29th,CA-29,18.6,3.6,68.7,7.9,0.2,1.1,21.6,4.0,64.3,8.9,0.2,1.0,22.5,4.5,63.4,7.9,0.2,1.4,28.3,5.4,55.3,9.4,0.3,1.2,"717,765","133,340","25,970","492,765","56,425","1,365","7,905","540,680","116,905","21,705","347,825","47,945","1,140","5,160","545,910","123,075","24,780","346,110","43,150","1,350","7,440","379,540","107,435","20,670","209,730","35,835","1,130","4,740"
California's 30th,CA-30,50.9,4.6,28.8,12.6,0.2,3.0,54.0,4.6,25.9,13.1,0.2,2.2,55.1,5.1,25.2,11.2,0.2,3.2,59.7,5.2,21.0,11.5,0.2,2.4,"750,370","381,580","34,555","215,780","94,685","1,320","22,450","598,800","323,545","27,475","155,170","78,160","1,040","13,405","651,345","358,855","33,110","164,290","73,025","1,315","20,750","506,390","302,495","26,130","106,595","58,190","1,035","11,950"
