District,Biden,Trump,Clinton,Trump,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
GA-12,44.3,54.5,42.2,55.4,23.4,373,27.3,360,"$56,189",396,"$64,516",377
GA-13,79.7,19.3,76.2,21.6,30.2,252,30.3,317,"$71,993",226,"$70,742",311
GA-14,30.7,68.1,26.9,70.2,22.2,393,21.5,422,"$69,169",257,"$70,929",310
HI-01,63.9,34.5,63.1,30.5,37.9,139,52.6,68,"$96,086",71,"$102,733",76
HI-02,63.6,34.1,61.4,29.6,31.4,231,44.1,136,"$89,314",99,"$90,150",156
IA-01,47.6,50.5,44.8,47.9,31.5,227,31.8,301,"$67,381",279,"$69,212",329
IA-02,46.9,51.3,44.1,48.7,28.3,280,28.8,336,"$67,862",269,"$69,148",331
IA-03,48.9,49.3,44.8,47.8,35.4,164,37.1,219,"$74,960",198,"$78,288",235
IA-04,36.2,62.2,33.2,60.2,25.8,329,26.8,367,"$68,755",261,"$70,564",314
ID-01,29.5,67.7,25.0,64.1,28.2,282,29.5,327,"$72,898",219,"$74,265",271
ID-02,36.9,59.8,29.9,54.4,32.3,212,34.7,255,"$72,674",222,"$74,082",275
IL-01,70.5,28.1,71.9,24.0,31.7,221,39.0,197,"$64,107",318,"$99,417",90
IL-02,69.3,29.3,69.1,26.8,23.8,364,23.7,411,"$57,780",380,"$67,102",358
IL-03,69.7,28.3,69.1,24.6,35.2,168,49.2,90,"$78,452",178,"$93,184",130
IL-04,72.3,25.9,72.4,21.7,23.3,374,41.5,162,"$69,123",258,"$76,159",254
IL-05,68.9,29.3,65.5,27.3,64.4,6,67.8,17,"$104,191",45,"$111,877",51
IL-06,54.5,43.6,50.7,42.4,43.6,85,44.8,131,"$95,298",76,"$96,808",107
IL-07,85.6,12.8,85.8,9.8,46.1,69,76.8,8,"$76,365",186,"$121,945",31
IL-08,56.8,41.4,54.6,38.9,39.2,126,40.6,173,"$91,317",93,"$94,096",122
IL-09,69.9,28.4,68.2,25.8,54.9,20,60.5,31,"$86,692",118,"$98,140",96
IL-10,62.0,36.1,57.7,34.9,46.5,64,54.1,57,"$98,057",66,"$110,852",52
IL-11,56.6,41.3,51.7,41.1,44.2,79,47.2,113,"$99,802",60,"$105,040",69
IL-12,27.7,70.5,26.0,68.5,23.8,363,23.8,408,"$62,253",337,"$62,923",393
IL-13,54.4,43.2,50.6,42.3,30.8,241,32.5,285,"$59,843",367,"$67,087",360
IL-14,54.7,43.3,50.7,42.1,32.3,213,35.2,244,"$86,174",122,"$89,074",166
IL-15,29.6,68.3,27.7,66.0,25.1,337,25.3,393,"$66,614",286,"$66,986",363
IL-16,38.1,59.6,34.3,58.0,30.8,242,30.6,313,"$78,393",180,"$78,963",228
IL-17,52.7,44.9,49.6,42.9,24.0,357,26.2,377,"$56,834",390,"$61,756",403
IN-01,53.4,45.0,53.0,41.2,25.4,333,28.3,344,"$69,580",253,"$76,669",249
IN-02,37.8,60.4,34.3,59.4,24.1,356,24.8,396,"$62,487",334,"$66,989",362
IN-03,34.0,63.9,29.9,64.0,24.6,345,25.6,385,"$65,522",302,"$68,318",341
IN-04,34.3,63.4,29.6,63.6,30.8,244,30.6,312,"$72,677",221,"$74,926",265
IN-05,41.0,57.0,34.9,58.3,39.3,125,39.0,194,"$75,915",190,"$76,953",244
IN-06,33.0,64.9,28.2,65.3,27.4,299,26.7,370,"$69,426",256,"$70,636",313
IN-07,70.3,27.9,64.7,29.0,34.6,175,44.6,133,"$59,595",371,"$75,591",259
