District,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
KS-02,37.4,55.8,42.2,55.4,29.0,227,30.0,279,"$53,367",283,"$55,378",345
KS-03,47.2,46.0,44.3,53.8,47.2,37,52.5,50,"$74,412",87,"$83,146",91
KS-04,33.0,60.2,36.1,61.6,29.2,221,31.7,245,"$54,768",264,"$58,804",298
KY-01,23.9,72.4,32.1,66.4,16.6,415,16.9,431,"$42,114",412,"$43,983",429
KY-02,27.6,67.5,35.1,63.3,20.2,385,20.3,418,"$50,611",331,"$51,920",386
KY-03,54.9,39.9,55.7,42.8,31.9,170,35.6,190,"$53,348",284,"$60,237",275
KY-04,29.3,65.2,34.8,63.4,27.8,247,28.0,297,"$61,835",187,"$63,578",241
KY-05,17.5,79.6,23.2,75.0,13.0,429,13.0,435,"$32,884",434,"$33,078",434
KY-06,39.4,54.7,42.2,55.8,31.3,180,32.3,239,"$52,340",305,"$55,343",346
LA-01,26.7,68.7,26.9,70.9,30.5,200,33.5,218,"$59,050",206,"$65,491",217
LA-02,74.6,22.2,75.8,22.8,23.3,329,36.3,184,"$39,372",424,"$61,380",261
LA-03,29.2,67.3,32.3,66.1,21.3,361,24.4,367,"$48,996",355,"$57,261",312
LA-04,36.6,60.6,39.7,59.0,19.7,397,22.8,396,"$41,366",416,"$51,796",389
LA-05,34.1,63.5,37.7,61.0,17.7,408,20.9,410,"$38,462",426,"$49,407",414
LA-06,31.0,64.8,32.0,66.1,29.2,224,31.3,253,"$62,778",177,"$71,060",175
MA-01,57.2,36.5,64.0,34.3,29.8,209,33.3,221,"$56,757",240,"$65,320",219
MA-02,56.2,36.8,58.7,39.2,38.6,96,39.9,145,"$68,685",129,"$73,510",154
MA-03,58.2,35.4,56.9,41.4,37.7,107,42.0,118,"$77,597",71,"$86,143",79
MA-04,59.2,35.0,57.2,41.3,50.9,25,50.4,60,"$99,343",19,"$100,197",33
MA-05,69.3,25.7,65.2,33.1,57.3,10,59.1,29,"$94,843",27,"$99,540",34
MA-06,56.1,38.2,54.7,43.9,44.4,51,46.3,86,"$87,696",42,"$92,147",56
MA-07,84.1,11.9,82.5,15.6,44.3,52,64.4,15,"$63,501",173,"$88,813",65
MA-08,60.4,34.4,57.8,40.8,46.9,38,49.9,66,"$88,174",38,"$94,384",48
MA-09,52.5,41.8,55.5,43.1,35.1,133,36.8,179,"$70,248",114,"$73,493",155
MD-01,33.4,62.0,37.7,60.4,31.2,183,32.6,232,"$73,980",90,"$79,454",110
MD-02,60.1,35.7,63.1,35.0,32.2,167,32.3,236,"$69,242",125,"$72,665",164
MD-03,62.8,32.3,60.7,37.1,48.1,31,52.8,49,"$88,161",39,"$97,107",38
