District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Georgia's 4th,GA-04,22.9,60.2,9.6,5.2,0.2,2.0,25.7,59.6,7.8,5.3,0.2,1.4,24.4,63.3,6.8,3.4,0.2,2.0,27.8,63.2,4.0,3.3,0.2,1.4,"755,680","172,690","454,755","72,410","39,280","1,620","14,925","564,750","145,040","336,395","44,120","29,955","1,250","7,990","690,605","168,415","436,900","46,860","23,195","1,600","13,635","508,545","141,485","321,500","20,135","16,850","1,230","7,345"
Georgia's 5th,GA-05,29.2,57.7,6.5,4.4,0.2,2.1,32.1,55.8,5.5,4.9,0.2,1.6,29.9,60.1,4.9,2.9,0.2,2.1,33.1,58.4,3.5,3.1,0.2,1.6,"771,990","225,400","445,350","50,045","33,885","1,235","16,075","612,250","196,445","341,345","33,525","30,170","1,175","9,590","732,045","219,030","439,675","35,545","20,895","1,235","15,665","574,640","190,490","335,855","20,000","17,940","1,175","9,180"
Georgia's 6th,GA-06,59.5,13.4,12.7,11.9,0.2,2.3,62.4,13.5,10.5,11.8,0.3,1.5,65.5,14.4,9.2,8.2,0.3,2.4,70.1,14.7,5.8,7.6,0.3,1.6,"750,875","446,625","100,945","95,275","89,240","1,815","16,975","568,285","354,505","76,810","59,630","67,235","1,485","8,620","657,415","430,895","94,455","60,395","54,170","1,750","15,750","485,935","340,700","71,245","28,035","36,785","1,420","7,750"
Georgia's 7th,GA-07,43.8,20.0,19.5,14.5,0.1,2.1,46.6,19.6,17.1,15.1,0.2,1.4,49.5,21.8,14.6,11.6,0.2,2.3,54.9,22.0,9.9,11.5,0.2,1.6,"811,490","355,105","162,275","158,400","117,650","1,110","16,950","590,730","275,445","115,905","101,285","88,950",955,"8,190","697,070","344,855","152,050","101,785","80,915","1,110","16,355","485,145","266,260","106,660","48,090","55,575",955,"7,605"
Georgia's 8th,GA-08,59.1,30.9,6.5,1.6,0.3,1.6,61.7,30.0,5.4,1.6,0.3,1.0,60.5,31.6,4.8,1.1,0.3,1.7,63.5,30.8,3.2,1.1,0.3,1.0,"706,305","417,190","218,260","46,120","11,360","1,780","11,595","538,535","332,045","161,585","29,290","8,790","1,450","5,375","686,580","415,550","216,920","33,060","7,750","1,725","11,575","520,330","330,545","160,470","16,695","5,870","1,395","5,355"
Georgia's 9th,GA-09,77.2,6.7,13.1,1.2,0.2,1.6,80.4,6.6,10.4,1.3,0.2,1.1,81.2,6.9,9.0,1.0,0.2,1.6,85.4,6.9,5.3,1.0,0.2,1.2,"747,425","577,380","49,885","97,810","9,290","1,340","11,720","577,495","464,380","38,025","60,215","7,250","1,040","6,585","707,380","574,615","48,915","63,745","7,115","1,340","11,650","540,590","461,740","37,350","28,625","5,295","1,040","6,540"
Georgia's 10th,GA-10,64.7,25.5,5.8,2.1,0.1,1.8,67.0,24.7,4.9,2.2,0.1,1.2,66.1,25.8,4.5,1.7,0.1,1.8,68.7,25.0,3.3,1.7,0.1,1.2,"750,525","485,575","191,270","43,225","16,130",710,"13,615","574,715","384,865","141,690","27,975","12,755",605,"6,825","729,405","482,100","188,120","33,145","12,115",705,"13,220","555,430","381,730","138,845","18,445","9,170",600,"6,640"
Georgia's 11th,GA-11,66.7,16.7,11.1,3.5,0.1,1.9,69.0,16.5,9.4,3.6,0.1,1.4,70.2,17.0,8.2,2.5,0.1,2.0,73.5,16.9,5.6,2.4,0.1,1.4,"765,950","510,905","127,645","85,235","26,670",850,"14,645","585,790","404,385","96,790","54,895","20,995",745,"7,980","713,570","500,965","121,140","58,805","17,635",835,"14,190","537,570","395,240","90,935","30,355","12,715",735,"7,590"
Georgia's 12th,GA-12,55.2,34.8,6.3,1.8,0.2,1.9,57.6,33.9,5.2,1.9,0.2,1.2,56.2,35.4,5.0,1.3,0.2,2.0,58.8,34.7,3.7,1.3,0.2,1.2,"724,060","399,350","251,625","45,295","12,695","1,300","13,795","552,960","318,275","187,690","28,965","10,275","1,165","6,590","706,250","396,585","250,040","35,635","8,915","1,300","13,775","536,570","315,725","186,160","20,095","6,855","1,165","6,570"
Georgia's 13th,GA-13,24.7,59.0,11.4,2.7,0.1,2.1,28.0,58.2,9.2,2.9,0.1,1.6,25.6,61.2,8.7,2.2,0.1,2.2,29.4,61.0,5.4,2.4,0.1,1.7,"759,770","187,550","448,625","86,770","20,455",665,"15,705","558,745","156,375","325,175","51,290","16,440",625,"8,840","717,035","183,760","439,030","62,130","15,880",665,"15,570","519,175","152,810","316,505","28,250","12,265",625,"8,720"
Georgia's 14th,GA-14,76.2,8.8,11.7,1.0,0.2,2.1,78.9,8.8,9.7,1.0,0.2,1.3,79.5,9.1,8.3,0.7,0.2,2.1,83.3,9.1,5.3,0.7,0.3,1.3,"717,140","546,290","63,230","83,975","7,310","1,545","14,790","540,895","426,910","47,590","52,650","5,635","1,320","6,790","684,205","543,955","62,120","57,060","4,910","1,545","14,615","509,910","424,690","46,620","26,935","3,730","1,320","6,615"
Hawaii's 1st,HI-01,15.6,2.1,8.7,56.3,0.1,17.1,16.8,2.1,7.2,59.6,0.1,14.2,16.7,2.2,9.3,53.0,0.1,18.7,18.1,2.4,7.7,56.1,0.1,15.7,"710,800","111,185","14,695","62,025","400,445",580,"121,870","568,330","95,225","12,160","40,935","338,645",455,"80,910","646,335","107,770","14,475","60,130","342,735",580,"120,645","509,305","92,130","11,990","39,155","285,735",455,"79,840"
Hawaii's 2nd,HI-02,28.5,1.4,12.2,36.4,0.2,21.2,31.9,1.5,9.5,38.9,0.3,17.9,29.6,1.4,12.3,33.9,0.2,22.5,33.4,1.6,9.4,36.1,0.3,19.2,"711,295","202,770","9,875","87,095","259,145","1,670","150,740","549,135","175,000","8,390","52,335","213,650","1,435","98,325","666,935","197,585","9,555","82,200","226,105","1,550","149,940","509,090","169,970","8,110","48,045","184,015","1,320","97,630"
Idaho's 1st,ID-01,83.5,0.6,11.1,1.4,1.2,2.2,85.8,0.5,9.2,1.5,1.2,1.8,85.2,0.5,9.7,1.1,1.2,2.3,88.0,0.5,7.4,1.1,1.2,1.7,"888,810","742,010","5,200","98,460","12,425","10,770","19,945","667,840","573,175","3,390","61,750","9,850","7,985","11,690","864,735","736,795","4,250","83,940","9,480","10,760","19,510","645,770","568,540","2,940","47,935","7,125","7,975","11,255"
Idaho's 2nd,ID-02,80.6,0.7,14.1,1.6,1.0,2.0,83.0,0.6,12.0,1.7,1.1,1.5,83.5,0.7,11.6,1.1,1.0,2.1,87.0,0.6,8.6,1.1,1.2,1.6,"828,945","667,750","6,125","117,015","13,240","8,280","16,535","608,760","505,470","3,865","73,145","10,530","6,640","9,110","792,075","661,620","5,315","91,920","8,540","8,265","16,415","574,535","499,915","3,350","49,435","6,210","6,620","9,005"
Illinois' 1st,IL-01,35.2,50.8,10.4,2.1,0.1,1.5,36.4,50.9,9.0,2.4,0.1,1.2,35.8,52.3,8.9,1.3,0.1,1.5,37.3,52.9,7.2,1.4,0.1,1.2,"704,030","247,510","357,585","73,035","14,740",615,"10,545","544,985","198,540","277,650","49,030","12,845",535,"6,385","677,225","242,300","354,340","60,600","9,075",615,"10,295","519,810","193,755","274,775","37,180","7,405",535,"6,160"
Illinois' 2nd,IL-02,26.5,56.9,14.3,0.8,0.1,1.4,29.7,55.9,12.4,0.9,0.1,1.1,27.3,58.6,12.0,0.6,0.1,1.4,30.7,58.0,9.4,0.7,0.1,1.1,"698,740","185,425","397,820","99,810","5,520",625,"9,540","530,655","157,350","296,430","65,775","4,640",570,"5,890","672,845","183,395","394,505","80,565","4,330",625,"9,425","506,135","155,385","293,430","47,440","3,500",570,"5,810"
Illinois' 3rd,IL-03,56.9,5.0,32.6,4.5,0.1,1.0,60.8,5.3,28.4,4.8,0.0,0.6,60.1,5.5,29.6,3.7,0.1,1.1,65.5,5.9,23.9,3.9,0.1,0.7,"716,450","407,325","35,910","233,450","32,175",465,"7,125","542,980","330,020","28,670","154,365","26,205",260,"3,460","648,010","389,270","35,380","191,785","24,170",440,"6,965","477,675","312,975","28,205","114,120","18,825",250,"3,300"
Illinois' 4th,IL-04,22.7,3.5,68.9,3.7,0.1,1.1,26.1,3.7,64.9,4.3,0.1,0.9,26.7,4.3,64.2,3.4,0.1,1.3,33.0,4.8,56.8,4.1,0.1,1.2,"692,440","156,885","24,295","477,405","25,605",505,"7,745","520,580","136,010","19,120","337,780","22,315",490,"4,865","551,925","147,615","23,530","354,170","18,680",500,"7,430","384,945","127,050","18,420","218,540","15,890",480,"4,565"
Illinois' 5th,IL-05,67.6,2.8,19.9,7.5,0.1,2.2,69.9,2.9,17.7,7.8,0.1,1.6,70.0,2.9,18.4,6.4,0.1,2.3,73.0,3.1,15.7,6.5,0.1,1.6,"740,865","500,900","20,575","147,065","55,325",645,"16,355","602,680","421,060","17,705","106,915","46,985",575,"9,440","673,310","471,330","19,390","123,835","42,840",610,"15,305","539,035","393,575","16,570","84,625","35,155",545,"8,565"
Illinois' 6th,IL-06,75.4,2.5,10.4,9.7,0.1,1.9,77.9,2.5,8.8,9.7,0.1,1.1,78.4,2.5,8.9,8.1,0.1,2.0,81.7,2.5,6.8,7.9,0.1,1.1,"724,005","546,080","18,125","75,495","69,880",480,"13,945","555,785","433,130","13,720","48,800","53,775",325,"6,035","683,915","536,160","17,225","61,095","55,595",480,"13,360","519,340","424,230","12,980","35,425","40,800",325,"5,580"
Illinois' 7th,IL-07,29.4,45.4,16.0,7.4,0.1,1.7,32.4,43.9,14.1,8.2,0.1,1.3,30.4,49.1,13.6,5.0,0.1,1.7,34.0,48.3,10.9,5.4,0.1,1.3,"720,975","211,720","327,615","115,355","53,290",750,"12,245","578,775","187,410","254,170","81,570","47,255",640,"7,730","662,820","201,630","325,680","89,935","33,455",670,"11,450","522,600","177,745","252,285","56,880","28,140",565,"6,985"
Illinois' 8th,IL-08,50.8,5.0,28.8,13.6,0.1,1.7,56.0,4.4,24.4,13.9,0.1,1.1,56.8,5.6,24.2,11.3,0.1,1.9,64.6,5.1,17.5,11.4,0.1,1.3,"711,775","361,615","35,495","204,785","96,680",860,"12,340","544,690","305,115","24,080","132,760","75,910",605,"6,220","610,105","346,425","34,040","147,795","69,170",800,"11,875","449,830","290,750","22,875","78,515","51,300",550,"5,840"
Illinois' 9th,IL-09,63.7,8.8,11.4,13.3,0.1,2.6,65.8,8.4,10.3,13.6,0.1,1.8,67.9,8.5,9.9,10.9,0.1,2.6,71.0,8.2,8.2,10.7,0.1,1.8,"724,835","461,840","63,755","82,780","96,705",860,"18,895","574,810","378,250","48,490","58,960","78,000",720,"10,390","647,760","439,785","55,360","64,410","70,285",860,"17,060","504,925","358,295","41,495","41,480","53,995",720,"8,940"
Illinois' 10th,IL-10,56.9,6.7,23.1,11.2,0.2,1.8,60.7,6.6,19.7,11.5,0.2,1.3,62.5,7.4,19.1,8.7,0.2,2.0,68.4,7.5,14.0,8.5,0.2,1.5,"710,715","404,700","47,810","164,220","79,865","1,120","13,000","540,315","328,115","35,925","106,435","61,915",955,"6,970","627,450","392,050","46,605","120,105","54,870","1,080","12,740","463,675","317,020","34,760","64,700","39,550",915,"6,730"
Illinois' 11th,IL-11,51.0,10.9,27.9,8.1,0.1,2.0,55.0,11.0,24.4,8.3,0.1,1.3,55.7,11.9,23.5,6.5,0.1,2.2,61.7,12.2,18.0,6.5,0.1,1.4,"723,335","368,605","79,085","201,495","58,575",835,"14,740","540,480","297,055","59,285","131,665","44,605",675,"7,195","648,935","361,415","77,225","152,790","42,485",800,"14,220","471,185","290,625","57,670","84,930","30,540",640,"6,780"
Illinois' 12th,IL-12,76.0,16.9,3.5,1.3,0.2,2.1,78.2,16.1,3.0,1.3,0.2,1.2,76.9,17.0,3.0,0.9,0.2,2.1,79.2,16.2,2.4,0.8,0.2,1.2,"693,585","527,430","117,170","24,385","8,795","1,285","14,520","539,865","422,155","86,795","16,230","7,035","1,155","6,495","683,585","525,610","116,065","20,525","5,915","1,240","14,230","530,790","420,540","85,905","12,700","4,320","1,110","6,215"
Illinois' 13th,IL-13,78.3,11.3,3.6,4.1,0.2,2.5,80.5,10.2,3.1,4.4,0.2,1.6,80.5,11.4,3.2,2.2,0.2,2.6,83.1,10.3,2.6,2.1,0.2,1.6,"701,845","549,760","79,220","25,060","28,810","1,185","17,810","562,405","452,745","57,515","17,310","24,905","1,140","8,790","677,815","545,800","76,960","21,675","14,615","1,180","17,585","540,135","449,105","55,755","14,005","11,570","1,130","8,570"
Illinois' 14th,IL-14,78.3,3.2,12.3,4.6,0.1,1.6,81.1,3.0,10.4,4.5,0.1,0.9,80.7,3.2,10.6,3.9,0.1,1.7,84.2,3.1,8.1,3.6,0.1,1.0,"734,105","575,070","23,295","89,955","33,510",370,"11,905","546,330","443,100","16,595","56,740","24,460",350,"5,085","706,245","569,655","22,495","74,565","27,385",370,"11,775","520,710","438,220","16,020","42,200","18,965",350,"4,955"
Illinois' 15th,IL-15,90.5,4.4,2.9,0.7,0.2,1.3,91.7,4.1,2.4,0.7,0.2,0.8,91.1,4.4,2.4,0.5,0.2,1.3,92.4,4.1,1.9,0.5,0.2,0.8,"691,765","626,000","30,615","19,845","4,930","1,360","9,015","537,145","492,660","22,015","12,920","3,950","1,120","4,480","685,475","624,475","30,500","16,720","3,460","1,325","8,995","531,450","491,305","21,915","10,045","2,635","1,085","4,465"
Illinois' 16th,IL-16,82.7,3.8,10.1,1.6,0.2,1.7,85.2,3.7,8.2,1.6,0.2,1.2,84.5,3.9,8.6,1.1,0.2,1.7,87.6,3.7,6.3,1.1,0.2,1.1,"694,790","574,350","26,580","69,875","10,915","1,110","11,960","541,075","461,205","19,890","44,170","8,650",855,"6,305","676,090","571,175","26,230","58,300","7,655","1,095","11,635","523,165","458,145","19,595","32,800","5,795",840,"5,990"
Illinois' 17th,IL-17,75.4,11.7,9.1,1.4,0.2,2.2,79.2,10.7,7.5,1.3,0.2,1.1,77.5,11.5,7.7,0.9,0.2,2.2,81.6,10.5,5.7,0.7,0.2,1.2,"681,130","513,905","79,935","61,990","9,270","1,245","14,785","528,670","418,510","56,380","39,820","6,930","1,035","5,995","660,845","512,035","76,305","50,970","5,635","1,245","14,655","510,655","416,895","53,710","29,335","3,795","1,035","5,885"
Illinois' 18th,IL-18,88.6,3.8,2.9,2.8,0.2,1.7,90.1,3.7,2.4,2.6,0.2,1.0,90.2,3.8,2.5,1.7,0.2,1.7,91.9,3.7,1.9,1.3,0.2,1.0,"705,255","625,080","26,935","20,380","19,670","1,260","11,930","546,885","492,825","20,325","13,120","14,265",935,"5,415","690,580","622,645","25,965","17,335","11,530","1,250","11,855","533,930","490,695","19,535","10,330","7,100",925,"5,345"
Indiana's 1st,IN-01,62.7,18.3,15.7,1.4,0.2,1.8,65.7,17.4,14.0,1.5,0.2,1.1,63.9,18.7,14.5,1.0,0.2,1.8,67.3,17.9,12.5,1.0,0.2,1.1,"714,675","447,990","130,800","111,965","9,745","1,410","12,765","550,030","361,535","95,935","76,930","8,175","1,190","6,265","697,425","445,680","130,090","100,995","6,690","1,370","12,600","533,975","359,295","95,400","66,675","5,310","1,170","6,125"
Indiana's 2nd,IN-02,79.5,6.9,9.8,1.4,0.3,2.2,82.8,6.3,7.8,1.5,0.3,1.4,81.9,6.9,7.8,0.9,0.3,2.3,85.9,6.3,5.2,0.9,0.3,1.4,"724,055","575,470","49,625","70,980","10,160","1,870","15,950","545,600","451,665","34,315","42,550","8,005","1,600","7,465","699,320","572,490","47,920","54,660","6,600","1,870","15,780","522,725","448,910","33,020","27,010","4,840","1,600","7,345"
Indiana's 3rd,IN-03,83.1,6.0,6.2,2.3,0.2,2.2,85.5,5.7,5.1,2.2,0.2,1.3,85.0,6.1,5.1,1.5,0.2,2.2,87.9,5.7,3.6,1.2,0.2,1.3,"743,000","617,630","44,610","46,095","17,200","1,230","16,235","552,760","472,845","31,345","27,975","12,230","1,005","7,360","723,910","615,320","43,845","36,945","10,615","1,225","15,960","535,315","470,800","30,605","19,230","6,575","1,005","7,100"
Indiana's 4th,IN-04,84.9,4.0,6.1,3.2,0.2,1.6,86.6,3.7,4.9,3.4,0.3,1.1,87.9,4.0,4.7,1.5,0.2,1.6,90.3,3.8,3.1,1.4,0.3,1.1,"756,190","641,750","30,145","46,500","23,875","1,605","12,315","583,965","505,465","21,840","28,865","20,005","1,540","6,250","725,905","638,230","29,305","34,100","10,865","1,555","11,850","555,890","502,190","21,015","17,330","7,955","1,490","5,910"
Indiana's 5th,IN-05,80.9,8.5,4.6,3.6,0.2,2.3,82.7,8.4,3.7,3.5,0.2,1.4,82.6,8.5,3.8,2.5,0.2,2.4,84.8,8.5,2.8,2.3,0.2,1.4,"775,550","627,185","65,580","35,440","28,145","1,235","17,965","589,115","487,400","49,640","21,945","20,655",990,"8,485","752,705","621,740","64,030","28,875","19,125","1,235","17,700","569,305","482,835","48,235","16,140","12,875",990,"8,230"
Indiana's 6th,IN-06,91.2,2.6,2.8,1.6,0.1,1.6,92.4,2.6,2.2,1.7,0.2,1.0,92.6,2.6,2.3,0.8,0.1,1.6,94.0,2.6,1.5,0.7,0.2,1.0,"719,105","655,785","18,765","20,405","11,860",985,"11,305","560,045","517,260","14,500","12,340","9,370",845,"5,730","705,725","653,690","18,230","16,040","5,515",985,"11,265","548,105","515,375","14,075","8,480","3,625",845,"5,705"
Indiana's 7th,IN-07,52.3,29.8,11.4,3.5,0.2,2.8,57.2,28.3,8.9,3.4,0.2,2.0,55.9,30.8,8.1,2.0,0.2,3.0,62.0,29.5,4.4,1.7,0.2,2.1,"760,900","397,965","226,665","86,440","26,655","1,680","21,495","564,490","323,090","159,810","50,115","19,160","1,255","11,060","706,120","394,745","217,555","57,095","14,180","1,680","20,865","516,240","320,300","152,365","22,875","8,695","1,255","10,750"
Indiana's 8th,IN-08,90.1,4.3,2.5,1.1,0.1,1.9,91.4,4.2,2.0,1.1,0.2,1.2,91.1,4.2,1.9,0.7,0.1,1.9,92.6,4.1,1.3,0.7,0.2,1.2,"719,000","647,585","30,980","18,175","7,985",970,"13,305","558,140","509,965","23,180","11,030","6,175",885,"6,905","708,960","645,910","29,985","13,770","5,110",970,"13,215","549,180","508,390","22,355","7,060","3,675",885,"6,815"
Indiana's 9th,IN-09,88.9,2.9,3.4,2.6,0.2,2.0,90.2,2.8,2.8,2.8,0.2,1.3,90.7,2.9,2.8,1.4,0.2,2.0,92.4,2.7,1.9,1.4,0.2,1.3,"753,240","669,595","21,740","25,850","19,410","1,410","15,235","589,080","531,215","16,390","16,375","16,265","1,045","7,790","735,150","667,020","20,995","20,225","10,460","1,410","15,040","572,420","528,875","15,705","11,150","7,965","1,045","7,680"
Iowa's 1st,IA-01,87.9,4.1,4.1,1.8,0.3,1.7,90.2,3.5,3.2,1.7,0.3,1.0,89.7,3.8,3.3,1.1,0.4,1.8,92.3,3.2,2.2,0.9,0.3,1.0,"772,350","679,195","31,390","31,785","13,950","2,690","13,340","596,085","537,790","21,135","19,020","10,425","1,985","5,730","753,515","676,090","28,310","24,960","8,255","2,690","13,210","579,270","534,935","18,450","12,890","5,395","1,985","5,615"
Iowa's 2nd,IA-02,85.2,4.4,5.8,2.5,0.2,1.9,87.3,3.9,4.8,2.6,0.2,1.2,87.6,3.9,5.0,1.4,0.2,2.0,90.2,3.3,3.8,1.3,0.2,1.2,"780,575","665,155","34,390","45,005","19,370","1,640","15,015","604,220","527,740","23,455","28,825","15,505","1,435","7,260","755,640","661,795","29,120","37,585","10,705","1,640","14,795","581,840","524,565","19,275","21,990","7,545","1,435","7,030"
Iowa's 3rd,IA-03,83.1,4.3,7.0,3.4,0.2,2.1,85.9,3.9,5.6,3.3,0.2,1.2,86.0,4.0,5.6,2.2,0.2,2.1,89.4,3.5,3.8,1.9,0.2,1.2,"831,495","690,830","35,725","57,840","28,285","1,665","17,150","625,475","537,195","24,110","34,785","20,630","1,370","7,385","799,080","686,905","31,700","44,665","17,345","1,655","16,810","597,015","533,610","20,890","22,610","11,465","1,365","7,075"
Iowa's 4th,IA-04,87.1,1.7,7.1,2.3,0.4,1.4,89.3,1.5,5.5,2.4,0.4,0.8,89.6,1.5,5.7,1.4,0.4,1.4,92.4,1.4,3.7,1.2,0.5,0.9,"755,085","657,745","12,505","53,680","17,620","3,290","10,245","585,005","522,500","8,875","32,100","14,100","2,540","4,890","731,445","655,395","11,285","41,455","9,890","3,280","10,140","562,970","520,255","7,740","20,725","6,920","2,535","4,795"
Kansas' 1st,KS-01,76.5,3.0,16.1,1.8,0.5,2.1,79.8,3.1,13.3,1.9,0.5,1.4,80.2,2.9,13.1,1.1,0.5,2.2,84.5,3.0,9.3,1.1,0.6,1.5,"703,500","538,465","21,065","113,185","12,320","3,520","14,945","534,575","426,615","16,750","70,965","9,975","2,775","7,495","667,740","535,455","19,510","87,200","7,250","3,520","14,805","501,565","423,965","15,295","46,665","5,500","2,775","7,365"
Kansas' 2nd,KS-02,82.3,4.6,6.8,1.8,1.3,3.3,84.3,4.6,5.6,1.9,1.2,2.3,83.6,4.6,6.1,1.0,1.3,3.3,85.9,4.6,4.9,1.0,1.2,2.4,"715,045","588,595","32,835","48,570","12,620","9,000","23,425","552,145","465,410","25,380","31,155","10,505","6,750","12,945","701,490","586,440","32,510","43,140","7,150","8,995","23,255","539,635","463,445","25,060","26,220","5,370","6,745","12,795"
Kansas' 3rd,KS-03,71.8,8.2,12.1,5.0,0.2,2.6,74.8,8.1,10.1,5.0,0.2,1.7,76.2,8.3,9.1,3.4,0.2,2.7,80.4,8.3,6.1,3.2,0.3,1.8,"768,620","552,185","63,195","93,290","38,155","1,800","19,995","573,750","429,365","46,570","57,835","28,760","1,385","9,835","718,985","547,600","59,955","65,325","24,615","1,795","19,695","529,275","425,460","43,965","32,045","16,830","1,385","9,590"
Kansas' 4th,KS-04,73.5,6.6,12.5,3.4,0.7,3.3,77.0,6.3,10.1,3.6,0.7,2.3,76.0,6.7,10.6,2.6,0.7,3.4,80.3,6.4,7.6,2.7,0.8,2.3,"723,475","531,630","47,890","90,630","24,370","4,935","24,020","539,100","414,940","33,880","54,625","19,460","3,935","12,260","696,410","529,250","46,665","73,715","18,065","4,935","23,780","514,270","412,725","33,060","38,855","13,665","3,935","12,030"
Kentucky's 1st,KY-01,87.2,6.8,3.2,0.7,0.2,1.8,88.8,6.8,2.5,0.7,0.2,1.0,87.9,6.8,2.6,0.6,0.2,1.8,89.7,6.8,1.8,0.5,0.2,1.0,"718,565","626,815","49,125","22,945","5,195","1,605","12,880","555,330","493,290","37,525","13,920","3,805","1,175","5,615","711,310","625,460","48,710","18,740","4,085","1,595","12,720","548,485","492,010","37,115","9,950","2,785","1,165","5,460"
Kentucky's 2nd,KY-02,87.0,5.4,3.5,1.6,0.3,2.3,88.7,5.5,2.7,1.5,0.2,1.4,88.4,5.3,2.8,0.9,0.3,2.3,90.3,5.4,1.9,0.8,0.3,1.4,"758,605","659,845","40,880","26,495","12,240","1,945","17,200","582,740","516,725","31,895","15,995","8,560","1,425","8,140","742,825","656,465","39,515","20,985","6,960","1,945","16,955","569,140","513,700","30,860","10,770","4,445","1,425","7,940"
Kentucky's 3rd,KY-03,67.0,22.1,5.6,2.9,0.2,2.3,70.5,20.5,4.6,2.8,0.2,1.4,69.4,22.4,3.8,2.0,0.2,2.3,73.3,20.8,2.6,1.7,0.2,1.4,"744,535","499,110","164,330","41,405","21,510","1,155","17,025","579,375","408,710","118,760","26,880","16,035",975,"8,015","712,100","493,920","159,245","27,145","13,920","1,155","16,715","551,725","404,210","114,980","14,145","9,640",975,"7,775"
Kentucky's 4th,KY-04,89.9,3.4,3.4,1.3,0.1,1.9,91.3,3.5,2.7,1.2,0.1,1.2,91.2,3.3,2.5,0.9,0.1,2.0,93.0,3.3,1.6,0.8,0.1,1.2,"758,440","681,535","25,975","25,615","9,745",800,"14,770","576,770","526,825","19,985","15,420","7,155",735,"6,650","744,330","678,945","24,440","18,740","6,735",800,"14,670","564,095","524,400","18,540","9,125","4,740",735,"6,555"
Kentucky's 5th,KY-05,95.6,1.4,1.4,0.4,0.2,1.0,96.0,1.5,1.0,0.4,0.3,0.8,96.0,1.4,1.1,0.3,0.2,1.0,96.5,1.5,0.7,0.3,0.3,0.8,"697,180","666,390","9,665","9,480","3,090","1,660","6,895","543,990","522,190","8,130","5,675","2,315","1,465","4,215","693,335","665,540","9,555","7,630","2,090","1,660","6,860","540,515","521,405","8,050","3,900","1,515","1,465","4,180"
Kentucky's 6th,KY-06,82.0,8.6,4.8,2.1,0.1,2.3,84.1,8.4,3.7,2.1,0.2,1.5,84.7,8.5,3.2,1.2,0.1,2.4,87.1,8.3,1.8,1.1,0.2,1.5,"771,725","633,165","66,200","37,050","16,240","1,060","18,010","601,555","505,695","50,340","22,515","12,920",920,"9,165","741,750","628,065","62,805","23,490","8,860","1,060","17,470","575,185","501,100","47,930","10,190","6,390",920,"8,655"
Louisiana's 1st,LA-01,72.0,13.8,8.9,2.3,1.0,1.9,74.7,12.7,8.1,2.2,1.0,1.3,74.4,14.3,6.6,1.7,1.1,2.0,77.5,13.2,5.3,1.6,1.0,1.3,"805,525","579,920","111,115","71,900","18,560","8,435","15,595","620,455","463,215","79,025","50,170","13,920","6,060","8,065","773,085","574,840","110,250","50,735","13,440","8,405","15,415","592,210","458,770","78,270","31,635","9,600","6,025","7,910"
Louisiana's 2nd,LA-02,28.0,61.3,6.5,2.6,0.2,1.4,30.6,59.4,6.0,2.7,0.2,1.1,28.6,63.3,4.5,1.9,0.2,1.5,31.3,61.5,3.8,2.0,0.2,1.1,"790,755","221,470","484,985","51,040","20,290","1,640","11,330","610,870","187,015","362,560","36,720","16,740","1,225","6,610","763,570","218,025","483,355","34,665","14,675","1,625","11,225","586,790","183,820","361,120","22,490","11,630","1,210","6,520"
Louisiana's 3rd,LA-03,67.6,24.5,4.0,1.5,0.4,2.0,70.0,23.4,3.6,1.6,0.4,1.1,68.7,24.9,3.0,1.1,0.4,2.0,71.3,23.8,2.3,1.0,0.4,1.1,"784,880","530,420","192,030","31,695","12,095","2,860","15,780","590,395","413,135","137,920","21,095","9,200","2,390","6,655","769,450","528,480","191,415","22,835","8,110","2,860","15,750","576,550","411,285","137,325","13,260","5,660","2,390","6,630"
Louisiana's 4th,LA-04,58.3,34.2,4.0,1.1,0.7,1.7,60.5,33.0,3.5,1.1,0.7,1.2,58.9,34.5,3.4,0.8,0.7,1.7,61.3,33.4,2.7,0.8,0.7,1.2,"748,320","436,175","255,810","30,195","8,050","5,115","12,975","567,805","343,510","187,210","20,110","6,285","4,035","6,655","738,140","434,815","254,800","24,800","5,725","5,115","12,885","558,445","342,215","186,315","15,015","4,295","4,035","6,570"
