District,Biden,Trump,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
KY-02,30.6,67.6,27.6,67.5,35.1,63.3,20.8,380,20.9,415,"$52,188",332,"$53,520",381
KY-03,60.0,38.1,54.9,39.9,55.7,42.8,32.5,170,36.3,191,"$55,382",284,"$62,549",266
KY-04,33.4,64.7,29.3,65.2,34.8,63.4,28.7,240,28.9,294,"$64,263",185,"$66,162",235
KY-05,18.6,80.1,17.5,79.6,23.2,75.0,13.6,430,13.6,435,"$34,351",421,"$34,543",422
KY-06,44.5,53.6,39.4,54.7,42.2,55.8,31.7,189,32.6,241,"$54,128",309,"$57,348",339
LA-01,30.1,68.0,26.7,68.7,26.9,70.9,30.9,202,33.9,224,"$60,410",222,"$67,134",225
LA-02,75.3,23.0,74.6,22.2,75.8,22.8,23.7,325,37.1,184,"$40,988",411,"$63,786",254
LA-03,30.2,68.1,29.2,67.3,32.3,66.1,21.8,358,24.7,367,"$50,445",353,"$58,960",318
LA-04,37.0,61.5,36.6,60.6,39.7,59.0,19.7,397,23.1,393,"$42,127",407,"$52,874",387
LA-05,34.1,64.5,34.1,63.5,37.7,61.0,18.0,407,21.0,413,"$39,825",413,"$50,393",404
LA-06,34.4,63.8,31.0,64.8,32.0,66.1,29.6,225,31.5,257,"$64,663",181,"$73,645",175
MA-01,61.1,36.9,57.2,36.5,64.0,34.3,30.1,218,33.7,226,"$59,137",237,"$67,342",223
MA-02,61.8,36.0,56.2,36.8,58.7,39.2,39.3,99,40.4,150,"$71,636",130,"$76,260",156
MA-03,63.4,34.6,58.2,35.4,56.9,41.4,38.1,110,43.0,118,"$81,055",70,"$89,915",79
MA-04,64.5,33.7,59.2,35.0,57.2,41.3,51.5,25,50.9,65,"$103,255",20,"$104,070",34
MA-05,74.5,23.9,69.3,25.7,65.2,33.1,58.5,10,60.3,29,"$100,962",24,"$105,347",30
MA-06,62.6,35.6,56.1,38.2,54.7,43.9,45.3,51,47.4,88,"$91,488",42,"$96,198",55
MA-07,85.3,13.3,84.1,11.9,82.5,15.6,45.1,53,65.6,15,"$68,203",153,"$94,949",57
MA-08,66.2,32.2,60.4,34.4,57.8,40.8,48.0,36,51.4,62,"$93,015",39,"$99,991",41
MA-09,57.9,40.3,52.5,41.8,55.5,43.1,35.9,132,37.6,178,"$73,163",117,"$77,010",147
MD-01,39.1,58.8,33.4,62.0,37.7,60.4,32.0,184,33.4,231,"$76,887",91,"$82,416",111
MD-02,65.8,32.4,60.1,35.7,63.1,35.0,33.0,164,33.4,230,"$72,385",124,"$75,841",162
MD-03,68.7,29.4,62.8,32.3,60.7,37.1,49.0,32,53.8,50,"$90,871",43,"$99,971",42
MD-04,79.1,19.2,77.2,19.7,78.1,20.8,34.4,150,49.4,73,"$85,580",58,"$111,730",22
MD-05,68.6,29.7,64.1,32.1,66.1,32.4,35.4,139,37.5,180,"$101,221",23,"$105,190",31
MD-06,60.6,37.5,55.3,40.2,55.2,42.8,42.4,69,42.4,127,"$83,126",65,"$82,459",110
MD-07,78.4,20.0,75.8,20.2,76.2,22.3,39.0,102,59.3,30,"$64,039",188,"$104,594",32
MD-08,69.3,28.9,65.0,30.6,62.0,36.0,55.6,15,61.8,24,"$106,958",17,"$121,459",12
ME-01,60.1,37.0,54.1,39.3,59.6,38.2,38.9,104,39.2,162,"$66,524",166,"$67,381",221
ME-02,44.8,52.3,41.1,51.4,53.0,44.4,24.4,316,24.3,375,"$50,076",354,"$50,560",403
MI-01,40.6,57.9,36.6,57.9,45.3,53.6,25.8,290,26.6,336,"$50,891",348,"$51,500",400
MI-02,43.2,55.0,38.2,55.8,43.1,56.0,26.4,281,28.5,303,"$58,031",246,"$60,845",295
MI-03,47.4,50.6,42.2,51.6,45.8,53.1,32.0,181,34.2,219,"$61,466",208,"$65,723",239
MI-04,37.2,61.1,34.7,59.5,45.5,53.5,22.1,353,21.9,401,"$52,271",331,"$52,574",390
MI-05,51.4,47.1,49.7,45.5,60.7,38.3,19.7,398,21.2,409,"$46,647",382,"$51,205",401
MI-06,46.8,51.3,42.9,51.3,48.8,50.2,28.5,246,29.4,288,"$55,409",283,"$59,302",309
MI-07,41.6,56.7,38.7,55.7,47.9,51.0,25.1,299,25.3,354,"$60,929",215,"$61,889",281
MI-08,48.8,49.6,43.9,50.6,48.0,51.1,41.2,83,40.8,144,"$72,934",119,"$76,501",153
MI-09,55.9,42.7,51.5,43.7,57.2,41.9,30.6,209,31.4,261,"$60,817",217,"$63,470",256
MI-10,34.4,64.2,31.6,63.8,43.7,55.3,23.8,323,23.6,387,"$65,543",175,"$66,004",237
MI-11,51.6,47.1,45.3,49.7,46.9,52.3,48.0,35,45.4,99,"$86,254",54,"$85,581",95
MI-12,64.2,34.4,60.8,34.5,66.2,32.8,35.0,142,34.3,216,"$60,589",218,"$63,080",261
MI-13,78.8,20.0,78.8,18.1,85.2,14.3,15.9,424,19.7,423,"$36,195",420,"$48,474",410
MI-14,79.5,19.5,79.2,18.3,81.0,18.6,31.7,188,48.6,79,"$47,854",374,"$69,715",203
MN-01,43.9,54.0,38.4,53.3,49.6,48.2,29.3,232,30.3,280,"$63,683",190,"$66,124",236
MN-02,52.4,45.5,45.3,46.5,49.1,49.0,39.6,97,41.1,142,"$86,836",52,"$89,862",82
MN-03,58.7,39.4,50.8,41.4,49.6,48.8,49.8,27,52.0,56,"$93,045",38,"$97,776",51
MN-04,67.5,30.5,61.5,30.6,62.5,35.5,43.8,61,49.6,71,"$71,851",128,"$80,184",125
MN-05,80.3,17.7,73.7,18.5,73.5,24.0,46.9,39,55.8,39,"$65,262",176,"$76,184",158
MN-06,38.8,59.0,33.2,58.9,41.5,56.5,30.7,205,31.1,266,"$82,616",67,"$84,292",104
MN-07,34.4,63.8,31.0,61.8,44.1,53.9,22.5,349,23.3,390,"$58,899",240,"$60,852",294
MN-08,41.7,56.3,38.6,54.2,51.7,46.2,23.6,327,24.1,381,"$58,525",242,"$59,578",305
MO-01,80.3,18.1,77.0,18.8,79.9,18.9,32.3,174,44.9,105,"$47,666",376,"$61,278",289
MO-02,49.2,49.2,42.3,52.6,41.4,57.1,49.7,28,49.2,75,"$85,638",57,"$86,096",91
MO-03,31.3,66.8,28.1,67.1,36.1,62.0,26.8,274,26.7,332,"$65,707",172,"$66,900",227
MO-04,31.9,66.0,29.3,65.3,36.4,61.2,25.5,294,25.2,359,"$51,575",339,"$52,741",389
MO-05,58.4,39.6,54.1,40.6,58.9,39.4,28.6,242,33.0,237,"$52,554",325,"$60,359",301
MO-06,35.0,63.3,31.7,63.1,37.9,60.0,28.6,241,28.9,296,"$61,876",202,"$62,512",268
MO-07,28.1,70.0,24.7,70.4,30.3,67.6,24.6,313,24.9,365,"$48,067",373,"$49,068",409
MO-08,21.3,77.3,21.0,75.4,32.0,65.9,16.5,419,16.7,432,"$43,356",403,"$44,597",419
MS-01,33.8,64.8,32.4,65.4,37.0,61.9,21.0,375,23.3,391,"$48,450",370,"$54,782",368
MS-02,63.7,35.2,63.6,35.1,66.4,33.0,19.0,403,25.4,352,"$36,759",419,"$55,494",359
MS-03,38.6,60.1,36.8,61.3,39.1,60.0,26.1,284,31.1,265,"$48,133",372,"$61,383",287
MS-04,30.3,68.3,28.2,69.4,31.2,67.6,21.8,359,24.0,382,"$47,213",380,"$54,244",374
