District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Kentucky's 5th,KY-05,95.1,2.0,1.4,0.5,0.8,0.0,95.6,1.8,1.1,0.5,0.8,0.0,95.4,2.0,1.2,0.4,0.8,0.0,96.0,1.8,0.9,0.4,0.8,0.0,"750,025","713,065","15,095","10,875","4,125","5,870",250,"585,440","559,710","10,750","6,560","2,970","4,755",215,"746,380","712,355","14,800","9,215","3,150","5,870",250,"582,120","559,035","10,485","5,005","2,140","4,755",215
Kentucky's 6th,KY-06,81.4,9.9,5.1,2.6,0.6,0.0,83.5,9.1,4.0,2.5,0.7,0.0,83.8,9.7,3.7,1.9,0.7,0.0,86.3,8.9,2.3,1.7,0.7,0.0,"750,405","610,765","74,620","38,635","19,840","4,840",265,"586,495","489,700","53,260","23,715","14,875","3,995",195,"723,250","606,030","70,390","26,890","13,655","4,835",260,"562,605","485,520","50,170","12,760","9,365","3,990",190
Louisiana's 1st,LA-01,72.1,13.8,9.2,2.9,1.9,0.1,74.4,12.6,8.2,2.8,1.8,0.1,74.1,14.1,7.2,2.4,2.0,0.1,76.8,12.9,6.0,2.2,1.8,0.1,"768,260","553,765","105,715","70,310","21,915","14,600",785,"596,630","444,050","74,890","49,220","16,515","10,475",660,"740,090","548,710","104,470","52,970","17,430","14,560",785,"571,925","439,315","73,795","34,330","12,570","10,435",660
Louisiana's 2nd,LA-02,27.4,61.4,7.4,2.9,0.8,0.0,30.0,59.6,6.7,2.9,0.8,0.0,28.1,63.5,5.1,2.5,0.8,0.0,30.8,61.7,4.2,2.4,0.9,0.0,"769,245","210,690","472,610","57,280","22,115","6,195",140,"596,205","178,850","355,115","39,680","17,360","4,905",90,"740,280","208,205","469,805","37,640","18,155","6,180",140,"571,835","176,405","352,820","23,805","13,675","4,890",90
Louisiana's 3rd,LA-03,66.9,26.0,4.2,1.7,0.9,0.1,69.4,24.1,3.7,1.7,1.0,0.0,68.0,26.4,3.2,1.3,0.9,0.0,70.7,24.5,2.5,1.1,1.0,0.0,"771,695","516,630","200,495","32,130","13,470","7,135",390,"582,410","404,395","140,455","21,320","9,610","5,760",285,"757,495","515,025","199,730","24,050","9,835","7,135",295,"570,245","402,900","139,875","14,520","6,445","5,760",190
Louisiana's 4th,LA-04,57.4,35.5,4.2,1.3,1.4,0.1,59.7,33.8,3.7,1.3,1.4,0.1,58.1,35.9,3.5,1.0,1.4,0.1,60.5,34.2,2.7,0.9,1.4,0.1,"774,855","445,045","275,050","32,660","10,140","10,735",540,"588,685","351,530","198,850","21,690","7,565","8,285",400,"764,040","443,760","274,260","26,385","7,685","10,720",540,"578,825","350,265","198,190","15,880","5,455","8,275",400
Louisiana's 5th,LA-05,59.6,35.5,2.8,1.0,1.3,0.0,61.7,33.6,2.6,0.9,1.3,0.0,60.0,35.8,2.3,0.8,1.3,0.0,62.2,33.9,2.0,0.7,1.3,0.0,"775,395","461,905","275,240","21,860","7,410","9,895",260,"595,315","367,185","199,980","15,545","5,475","7,585",250,"767,670","460,625","274,565","17,710","5,805","9,890",260,"588,125","365,970","199,315","11,710","4,010","7,575",250
Louisiana's 6th,LA-06,65.5,25.2,5.3,2.8,1.1,0.0,67.9,23.7,4.5,2.7,1.1,0.0,66.9,25.9,3.8,2.1,1.1,0.0,69.7,24.4,2.8,1.9,1.1,0.0,"781,100","511,390","196,995","41,350","21,600","8,435",90,"598,715","406,790","141,810","26,660","16,265","6,430",90,"757,800","507,205","195,950","29,085","15,830","8,435",90,"577,850","403,040","140,770","16,115","10,765","6,430",90
Maine's 1st,ME-01,92.1,2.4,2.1,2.3,0.9,0.0,93.3,1.9,1.8,2.1,0.9,0.0,93.2,1.8,1.9,1.9,0.9,0.0,94.4,1.3,1.7,1.7,0.9,0.0,"683,145","629,225","16,565","14,225","15,395","6,380",125,"559,450","521,800","10,390","10,065","11,505","5,020",110,"669,055","623,780","11,830","13,035","12,775","6,295",125,"547,560","516,765","7,080","9,085","9,035","4,935",110
Maine's 2nd,ME-02,93.3,1.9,1.7,1.1,1.7,0.0,94.4,1.4,1.4,1.0,1.6,0.0,93.9,1.6,1.6,0.9,1.8,0.0,95.1,1.1,1.3,0.8,1.6,0.0,"683,805","638,025","13,060","11,670","7,830","11,960",115,"556,685","525,745","7,635","7,970","5,670","8,995",95,"674,575","633,350","10,820","10,930","6,345","11,905",100,"548,305","521,210","5,975","7,310","4,220","8,935",80
Maryland's 1st,MD-01,74.6,16.3,5.1,2.9,0.6,0.0,77.2,15.1,4.1,2.7,0.6,0.0,75.9,16.3,4.2,2.4,0.6,0.0,78.8,15.0,3.1,2.2,0.6,0.0,"773,965","576,995","126,490","39,425","22,530","4,795",190,"609,555","470,395","92,160","24,980","16,390","3,840",180,"754,635","572,950","123,075","31,630","18,465","4,785",190,"592,320","466,570","89,085","18,155","12,895","3,830",180
Maryland's 2nd,MD-02,62.1,24.8,5.3,6.9,0.6,0.0,64.9,23.4,4.3,6.5,0.5,0.0,64.4,24.8,4.5,5.3,0.6,0.0,67.7,23.4,3.4,4.6,0.6,0.0,"769,430","477,825","190,885","40,530","52,785","4,305",360,"606,645","393,995","142,230","26,220","39,140","3,335",255,"735,570","473,430","182,520","33,310","39,190","4,300",345,"575,915","389,875","134,750","19,820","26,695","3,330",240
Maryland's 3rd,MD-03,59.9,19.2,8.0,11.8,0.7,0.0,63.1,18.0,6.8,11.2,0.7,0.1,62.5,19.5,6.7,10.1,0.7,0.0,66.5,18.3,5.2,9.0,0.7,0.1,"770,625","461,550","148,205","61,380","91,180","5,060",365,"595,020","375,640","107,035","40,450","66,410","3,870",335,"728,515","455,680","142,370","48,610","73,760","5,060",360,"557,135","370,615","101,945","29,025","50,270","3,870",330
Maryland's 4th,MD-04,10.9,58.5,24.0,5.5,0.7,0.0,12.3,60.3,20.4,5.9,0.8,0.0,12.4,65.1,16.3,4.9,0.9,0.0,14.5,68.6,10.5,5.2,0.9,0.0,"764,380","83,405","447,175","183,150","42,285","5,540",220,"590,245","72,755","355,905","120,465","34,980","4,535",210,"641,255","79,800","417,665","104,475","31,180","5,490",215,"481,245","69,720","330,005","50,510","25,070","4,485",205
Maryland's 5th,MD-05,46.0,42.0,6.7,3.8,0.9,0.0,47.3,42.2,5.5,3.7,1.0,0.0,47.1,42.3,5.9,3.2,1.0,0.0,48.5,42.6,4.5,3.0,1.0,0.0,"774,010","355,965","325,170","51,840","29,445","7,240",240,"598,690","282,950","252,830","33,020","22,210","5,875",210,"750,230","352,985","317,605","44,210","24,080","7,215",240,"577,445","280,310","245,965","26,170","17,495","5,850",210
Maryland's 6th,MD-06,62.6,14.2,12.6,9.7,0.5,0.0,65.5,13.2,10.9,9.4,0.5,0.1,66.8,14.3,9.9,8.0,0.6,0.0,70.7,13.3,7.7,7.4,0.6,0.1,"777,190","486,315","110,745","97,940","75,150","4,130",380,"603,585","395,525","79,970","66,035","57,010","3,155",335,"718,335","480,115","102,830","71,185","57,370","4,040",355,"551,105","389,875","73,110","42,425","40,855","3,060",310
Maryland's 7th,MD-07,31.2,57.9,6.5,3.4,0.7,0.0,34.0,56.5,5.1,3.5,0.8,0.0,32.1,59.2,5.1,2.6,0.8,0.0,35.1,57.9,3.5,2.5,0.8,0.0,"764,705","238,725","442,615","49,710","26,105","5,595",210,"603,015","205,090","340,695","30,600","21,060","4,680",120,"728,715","233,820","431,095","37,285","19,020","5,595",210,"571,305","200,580","330,615","20,150","14,435","4,680",120
Maryland's 8th,MD-08,46.1,18.0,19.4,15.5,0.4,0.0,48.5,17.5,17.6,15.6,0.4,0.0,50.9,17.9,15.8,14.3,0.5,0.0,54.6,17.3,12.9,14.2,0.5,0.1,"767,400","353,935","138,020","148,930","118,870","3,250",265,"594,665","288,550","104,120","104,420","92,485","2,600",265,"664,385","338,075","118,760","105,005","95,110","3,250",265,"504,765","275,595","87,370","65,100","71,780","2,600",265
Massachusetts' 1st,MA-01,71.2,6.7,18.9,2.6,0.5,0.0,75.0,5.9,16.0,2.5,0.5,0.0,72.2,6.4,18.7,2.0,0.5,0.0,76.3,5.7,15.7,1.8,0.5,0.0,"778,095","554,225","51,835","146,730","20,430","3,805",40,"623,060","467,575","37,060","99,450","15,265","3,000",40,"755,725","545,800","48,445","141,480","15,135","3,775",40,"602,685","459,720","34,220","94,490","10,555","2,970",40
Massachusetts' 2nd,MA-02,74.7,5.9,10.9,7.8,0.5,0.0,77.7,5.2,9.3,7.1,0.5,0.0,77.9,5.3,10.3,5.8,0.5,0.0,81.5,4.5,8.5,4.8,0.5,0.0,"771,070","575,790","45,840","83,720","60,250","3,900",365,"617,590","479,730","32,085","57,430","44,115","3,155",250,"720,250","560,805","38,450","74,020","41,670","3,870",340,"571,915","466,165","25,490","48,705","27,495","3,125",225
Massachusetts' 3rd,MA-03,64.4,4.7,21.3,8.9,0.5,0.0,68.0,4.3,18.8,8.5,0.4,0.0,68.7,4.3,18.9,7.5,0.5,0.0,73.0,3.8,15.9,6.7,0.4,0.0,"776,405","499,960","36,465","165,735","69,455","3,555",195,"607,350","412,815","25,845","113,955","51,490","2,345",140,"705,010","484,050","30,535","133,175","52,615","3,545",120,"545,675","398,575","20,950","86,640","36,370","2,340",110
Massachusetts' 4th,MA-04,81.3,4.8,5.8,7.5,0.5,0.0,83.6,4.1,4.9,6.8,0.5,0.0,83.6,4.5,5.2,6.1,0.5,0.0,86.3,3.7,4.2,5.2,0.5,0.0,"778,730","633,305","37,240","44,950","58,285","3,605",150,"612,795","512,275","24,960","30,135","41,775","2,775",125,"732,215","611,810","32,950","38,080","44,610","3,555",150,"572,705","494,380","21,350","23,860","29,645","2,720",125
Massachusetts' 5th,MA-05,67.6,6.0,10.8,15.1,0.3,0.0,69.8,5.5,9.7,14.5,0.3,0.0,73.4,5.8,8.8,11.5,0.3,0.0,76.8,5.2,7.5,10.1,0.4,0.0,"776,870","525,505","46,920","83,560","117,040","2,560",190,"626,900","437,415","34,745","61,030","90,850","2,090",190,"675,390","495,410","39,060","59,720","77,710","2,350",165,"535,460","411,115","27,795","39,940","54,035","1,950",165
Massachusetts' 6th,MA-06,79.1,4.1,10.8,5.5,0.3,0.0,81.6,3.4,9.3,5.1,0.3,0.0,82.1,3.8,9.0,4.6,0.3,0.0,85.2,3.1,7.2,4.0,0.3,0.0,"777,375","614,800","31,505","83,995","42,775","2,400",295,"620,315","506,465","21,365","57,825","31,635","1,955",265,"731,460","600,465","27,630","65,540","33,645","2,385",210,"579,305","493,435","17,820","41,780","23,360","1,940",180
Massachusetts' 7th,MA-07,40.4,24.4,22.5,11.8,0.6,0.1,43.9,23.1,19.8,12.3,0.6,0.1,44.7,25.9,19.3,9.2,0.6,0.1,49.5,24.6,15.8,9.3,0.6,0.1,"773,830","312,810","189,045","174,055","91,015","4,420",675,"645,750","283,720","149,375","127,735","79,740","3,750",600,"644,670","288,230","166,830","124,215","59,015","4,075",625,"527,165","260,840","129,575","83,310","48,775","3,405",550
Massachusetts' 8th,MA-08,69.5,13.0,6.7,10.1,0.4,0.0,71.9,11.5,6.1,9.8,0.5,0.0,73.0,12.2,6.2,7.9,0.5,0.0,76.0,10.5,5.4,7.3,0.5,0.0,"772,080","536,750","100,185","51,865","77,885","3,430",225,"627,255","450,890","72,270","38,255","61,765","2,835",140,"711,605","519,295","86,465","44,070","56,570","3,375",165,"571,795","434,820","60,070","31,025","42,000","2,785",80
Massachusetts' 9th,MA-09,87.0,4.1,5.7,2.2,0.8,0.1,89.1,3.7,4.5,1.8,0.7,0.1,88.4,3.6,5.0,1.9,0.8,0.1,90.8,3.1,3.7,1.4,0.7,0.1,"779,745","678,370","31,650","44,690","16,960","5,885",545,"636,170","567,130","23,225","28,560","11,280","4,515",420,"751,560","664,640","27,135","37,635","14,130","5,750",545,"610,455","554,145","19,180","22,420","8,810","4,415",420
Michigan's 1st,MI-01,91.2,1.8,2.2,1.0,3.7,0.0,92.1,1.7,1.8,0.9,3.3,0.0,91.6,1.7,2.0,0.8,3.7,0.0,92.7,1.6,1.6,0.7,3.4,0.0,"777,560","708,810","13,935","17,165","7,465","28,820",315,"636,945","586,875","10,570","11,570","5,680","21,215",265,"770,695","706,015","13,100","15,755","5,785","28,760",305,"630,610","584,355","9,805","10,215","4,130","21,155",255
Michigan's 2nd,MI-02,89.7,3.0,4.5,0.9,1.7,0.0,90.8,2.9,3.7,0.8,1.6,0.0,90.3,3.0,4.1,0.7,1.7,0.0,91.5,2.9,3.2,0.6,1.7,0.0,"777,945","697,735","23,370","35,180","6,800","13,210",145,"614,610","557,830","17,760","22,880","4,965","10,050",140,"770,210","695,350","22,940","31,575","5,575","13,200",140,"607,425","555,690","17,335","19,450","3,860","10,040",135
Michigan's 3rd,MI-03,72.3,12.7,10.4,3.5,0.9,0.0,75.8,11.3,8.6,3.3,0.9,0.0,74.8,12.5,8.9,2.6,0.9,0.0,78.9,11.1,6.6,2.4,0.9,0.0,"773,965","559,445","98,395","80,425","26,815","6,680",190,"594,990","451,270","67,220","51,020","19,520","5,090",190,"742,310","555,310","92,610","65,975","19,535","6,680",190,"567,100","447,525","62,715","37,400","13,500","5,090",190
Michigan's 4th,MI-04,77.0,10.1,8.6,3.1,1.1,0.0,80.1,8.8,7.1,3.0,1.0,0.0,78.7,10.2,7.6,2.4,1.1,0.0,82.2,8.8,5.8,2.1,1.0,0.0,"774,290","596,345","78,140","66,790","24,120","8,160",275,"595,890","477,395","52,210","42,040","17,840","5,845",265,"751,740","591,500","76,480","57,270","17,700","8,105",245,"575,650","473,100","50,695","33,465","12,085","5,785",235
Michigan's 5th,MI-05,87.2,5.3,5.1,1.2,1.1,0.0,88.9,4.6,4.3,1.1,1.0,0.0,88.0,5.2,4.6,0.9,1.1,0.0,89.9,4.5,3.6,0.8,1.0,0.0,"773,810","674,590","40,815","39,835","8,955","8,205",90,"608,675","541,015","27,960","25,935","6,600","6,180",90,"763,190","671,530","39,955","35,040","7,135","8,180",75,"598,865","538,135","27,230","21,375","5,045","6,155",75
Michigan's 6th,MI-06,71.2,11.6,4.6,11.4,0.8,0.0,73.3,10.7,4.1,10.8,0.8,0.0,74.2,12.1,4.2,8.3,0.9,0.0,76.8,11.2,3.6,7.3,0.9,0.0,"770,955","549,000","89,545","35,700","87,900","6,360",150,"615,250","451,245","65,965","25,195","66,160","5,040",115,"725,785","538,460","87,950","30,490","60,505","6,345",150,"574,945","441,695","64,505","20,545","41,780","5,020",115
Michigan's 7th,MI-07,82.4,7.0,5.5,4.1,0.9,0.0,84.1,6.1,4.9,3.9,0.9,0.0,84.1,6.9,5.2,2.7,0.9,0.0,86.1,6.0,4.5,2.2,0.9,0.0,"773,040","636,745","53,995","42,365","31,360","7,125",75,"613,660","515,845","37,455","30,055","23,765","5,555",75,"751,295","631,805","51,560","39,250","20,115","7,125",75,"593,880","511,245","35,825","27,005","13,275","5,555",75
Michigan's 8th,MI-08,75.4,16.6,5.3,1.5,1.0,0.0,78.0,15.0,4.5,1.5,1.0,0.0,75.8,16.7,5.1,1.2,1.0,0.0,78.5,15.0,4.2,1.1,1.0,0.0,"773,930","583,270","128,590","40,910","11,815","7,705",155,"606,580","472,945","90,740","27,065","8,850","5,960",90,"766,640","580,870","127,835","39,305","9,360","7,705",150,"599,800","470,675","90,100","25,490","6,635","5,960",85
Michigan's 9th,MI-09,90.0,3.4,3.9,1.8,0.9,0.0,91.1,3.0,3.3,1.5,0.9,0.0,90.7,3.4,3.4,1.4,0.9,0.0,92.0,3.1,2.8,1.2,0.9,0.0,"774,580","696,855","25,990","30,085","13,595","6,855",290,"606,390","552,590","18,390","20,175","9,345","5,205",185,"761,630","690,895","25,740","26,250","10,945","6,855",80,"594,275","546,910","18,145","16,570","6,970","5,200",15
Michigan's 10th,MI-10,74.6,14.6,2.8,7.0,0.8,0.0,77.2,12.9,2.5,6.6,0.8,0.0,75.6,15.2,2.5,5.7,0.8,0.0,78.5,13.4,2.1,5.1,0.8,0.0,"772,610","576,275","113,040","21,965","54,265","6,090",190,"616,430","475,845","79,570","15,175","40,505","4,730",170,"738,630","558,390","112,260","18,815","42,225","5,965",180,"586,400","460,285","78,805","12,435","29,670","4,605",165
Michigan's 11th,MI-11,69.8,14.4,5.1,9.7,0.7,0.0,72.0,13.7,4.2,9.2,0.7,0.0,72.6,15.1,4.4,6.7,0.7,0.0,75.3,14.4,3.4,5.9,0.7,0.0,"774,825","540,995","111,415","39,335","75,005","5,320",355,"624,330","449,465","85,300","26,250","57,430","4,270",260,"726,905","528,030","109,940","32,120","48,995","5,310",355,"581,765","438,095","83,855","19,675","34,420","4,260",260
Michigan's 12th,MI-12,47.0,46.4,3.1,2.5,0.8,0.0,48.6,45.2,2.7,2.5,0.9,0.0,46.6,47.6,2.9,1.8,0.9,0.0,48.3,46.5,2.4,1.7,0.9,0.0,"770,450","361,770","357,325","24,115","19,310","6,370",80,"586,410","285,240","264,805","15,810","14,580","5,225",70,"745,765","347,205","355,220","21,745","13,735","6,345",75,"564,815","272,930","262,890","13,560","9,550","5,200",70
Michigan's 13th,MI-13,38.6,47.2,9.9,3.3,0.9,0.0,41.2,46.3,8.4,3.2,0.9,0.0,39.1,49.1,8.4,2.4,0.9,0.0,41.9,48.6,6.3,2.2,0.9,0.0,"769,960","297,010","363,145","76,565","25,210","6,575",295,"588,305","242,095","272,205","49,370","18,875","5,380",210,"736,250","287,695","361,745","61,565","17,480","6,465",270,"557,755","233,950","270,915","35,255","12,140","5,270",185
Minnesota's 1st,MN-01,84.3,4.4,6.9,3.5,0.7,0.1,87.0,3.4,5.5,3.1,0.7,0.1,87.0,3.6,5.6,2.8,0.7,0.1,90.2,2.7,3.9,2.4,0.7,0.0,"712,865","600,600","31,230","49,115","24,730","5,065",520,"551,145","479,750","18,800","30,330","17,185","3,785",320,"686,710","597,565","24,440","38,490","19,365","5,060",350,"529,080","477,000","14,120","20,680","12,500","3,775",185
Minnesota's 2nd,MN-02,78.0,7.5,7.0,6.2,0.8,0.0,81.2,6.0,5.9,5.8,0.8,0.0,80.5,7.1,5.8,5.4,0.9,0.0,84.3,5.4,4.3,4.8,0.9,0.0,"713,720","556,735","53,860","49,790","44,395","6,050",125,"538,510","437,045","32,330","31,725","31,235","4,400",125,"687,570","553,315","48,625","39,850","36,895","6,040",125,"514,720","433,990","27,560","22,385","24,665","4,390",125
Minnesota's 3rd,MN-03,73.2,11.2,4.6,9.6,0.9,0.0,77.5,8.9,3.7,8.7,0.8,0.0,76.6,10.1,3.9,8.0,0.9,0.0,81.5,7.7,2.7,6.9,0.9,0.0,"707,705","518,250","79,445","32,715","67,885","6,290",90,"543,450","421,250","48,545","20,060","47,530","4,570",85,"670,065","513,200","67,920","25,860","53,820","6,260",80,"511,180","416,695","39,185","13,985","35,410","4,540",70
Minnesota's 4th,MN-04,64.8,12.4,6.9,14.4,1.1,0.0,70.1,10.3,5.9,12.4,1.0,0.0,68.0,11.6,5.8,13.0,1.2,0.0,74.0,9.5,4.5,10.6,1.1,0.0,"708,545","458,800","87,515","49,190","102,310","8,060",105,"543,865","381,405","56,015","32,060","67,250","5,695",105,"670,350","455,795","78,060","38,755","87,240","7,825",90,"511,250","378,550","48,580","22,775","54,445","5,455",90
Minnesota's 5th,MN-05,62.5,19.2,9.8,6.6,1.6,0.0,68.0,16.0,8.0,6.3,1.5,0.0,66.2,18.5,7.9,5.5,1.7,0.0,72.5,15.2,5.5,5.0,1.6,0.0,"707,625","442,400","135,900","69,415","46,750","11,495",215,"565,115","384,530","90,305","45,325","35,565","8,500",180,"661,235","437,420","122,335","51,925","36,575","11,450",155,"523,375","379,635","79,585","28,855","26,060","8,475",120
Minnesota's 6th,MN-06,86.3,5.5,3.3,3.8,0.8,0.0,88.6,4.2,2.8,3.4,0.8,0.0,87.8,4.9,2.9,3.4,0.9,0.0,90.4,3.6,2.2,2.8,0.8,0.0,"715,965","617,945","39,145","23,970","27,315","6,035",185,"534,375","473,470","22,645","15,165","18,095","4,140",150,"700,505","615,090","33,985","20,135","23,720","6,030",185,"521,140","471,010","18,765","11,650","14,735","4,130",150
Minnesota's 7th,MN-07,89.6,2.1,5.2,1.3,1.5,0.1,91.8,1.5,3.9,1.1,1.4,0.1,90.9,1.9,4.3,1.1,1.6,0.1,93.3,1.3,2.9,0.9,1.4,0.1,"713,350","639,510","15,005","36,790","9,120","10,990",715,"546,065","501,485","8,130","21,550","5,950","7,705",575,"701,005","637,380","13,220","30,075","7,690","10,965",490,"535,585","499,855","6,710","15,515","4,820","7,690",350
Minnesota's 8th,MN-08,88.9,1.8,2.2,1.4,5.4,0.0,91.0,1.4,1.8,1.2,4.5,0.0,89.4,1.7,2.0,1.2,5.4,0.0,91.6,1.3,1.5,1.0,4.5,0.0,"715,515","636,450","13,185","16,070","10,015","38,520",175,"565,685","514,855","8,030","10,020","6,570","25,400",160,"710,015","634,780","12,340","14,535","8,670","38,425",165,"560,560","513,200","7,310","8,575","5,330","25,345",145
Mississippi's 1st,MS-01,65.4,28.9,3.7,1.1,0.7,0.0,67.4,27.6,3.1,1.1,0.7,0.0,66.3,29.1,2.8,0.9,0.7,0.0,68.6,27.9,1.9,0.8,0.7,0.0,"741,110","484,890","214,060","27,575","8,445","5,320",260,"567,470","382,655","156,665","17,475","6,035","4,020",215,"729,560","483,915","212,655","20,315","6,580","5,320",255,"556,810","381,715","155,440","10,665","4,390","4,020",210
Mississippi's 2nd,MS-02,31.5,65.2,2.2,0.5,0.7,0.0,33.9,63.1,1.9,0.5,0.7,0.0,31.6,65.7,1.7,0.4,0.6,0.0,34.0,63.7,1.3,0.4,0.7,0.0,"738,520","232,680","481,370","15,940","3,775","4,805",185,"564,260","191,035","356,190","10,740","2,910","3,735",170,"731,515","231,435","480,465","12,080","2,835","4,750",180,"557,770","189,915","355,335","7,195","2,005","3,685",160
Mississippi's 3rd,MS-03,59.7,35.1,2.4,1.4,1.3,0.0,61.7,33.6,2.0,1.3,1.2,0.0,60.4,35.4,1.8,0.9,1.3,0.0,62.5,34.1,1.3,0.8,1.2,0.0,"738,575","441,125","258,980","17,900","10,020","9,480",185,"566,645","349,790","190,600","11,445","7,535","6,585",150,"729,080","440,035","258,400","13,410","6,760","9,465",185,"558,055","348,810","190,055","7,495","4,485","6,585",150
Mississippi's 4th,MS-04,68.2,23.8,4.8,2.0,0.9,0.0,70.5,22.3,4.0,1.9,1.0,0.0,69.0,24.0,4.1,1.7,0.9,0.0,71.4,22.6,3.2,1.6,1.0,0.0,"740,640","505,300","175,990","35,710","14,490","6,450",275,"569,395","401,435","127,165","22,910","11,010","5,450",275,"730,145","503,525","175,330","29,725","12,505","6,450",235,"560,255","399,805","126,620","17,905","9,130","5,450",235
Missouri's 1st,MO-01,42.9,48.3,3.8,4.1,0.7,0.0,46.8,44.9,3.3,4.2,0.8,0.0,43.7,49.5,3.1,2.7,0.8,0.0,47.9,46.1,2.5,2.5,0.8,0.0,"766,455","328,575","370,410","28,830","31,585","5,595",275,"604,250","282,735","271,450","19,730","25,260","4,770",215,"739,680","323,320","365,800","23,285","20,295","5,590",230,"580,235","278,210","267,685","14,530","14,790","4,770",175
Missouri's 2nd,MO-02,87.3,3.9,2.8,5.3,0.5,0.0,88.8,3.3,2.3,4.9,0.5,0.0,88.8,3.9,2.5,3.9,0.6,0.0,90.6,3.3,2.0,3.4,0.5,0.0,"764,420","667,220","29,885","21,315","40,245","4,190",145,"595,600","529,040","19,810","13,495","29,155","3,155",130,"744,855","661,550","29,340","18,990","29,290","4,155",140,"578,595","524,075","19,355","11,490","19,640","3,120",130
Missouri's 3rd,MO-03,87.3,5.9,3.0,2.7,0.9,0.1,88.5,5.4,2.5,2.6,0.9,0.1,88.5,5.9,2.7,1.9,0.9,0.1,89.8,5.4,2.1,1.7,0.9,0.1,"770,040","672,295","45,525","23,385","20,690","6,910",505,"605,305","535,520","32,720","15,390","15,580","5,310",330,"756,845","669,535","44,360","20,190","14,660","6,905",465,"593,130","532,900","31,795","12,375","9,995","5,310",305
Missouri's 4th,MO-04,86.4,5.3,4.8,1.5,1.5,0.1,88.2,4.6,4.0,1.4,1.5,0.1,87.3,5.1,4.4,1.2,1.5,0.1,89.2,4.4,3.5,1.0,1.5,0.1,"771,880","667,225","40,635","36,865","11,745","11,670",950,"594,450","524,180","27,100","24,000","8,150","8,985",715,"762,080","665,290","39,225","33,225","9,315","11,660",620,"585,605","522,395","25,935","20,625","6,000","8,975",405
Missouri's 5th,MO-05,61.1,24.5,10.0,2.6,1.2,0.4,65.2,22.4,8.2,2.5,1.2,0.3,63.0,24.8,8.3,2.2,1.2,0.3,67.5,22.8,6.1,2.0,1.2,0.3,"768,400","469,765","188,230","77,090","20,065","8,950","2,800","594,060","387,305","133,060","48,925","15,035","7,025","1,905","741,175","466,720","183,805","61,515","16,435","8,945","2,315","570,355","384,725","129,790","34,925","11,625","7,020","1,505"
Missouri's 6th,MO-06,88.4,4.7,3.9,1.7,1.0,0.1,89.6,4.2,3.4,1.5,1.0,0.1,89.3,4.6,3.5,1.4,1.0,0.1,90.6,4.0,2.9,1.2,1.1,0.1,"769,065","680,235","36,225","30,045","12,835","7,660",940,"590,715","529,475","24,790","20,125","8,980","6,185",665,"760,675","679,000","34,755","26,740","10,665","7,635",785,"583,110","528,330","23,485","17,125","7,030","6,160",505
Missouri's 7th,MO-07,86.9,3.0,5.7,1.9,2.0,0.3,88.9,2.4,4.5,1.8,2.0,0.2,88.4,2.9,4.8,1.6,2.0,0.2,90.7,2.3,3.4,1.4,2.0,0.1,"771,970","671,035","23,060","43,630","14,740","15,505","2,360","597,620","531,330","14,370","26,950","10,615","11,935","1,360","756,530","668,610","21,840","35,990","11,980","15,445","1,140","583,460","529,030","13,190","19,915","7,980","11,890",505
Missouri's 8th,MO-08,89.8,5.0,2.5,1.1,1.5,0.0,91.0,4.3,2.0,1.0,1.5,0.0,90.2,5.0,2.2,0.9,1.5,0.0,91.6,4.3,1.7,0.8,1.5,0.0,"772,195","693,120","38,945","18,920","8,525","11,600",220,"597,950","544,295","25,730","11,875","6,200","9,170",160,"766,175","691,345","38,460","17,000","6,730","11,600",190,"592,200","542,525","25,295","10,070","4,500","9,170",130
Montana's 1st,MT-01,87.6,0.6,3.8,1.7,6.0,0.0,89.1,0.5,3.4,1.5,5.2,0.0,88.2,0.6,3.6,1.3,6.0,0.0,89.8,0.5,3.1,1.1,5.3,0.0,"547,235","479,305","3,510","20,955","9,145","32,795",265,"439,745","391,905","2,205","14,820","6,805","22,985",210,"540,090","476,150","3,325","19,425","7,105","32,675",240,"432,935","388,885","2,040","13,375","4,855","22,870",185
