District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
California's 19th,CA-19,50.8,2.9,23.7,20.4,1.0,0.4,54.3,2.8,21.0,19.9,1.0,0.4,54.3,3.1,21.6,18.7,1.0,0.4,58.8,3.0,18.2,17.9,1.1,0.4,"753,930","383,260","22,140","178,895","153,760","7,170","2,910","605,975","329,200","16,775","127,420","120,440","6,095","2,465","687,815","373,425","21,635","148,835","128,680","7,150","2,500","544,295","320,085","16,275","99,035","97,325","6,075","2,055"
California's 20th,CA-20,50.8,4.3,34.6,8.3,1.5,0.2,55.2,4.1,30.6,8.1,1.5,0.2,53.0,4.4,33.0,7.4,1.5,0.2,58.3,4.2,28.3,7.0,1.6,0.2,"762,130","387,065","32,540","263,335","63,105","11,140","1,240","560,025","309,180","22,710","171,600","45,155","8,590","1,040","722,215","382,750","31,815","238,490","53,240","11,135","1,100","523,565","305,445","22,080","148,315","36,505","8,585",900
California's 21st,CA-21,19.1,5.1,64.5,10.1,0.8,0.1,22.5,5.1,60.9,10.4,0.9,0.1,21.3,5.7,61.8,9.8,0.9,0.1,26.4,6.0,56.2,10.1,1.0,0.1,"758,895","145,225","38,660","489,270","76,450","6,185","1,095","533,990","120,140","27,075","325,385","55,300","4,665",700,"666,530","142,100","38,080","411,895","65,375","6,140",980,"446,545","117,700","26,570","251,170","45,235","4,625",585
California's 22nd,CA-22,16.5,4.8,73.6,3.9,0.9,0.1,19.3,5.0,70.0,4.4,1.0,0.1,19.7,5.8,69.5,3.7,1.0,0.1,24.9,6.4,62.7,4.3,1.3,0.2,"780,815","129,030","37,585","574,490","30,620","6,705",985,"540,900","104,645","26,990","378,640","23,770","5,540",740,"645,870","126,980","37,150","448,960","23,875","6,665",890,"412,570","102,845","26,600","258,660","17,770","5,500",665
California's 23rd,CA-23,40.1,9.2,43.6,4.9,1.2,0.4,44.6,8.6,39.5,5.1,1.3,0.4,42.2,9.7,41.3,4.4,1.3,0.4,47.9,9.2,36.1,4.6,1.4,0.5,"758,850","304,360","69,845","330,575","36,805","9,400","3,195","554,610","247,550","47,525","219,070","28,515","7,205","2,370","710,920","299,960","68,900","293,750","31,180","9,365","3,145","508,630","243,500","46,680","183,460","23,185","7,175","2,320"
California's 24th,CA-24,51.9,2.1,38.3,6.2,0.9,0.1,56.7,2.2,33.1,6.5,1.0,0.1,56.5,2.3,33.9,5.7,1.0,0.1,63.0,2.4,27.1,5.8,1.1,0.1,"760,230","394,920","15,890","290,860","47,310","7,095",880,"607,725","344,815","13,110","201,420","39,385","6,015",800,"684,085","386,645","15,580","232,130","38,675","7,065",805,"534,740","336,885","12,805","145,030","31,200","6,000",735
California's 25th,CA-25,24.8,5.0,65.5,3.1,1.1,0.1,28.6,5.0,61.6,3.4,1.1,0.1,27.6,5.6,62.1,2.9,1.3,0.1,32.9,5.8,56.3,3.2,1.3,0.1,"763,180","189,265","38,270","500,080","24,025","8,580","1,015","572,275","163,450","28,690","352,280","19,430","6,485",635,"670,555","185,100","37,780","416,650","19,670","8,580",950,"484,010","159,430","28,270","272,550","15,520","6,485",570
California's 26th,CA-26,43.4,2.5,43.5,9.3,0.7,0.2,47.1,2.4,39.8,9.4,0.7,0.2,47.5,2.7,39.5,8.8,0.7,0.2,53.0,2.7,34.0,8.8,0.8,0.2,"757,600","328,695","18,600","329,410","70,390","5,155","1,370","585,215","275,905","14,145","232,635","54,815","4,185","1,030","676,845","321,810","18,105","267,175","59,535","5,070","1,240","508,990","269,855","13,805","173,075","44,815","4,100",895
California's 27th,CA-27,34.2,11.0,43.5,9.9,0.8,0.2,37.8,10.5,40.2,10.2,0.8,0.2,36.0,11.7,41.3,9.5,0.9,0.1,40.6,11.4,37.0,9.8,0.9,0.1,"747,560","255,650","81,860","324,860","74,260","6,005","1,405","553,505","209,195","57,875","222,645","56,665","4,340","1,160","689,655","248,130","80,585","284,910","65,600","5,985",985,"498,930","202,395","56,650","184,405","48,830","4,320",740
California's 28th,CA-28,27.7,4.6,26.8,39.8,0.5,0.2,29.7,4.7,25.1,39.5,0.5,0.2,30.7,5.2,26.9,36.0,0.5,0.2,33.5,5.3,24.9,35.2,0.5,0.2,"748,190","207,355","34,455","200,640","297,480","3,485","1,415","605,575","179,805","28,175","152,170","239,160","2,860","1,110","652,760","200,545","33,690","175,755","235,070","3,465","1,060","517,730","173,505","27,455","128,660","182,390","2,840",785
